replicate,rank,top-1320 model,top-1320 acquired
1,0,0.038636363636363635,0.0
1,1,0.058333333333333334,0.0
1,2,0.10227272727272728,0.0022727272727272726
1,3,0.10681818181818181,0.0022727272727272726
1,4,0.07803030303030303,0.0022727272727272726
1,5,0.07803030303030303,0.0022727272727272726
2,0,0.020454545454545454,0.0
2,1,0.08409090909090909,0.0015151515151515152
2,2,0.12651515151515152,0.0030303030303030303
2,3,0.1318181818181818,0.0030303030303030303
2,4,0.07045454545454545,0.0030303030303030303
2,5,0.09318181818181819,0.003787878787878788
3,0,0.09621212121212121,0.0
3,1,0.11818181818181818,0.0015151515151515152
3,2,0.1765151515151515,0.0030303030303030303
3,3,0.20075757575757575,0.0030303030303030303
3,4,0.15681818181818183,0.0030303030303030303
3,5,0.14772727272727273,0.0030303030303030303
4,0,0.10378787878787879,0.0
4,1,0.1143939393939394,0.0
4,2,0.1643939393939394,0.0
4,3,0.18181818181818182,0.0
4,4,0.2,0.0007575757575757576
4,5,0.22121212121212122,0.0007575757575757576
5,0,0.06060606060606061,0.0
5,1,0.03939393939393939,0.0
5,2,0.07651515151515151,0.0
5,3,0.0803030303030303,0.0
5,4,0.09318181818181819,0.0
5,5,0.11287878787878788,0.0
6,0,0.08636363636363636,0.0
6,1,0.1159090909090909,0.0
6,2,0.11136363636363636,0.0
6,3,0.16363636363636364,0.0007575757575757576
6,4,0.2128787878787879,0.0007575757575757576
6,5,0.18409090909090908,0.0007575757575757576
7,0,0.031818181818181815,0.0
7,1,0.022727272727272728,0.0
7,2,0.08333333333333333,0.0007575757575757576
7,3,0.12803030303030302,0.0030303030303030303
7,4,0.11666666666666667,0.0030303030303030303
7,5,0.11969696969696969,0.0030303030303030303
8,0,0.06060606060606061,0.0
8,1,0.06439393939393939,0.0
8,2,0.12424242424242424,0.0030303030303030303
8,3,0.1393939393939394,0.0030303030303030303
8,4,0.14696969696969697,0.0030303030303030303
8,5,0.15227272727272728,0.003787878787878788
9,0,0.07045454545454545,0.0
9,1,0.1643939393939394,0.0007575757575757576
9,2,0.14772727272727273,0.0015151515151515152
9,3,0.07196969696969698,0.0015151515151515152
9,4,0.09924242424242424,0.0015151515151515152
