replicate,rank,top-1320 model,top-1320 acquired
1,0,0.18181818181818182,0.0
1,1,0.18257575757575759,0.009848484848484848
1,2,0.14393939393939395,0.016666666666666666
1,3,0.15378787878787878,0.02196969696969697
1,4,0.17196969696969697,0.03333333333333333
1,5,0.17954545454545454,0.04015151515151515
2,0,0.009848484848484848,0.0
2,1,0.04318181818181818,0.0
2,2,0.18257575757575759,0.0007575757575757576
2,3,0.07727272727272727,0.0022727272727272726
2,4,0.12045454545454545,0.003787878787878788
2,5,0.11666666666666667,0.008333333333333333
3,0,0.0446969696969697,0.0
3,1,0.0893939393939394,0.0
3,2,0.05227272727272727,0.0015151515151515152
3,3,0.20606060606060606,0.0015151515151515152
3,4,0.17954545454545454,0.013636363636363636
3,5,0.22803030303030303,0.021212121212121213
4,0,0.09242424242424242,0.0
4,1,0.15151515151515152,0.0030303030303030303
4,2,0.19772727272727272,0.006818181818181818
4,3,0.1303030303030303,0.01818181818181818
4,4,0.10681818181818181,0.024242424242424242
4,5,0.12121212121212122,0.03484848484848485
5,0,0.11818181818181818,0.0
5,1,0.11060606060606061,0.0022727272727272726
5,2,0.1484848484848485,0.004545454545454545
5,3,0.12803030303030302,0.013636363636363636
5,4,0.11287878787878788,0.015909090909090907
5,5,0.11893939393939394,0.023484848484848483
6,0,0.16136363636363638,0.0
6,1,0.1946969696969697,0.0030303030303030303
6,2,0.1696969696969697,0.00909090909090909
6,3,0.16742424242424242,0.022727272727272728
6,4,0.18484848484848485,0.02878787878787879
6,5,0.17727272727272728,0.035606060606060606
7,0,0.12727272727272726,0.0
7,1,0.12424242424242424,0.003787878787878788
7,2,0.10984848484848485,0.003787878787878788
7,3,0.10909090909090909,0.008333333333333333
7,4,0.13257575757575757,0.010606060606060607
7,5,0.13333333333333333,0.014393939393939395
8,0,0.041666666666666664,0.0
8,1,0.021212121212121213,0.0
8,2,0.016666666666666666,0.0015151515151515152
8,3,0.02878787878787879,0.0022727272727272726
8,4,0.019696969696969695,0.003787878787878788
8,5,0.017424242424242425,0.004545454545454545
9,0,0.0696969696969697,0.0
9,1,0.0022727272727272726,0.0007575757575757576
9,2,0.030303030303030304,0.0007575757575757576
9,3,0.04621212121212121,0.0007575757575757576
9,4,0.06212121212121212,0.0007575757575757576
9,5,0.07575757575757576,0.0030303030303030303
10,0,0.010606060606060607,0.0
10,1,0.10606060606060606,0.0015151515151515152
10,2,0.11363636363636363,0.005303030303030303
10,3,0.10606060606060606,0.00909090909090909
10,4,0.08409090909090909,0.011363636363636364
10,5,0.2287878787878788,0.019696969696969695
11,0,0.09090909090909091,0.0
11,1,0.11515151515151516,0.0015151515151515152
11,2,0.11515151515151516,0.0030303030303030303
11,3,0.18106060606060606,0.006060606060606061
11,4,0.16893939393939394,0.011363636363636364
11,5,0.16818181818181818,0.015151515151515152
12,0,0.12196969696969696,0.0
12,1,0.05454545454545454,0.0
12,2,0.05227272727272727,0.0015151515151515152
12,3,0.20833333333333334,0.003787878787878788
12,4,0.19166666666666668,0.009848484848484848
12,5,0.20227272727272727,0.013636363636363636
13,0,0.15378787878787878,0.0
13,1,0.1962121212121212,0.0022727272727272726
13,2,0.12651515151515152,0.008333333333333333
13,3,0.1962121212121212,0.017424242424242425
13,4,0.15303030303030302,0.02878787878787879
13,5,0.16666666666666666,0.035606060606060606
14,0,0.05909090909090909,0.0
14,1,0.07727272727272727,0.0007575757575757576
14,2,0.06363636363636363,0.0007575757575757576
14,3,0.02196969696969697,0.0007575757575757576
14,4,0.03409090909090909,0.0007575757575757576
14,5,0.02803030303030303,0.0022727272727272726
15,0,0.08181818181818182,0.0
15,1,0.08636363636363636,0.0022727272727272726
15,2,0.030303030303030304,0.004545454545454545
15,3,0.125,0.006818181818181818
