replicate,rank,top-1320 model,top-1320 acquired
1,0,0.18181818181818182,0.0
1,1,0.18409090909090908,0.009848484848484848
1,2,0.1462121212121212,0.016666666666666666
1,3,0.12575757575757576,0.02196969696969697
1,4,0.1696969696969697,0.022727272727272728
1,5,0.18333333333333332,0.03106060606060606
2,0,0.009848484848484848,0.0
2,1,0.05,0.0
2,2,0.22121212121212122,0.0007575757575757576
2,3,0.09090909090909091,0.0030303030303030303
2,4,0.09090909090909091,0.005303030303030303
2,5,0.10378787878787879,0.006818181818181818
3,0,0.0446969696969697,0.0
3,1,0.08257575757575758,0.0
3,2,0.05606060606060606,0.0030303030303030303
3,3,0.13712121212121212,0.003787878787878788
3,4,0.12196969696969696,0.013636363636363636
3,5,0.19166666666666668,0.014393939393939395
4,0,0.09242424242424242,0.0
4,1,0.15757575757575756,0.0030303030303030303
4,2,0.12878787878787878,0.006818181818181818
4,3,0.11212121212121212,0.012121212121212121
4,4,0.16363636363636364,0.015909090909090907
4,5,0.20681818181818182,0.02196969696969697
5,0,0.11742424242424243,0.0
5,1,0.11893939393939394,0.0022727272727272726
5,2,0.15681818181818183,0.005303030303030303
5,3,0.14242424242424243,0.012878787878787878
5,4,0.10454545454545454,0.01818181818181818
5,5,0.1340909090909091,0.02196969696969697
6,0,0.16136363636363638,0.0
6,1,0.19090909090909092,0.0030303030303030303
6,2,0.1643939393939394,0.00909090909090909
6,3,0.18257575757575759,0.02196969696969697
6,4,0.20303030303030303,0.03257575757575758
6,5,0.2871212121212121,0.03939393939393939
7,0,0.12727272727272726,0.0
7,1,0.11969696969696969,0.003787878787878788
7,2,0.11363636363636363,0.003787878787878788
7,3,0.12348484848484849,0.008333333333333333
7,4,0.12575757575757576,0.011363636363636364
7,5,0.11136363636363636,0.015151515151515152
8,0,0.041666666666666664,0.0
8,1,0.029545454545454545,0.0
8,2,0.01818181818181818,0.0015151515151515152
8,3,0.021212121212121213,0.0030303030303030303
8,4,0.035606060606060606,0.007575757575757576
8,5,0.019696969696969695,0.008333333333333333
9,0,0.0696969696969697,0.0
9,1,0.0022727272727272726,0.0007575757575757576
9,2,0.04090909090909091,0.0007575757575757576
9,3,0.06515151515151515,0.0007575757575757576
9,4,0.00909090909090909,0.0022727272727272726
9,5,0.015151515151515152,0.0022727272727272726
10,0,0.010606060606060607,0.0
10,1,0.10984848484848485,0.0015151515151515152
10,2,0.17727272727272728,0.006060606060606061
10,3,0.28939393939393937,0.011363636363636364
10,4,0.20757575757575758,0.017424242424242425
10,5,0.21893939393939393,0.02727272727272727
11,0,0.09090909090909091,0.0
11,1,0.11212121212121212,0.0015151515151515152
11,2,0.14166666666666666,0.0030303030303030303
11,3,0.16893939393939394,0.007575757575757576
11,4,0.17272727272727273,0.012121212121212121
11,5,0.1606060606060606,0.01893939393939394
12,0,0.12196969696969696,0.0
12,1,0.056818181818181816,0.0
12,2,0.029545454545454545,0.0015151515151515152
12,3,0.09318181818181819,0.0022727272727272726
12,4,0.11136363636363636,0.004545454545454545
12,5,0.11515151515151516,0.008333333333333333
13,0,0.15378787878787878,0.0
13,1,0.18484848484848485,0.0022727272727272726
13,2,0.19090909090909092,0.00909090909090909
13,3,0.19318181818181818,0.012121212121212121
13,4,0.25227272727272726,0.01893939393939394
13,5,0.2553030303030303,0.02803030303030303
14,0,0.05909090909090909,0.0
14,1,0.10303030303030303,0.0007575757575757576
14,2,0.01893939393939394,0.0007575757575757576
14,3,0.04318181818181818,0.0015151515151515152
14,4,0.04621212121212121,0.0022727272727272726
14,5,0.03484848484848485,0.0030303030303030303
15,0,0.08181818181818182,0.0
15,1,0.08409090909090909,0.0022727272727272726
15,2,0.03636363636363636,0.003787878787878788
15,3,0.03484848484848485,0.006818181818181818
15,4,0.07803030303030303,0.007575757575757576
15,5,0.06515151515151515,0.008333333333333333
16,0,0.10757575757575757,0.0
16,1,0.0022727272727272726,0.0022727272727272726
16,2,0.09090909090909091,0.0022727272727272726
16,3,0.13106060606060607,0.006818181818181818
16,4,0.1431818181818182,0.011363636363636364
16,5,0.09242424242424242,0.015151515151515152
17,0,0.02727272727272727,0.0
17,1,0.035606060606060606,0.0
17,2,0.048484848484848485,0.0015151515151515152
17,3,0.059848484848484845,0.0030303030303030303
17,4,0.056818181818181816,0.003787878787878788
17,5,0.08787878787878788,0.005303030303030303
18,0,0.14545454545454545,0.0
18,1,0.10454545454545454,0.0015151515151515152
18,2,0.2318181818181818,0.0015151515151515152
18,3,0.20454545454545456,0.004545454545454545
18,4,0.2553030303030303,0.015151515151515152
18,5,0.275,0.02803030303030303
19,0,0.015909090909090907,0.0
19,1,0.07348484848484849,0.0015151515151515152
19,2,0.05606060606060606,0.0015151515151515152
19,3,0.03106060606060606,0.005303030303030303
19,4,0.07575757575757576,0.005303030303030303
19,5,0.12803030303030302,0.006060606060606061
20,0,0.14469696969696969,0.0
20,1,0.13560606060606062,0.0030303030303030303
20,2,0.14696969696969697,0.0030303030303030303
20,3,0.09242424242424242,0.005303030303030303
20,4,0.11893939393939394,0.015909090909090907
20,5,0.25,0.023484848484848483
21,0,0.012121212121212121,0.0
21,1,0.07348484848484849,0.0
21,2,0.0946969696969697,0.0030303030303030303
21,3,0.14772727272727273,0.009848484848484848
21,4,0.13484848484848486,0.012878787878787878
21,5,0.1590909090909091,0.016666666666666666
22,0,0.020454545454545454,0.0
22,1,0.19393939393939394,0.0015151515151515152
22,2,0.1712121212121212,0.005303030303030303
22,3,0.16818181818181818,0.009848484848484848
22,4,0.14242424242424243,0.016666666666666666
22,5,0.14015151515151514,0.021212121212121213
23,0,0.10454545454545454,0.0
23,1,0.10606060606060606,0.0022727272727272726
23,2,0.17575757575757575,0.006818181818181818
23,3,0.2,0.012121212121212121
23,4,0.2,0.022727272727272728
23,5,0.19772727272727272,0.03333333333333333
24,0,0.07424242424242425,0.0
24,1,0.08106060606060606,0.0015151515151515152
24,2,0.12272727272727273,0.003787878787878788
24,3,0.12272727272727273,0.006060606060606061
24,4,0.13863636363636364,0.009848484848484848
24,5,0.13787878787878788,0.016666666666666666
25,0,0.08409090909090909,0.0
25,1,0.056818181818181816,0.0
25,2,0.12121212121212122,0.0
25,3,0.19696969696969696,0.0022727272727272726
25,4,0.13787878787878788,0.008333333333333333
25,5,0.14545454545454545,0.015151515151515152
26,0,0.175,0.0007575757575757576
26,1,0.17803030303030304,0.008333333333333333
26,2,0.2287878787878788,0.015151515151515152
26,3,0.22803030303030303,0.029545454545454545
26,4,0.2,0.03787878787878788
26,5,0.19090909090909092,0.04696969696969697
27,0,0.11969696969696969,0.0
27,1,0.10757575757575757,0.0022727272727272726
27,2,0.1696969696969697,0.0022727272727272726
27,3,0.15833333333333333,0.005303030303030303
27,4,0.1893939393939394,0.012878787878787878
27,5,0.2553030303030303,0.021212121212121213
28,0,0.1484848484848485,0.0
28,1,0.12272727272727273,0.0030303030303030303
28,2,0.1340909090909091,0.007575757575757576
28,3,0.14924242424242423,0.015909090909090907
28,4,0.06212121212121212,0.019696969696969695
28,5,0.05757575757575758,0.023484848484848483
29,0,0.14469696969696969,0.0
29,1,0.12424242424242424,0.0030303030303030303
29,2,0.2159090909090909,0.006818181818181818
29,3,0.24621212121212122,0.015151515151515152
29,4,0.2689393939393939,0.02803030303030303
29,5,0.15454545454545454,0.03636363636363636
30,0,0.055303030303030305,0.0
30,1,0.09090909090909091,0.0
30,2,0.1803030303030303,0.0015151515151515152
30,3,0.1462121212121212,0.008333333333333333
