replicate,rank,top-1320 model,top-1320 acquired
1,0,0.009848484848484848,0.0
1,1,0.003787878787878788,0.0007575757575757576
1,2,0.010606060606060607,0.0007575757575757576
1,3,0.029545454545454545,0.0015151515151515152
1,4,0.01893939393939394,0.0030303030303030303
1,5,0.026515151515151516,0.0030303030303030303
2,0,0.0022727272727272726,0.0
2,1,0.025757575757575757,0.0
2,2,0.038636363636363635,0.0007575757575757576
2,3,0.02803030303030303,0.0022727272727272726
2,4,0.03787878787878788,0.003787878787878788
2,5,0.030303030303030304,0.005303030303030303
3,0,0.0022727272727272726,0.0
3,1,0.03106060606060606,0.0
3,2,0.04242424242424243,0.0
3,3,0.07348484848484849,0.0
3,4,0.09545454545454546,0.003787878787878788
3,5,0.09242424242424242,0.009848484848484848
4,0,0.029545454545454545,0.0
4,1,0.08787878787878788,0.0007575757575757576
4,2,0.1431818181818182,0.006818181818181818
4,3,0.11742424242424243,0.015151515151515152
4,4,0.08712121212121213,0.023484848484848483
4,5,0.10454545454545454,0.026515151515151516
5,0,0.020454545454545454,0.0
5,1,0.030303030303030304,0.0
5,2,0.015909090909090907,0.0007575757575757576
5,3,0.04696969696969697,0.0015151515151515152
5,4,0.04015151515151515,0.003787878787878788
5,5,0.030303030303030304,0.003787878787878788
6,0,0.005303030303030303,0.0
6,1,0.005303030303030303,0.0
6,2,0.006818181818181818,0.0
6,3,0.012121212121212121,0.0
6,4,0.030303030303030304,0.0
6,5,0.012878787878787878,0.0007575757575757576
7,0,0.003787878787878788,0.0
7,1,0.015151515151515152,0.0
7,2,0.016666666666666666,0.0
7,3,0.030303030303030304,0.0
7,4,0.01893939393939394,0.0
7,5,0.06742424242424243,0.0
8,0,0.023484848484848483,0.0
8,1,0.04621212121212121,0.0015151515151515152
8,2,0.05454545454545454,0.0030303030303030303
8,3,0.035606060606060606,0.006060606060606061
8,4,0.08636363636363636,0.007575757575757576
8,5,0.03484848484848485,0.008333333333333333
9,0,0.0007575757575757576,0.0
