replicate,rank,top-1320 model,top-1320 acquired
1,0,0.038636363636363635,0.0
1,1,0.08257575757575758,0.0015151515151515152
1,2,0.125,0.005303030303030303
1,3,0.175,0.009848484848484848
1,4,0.14772727272727273,0.016666666666666666
1,5,0.1734848484848485,0.022727272727272728
2,0,0.020454545454545454,0.0
2,1,0.038636363636363635,0.0
2,2,0.04772727272727273,0.0
2,3,0.07348484848484849,0.0007575757575757576
2,4,0.12424242424242424,0.0030303030303030303
2,5,0.10909090909090909,0.006818181818181818
3,0,0.09621212121212121,0.0
3,1,0.18409090909090908,0.0022727272727272726
3,2,0.1696969696969697,0.007575757575757576
3,3,0.12954545454545455,0.014393939393939395
3,4,0.14772727272727273,0.01818181818181818
3,5,0.15757575757575756,0.022727272727272728
4,0,0.10378787878787879,0.0
4,1,0.22196969696969698,0.006060606060606061
4,2,0.2318181818181818,0.015151515151515152
4,3,0.27575757575757576,0.026515151515151516
4,4,0.20606060606060606,0.03484848484848485
4,5,0.1962121212121212,0.038636363636363635
5,0,0.06060606060606061,0.0
5,1,0.03106060606060606,0.0
5,2,0.07803030303030303,0.0015151515151515152
5,3,0.07575757575757576,0.006060606060606061
5,4,0.06363636363636363,0.009848484848484848
5,5,0.11969696969696969,0.015909090909090907
6,0,0.08636363636363636,0.0
6,1,0.10909090909090909,0.0022727272727272726
6,2,0.1393939393939394,0.004545454545454545
6,3,0.14772727272727273,0.007575757575757576
6,4,0.17727272727272728,0.011363636363636364
6,5,0.1946969696969697,0.017424242424242425
7,0,0.031818181818181815,0.0
7,1,0.05303030303030303,0.0
7,2,0.055303030303030305,0.0015151515151515152
7,3,0.058333333333333334,0.0015151515151515152
7,4,0.06893939393939394,0.0022727272727272726
7,5,0.09318181818181819,0.004545454545454545
8,0,0.06060606060606061,0.0
8,1,0.0893939393939394,0.0030303030303030303
8,2,0.23484848484848486,0.005303030303030303
8,3,0.1553030303030303,0.012878787878787878
8,4,0.20833333333333334,0.020454545454545454
8,5,0.17954545454545454,0.02803030303030303
9,0,0.07045454545454545,0.0
9,1,0.08106060606060606,0.0015151515151515152
9,2,0.2015151515151515,0.0022727272727272726
9,3,0.23030303030303031,0.00909090909090909
9,4,0.19242424242424241,0.015909090909090907
9,5,0.17727272727272728,0.023484848484848483
10,0,0.03409090909090909,0.0
10,1,0.09090909090909091,0.0015151515151515152
10,2,0.07727272727272727,0.004545454545454545
10,3,0.18181818181818182,0.006818181818181818
10,4,0.15075757575757576,0.01893939393939394
10,5,0.1590909090909091,0.024242424242424242
11,0,0.08333333333333333,0.0
11,1,0.1,0.0015151515151515152
11,2,0.13106060606060607,0.005303030303030303
11,3,0.16590909090909092,0.009848484848484848
11,4,0.11666666666666667,0.017424242424242425
11,5,0.16363636363636364,0.02196969696969697
12,0,0.125,0.0
12,1,0.20606060606060606,0.007575757575757576
12,2,0.1765151515151515,0.013636363636363636
12,3,0.25833333333333336,0.022727272727272728
12,4,0.18257575757575759,0.03409090909090909
12,5,0.19696969696969696,0.041666666666666664
13,0,0.048484848484848485,0.0
13,1,0.023484848484848483,0.0
13,2,0.09166666666666666,0.0015151515151515152
13,3,0.1462121212121212,0.0015151515151515152
13,4,0.18409090909090908,0.005303030303030303
13,5,0.24015151515151514,0.009848484848484848
14,0,0.02196969696969697,0.0
14,1,0.07878787878787878,0.0
14,2,0.05075757575757576,0.0015151515151515152
14,3,0.13636363636363635,0.004545454545454545
14,4,0.12045454545454545,0.008333333333333333
14,5,0.1159090909090909,0.014393939393939395
15,0,0.07424242424242425,0.0
15,1,0.2143939393939394,0.0007575757575757576
15,2,0.19242424242424241,0.003787878787878788
15,3,0.20984848484848484,0.010606060606060607
15,4,0.2,0.01893939393939394
15,5,0.17954545454545454,0.025757575757575757
16,0,0.09621212121212121,0.0
16,1,0.1,0.0007575757575757576
16,2,0.10757575757575757,0.0022727272727272726
16,3,0.15833333333333333,0.006060606060606061
16,4,0.1787878787878788,0.01818181818181818
16,5,0.1303030303030303,0.022727272727272728
17,0,0.021212121212121213,0.0
17,1,0.03939393939393939,0.0
17,2,0.15378787878787878,0.0030303030303030303
17,3,0.2106060606060606,0.00909090909090909
17,4,0.18257575757575759,0.02196969696969697
17,5,0.1734848484848485,0.03333333333333333
18,0,0.1712121212121212,0.0
18,1,0.2318181818181818,0.006060606060606061
18,2,0.24015151515151514,0.011363636363636364
18,3,0.17196969696969697,0.01818181818181818
18,4,0.2143939393939394,0.022727272727272728
18,5,0.2265151515151515,0.035606060606060606
19,0,0.08333333333333333,0.0
19,1,0.13787878787878788,0.0030303030303030303
19,2,0.18484848484848485,0.00909090909090909
19,3,0.22045454545454546,0.01893939393939394
19,4,0.19090909090909092,0.030303030303030304
19,5,0.18636363636363637,0.04015151515151515
20,0,0.13863636363636364,0.0
20,1,0.14469696969696969,0.006818181818181818
20,2,0.16742424242424242,0.017424242424242425
20,3,0.15833333333333333,0.025
20,4,0.17803030303030304,0.03409090909090909
20,5,0.25,0.03484848484848485
21,0,0.05606060606060606,0.0
21,1,0.2053030303030303,0.0007575757575757576
21,2,0.2037878787878788,0.009848484848484848
21,3,0.19924242424242425,0.01818181818181818
21,4,0.18333333333333332,0.02878787878787879
21,5,0.19393939393939394,0.03484848484848485
22,0,0.056818181818181816,0.0
22,1,0.20833333333333334,0.003787878787878788
22,2,0.21515151515151515,0.015151515151515152
22,3,0.21666666666666667,0.025757575757575757
22,4,0.14772727272727273,0.03484848484848485
22,5,0.15833333333333333,0.03939393939393939
23,0,0.08636363636363636,0.0
23,1,0.04393939393939394,0.0015151515151515152
23,2,0.08484848484848485,0.0015151515151515152
23,3,0.08333333333333333,0.0022727272727272726
23,4,0.10681818181818181,0.006060606060606061
23,5,0.09772727272727273,0.009848484848484848
24,0,0.06287878787878788,0.0
24,1,0.09015151515151515,0.0015151515151515152
24,2,0.11969696969696969,0.004545454545454545
24,3,0.1803030303030303,0.008333333333333333
24,4,0.1696969696969697,0.015151515151515152
24,5,0.16893939393939394,0.024242424242424242
25,0,0.015909090909090907,0.0
25,1,0.04393939393939394,0.0015151515151515152
25,2,0.04696969696969697,0.0015151515151515152
25,3,0.037121212121212124,0.0030303030303030303
25,4,0.05454545454545454,0.004545454545454545
25,5,0.0856060606060606,0.005303030303030303
26,0,0.11666666666666667,0.0007575757575757576
26,1,0.16515151515151516,0.007575757575757576
26,2,0.16742424242424242,0.021212121212121213
26,3,0.1462121212121212,0.031818181818181815
26,4,0.10909090909090909,0.035606060606060606
26,5,0.12575757575757576,0.03787878787878788
27,0,0.055303030303030305,0.0
27,1,0.07121212121212121,0.0015151515151515152
27,2,0.04242424242424243,0.0022727272727272726
27,3,0.038636363636363635,0.0030303030303030303
27,4,0.07878787878787878,0.005303030303030303
27,5,0.1,0.008333333333333333
28,0,0.07727272727272727,0.0
28,1,0.0446969696969697,0.0022727272727272726
28,2,0.09545454545454546,0.004545454545454545
28,3,0.09090909090909091,0.008333333333333333
28,4,0.15303030303030302,0.009848484848484848
28,5,0.17575757575757575,0.014393939393939395
29,0,0.05454545454545454,0.0
29,1,0.13863636363636364,0.0015151515151515152
29,2,0.16515151515151516,0.004545454545454545
29,3,0.12651515151515152,0.00909090909090909
29,4,0.1462121212121212,0.010606060606060607
29,5,0.17272727272727273,0.016666666666666666
30,0,0.11136363636363636,0.0
30,1,0.2159090909090909,0.0022727272727272726
30,2,0.19090909090909092,0.006818181818181818
30,3,0.1303030303030303,0.012121212121212121
30,4,0.16363636363636364,0.016666666666666666
30,5,0.16666666666666666,0.026515151515151516
