replicate,rank,top-1320 model,top-1320 acquired
1,0,0.09772727272727273,0.0
1,1,0.09696969696969697,0.0007575757575757576
1,2,0.10833333333333334,0.0030303030303030303
1,3,0.11969696969696969,0.005303030303030303
1,4,0.15227272727272728,0.008333333333333333
1,5,0.15151515151515152,0.015909090909090907
2,0,0.009848484848484848,0.0
2,1,0.06818181818181818,0.0
2,2,0.04772727272727273,0.0
2,3,0.08712121212121213,0.0
2,4,0.09242424242424242,0.0030303030303030303
2,5,0.10303030303030303,0.007575757575757576
3,0,0.02803030303030303,0.0
3,1,0.09545454545454546,0.0
3,2,0.11136363636363636,0.0015151515151515152
3,3,0.16742424242424242,0.004545454545454545
3,4,0.11893939393939394,0.013636363636363636
3,5,0.1143939393939394,0.02196969696969697
4,0,0.06136363636363636,0.0
4,1,0.055303030303030305,0.0
4,2,0.024242424242424242,0.0
4,3,0.019696969696969695,0.0007575757575757576
4,4,0.025757575757575757,0.0022727272727272726
4,5,0.04015151515151515,0.005303030303030303
5,0,0.09242424242424242,0.0
5,1,0.08333333333333333,0.0022727272727272726
5,2,0.06818181818181818,0.003787878787878788
5,3,0.08106060606060606,0.006818181818181818
5,4,0.07878787878787878,0.00909090909090909
5,5,0.08787878787878788,0.012121212121212121
6,0,0.08863636363636364,0.0
6,1,0.12727272727272726,0.0015151515151515152
6,2,0.08257575757575758,0.003787878787878788
6,3,0.13257575757575757,0.005303030303030303
6,4,0.12575757575757576,0.008333333333333333
6,5,0.11742424242424243,0.011363636363636364
7,0,0.0893939393939394,0.0
7,1,0.15681818181818183,0.0007575757575757576
7,2,0.15075757575757576,0.006818181818181818
7,3,0.1712121212121212,0.011363636363636364
7,4,0.1765151515151515,0.013636363636363636
7,5,0.17954545454545454,0.019696969696969695
8,0,0.055303030303030305,0.0
8,1,0.07575757575757576,0.003787878787878788
8,2,0.07424242424242425,0.005303030303030303
8,3,0.09393939393939393,0.006060606060606061
8,4,0.05757575757575758,0.010606060606060607
8,5,0.08333333333333333,0.015151515151515152
9,0,0.04696969696969697,0.0
9,1,0.058333333333333334,0.0
9,2,0.06060606060606061,0.0007575757575757576
9,3,0.058333333333333334,0.0007575757575757576
9,4,0.059848484848484845,0.0015151515151515152
9,5,0.07878787878787878,0.003787878787878788
10,0,0.003787878787878788,0.0
10,1,0.004545454545454545,0.0
10,2,0.0030303030303030303,0.0
10,3,0.0022727272727272726,0.0
10,4,0.005303030303030303,0.0
10,5,0.013636363636363636,0.0
11,0,0.10833333333333334,0.0
11,1,0.12196969696969696,0.0015151515151515152
11,2,0.16590909090909092,0.006060606060606061
11,3,0.1712121212121212,0.012878787878787878
11,4,0.1765151515151515,0.01893939393939394
11,5,0.1765151515151515,0.029545454545454545
12,0,0.08863636363636364,0.0
12,1,0.07348484848484849,0.0022727272727272726
12,2,0.11287878787878788,0.006060606060606061
12,3,0.12954545454545455,0.011363636363636364
12,4,0.19924242424242425,0.021212121212121213
12,5,0.23787878787878788,0.035606060606060606
13,0,0.059848484848484845,0.0
13,1,0.09848484848484848,0.0007575757575757576
13,2,0.14469696969696969,0.006060606060606061
13,3,0.18863636363636363,0.016666666666666666
13,4,0.19090909090909092,0.02803030303030303
13,5,0.20303030303030303,0.038636363636363635
14,0,0.055303030303030305,0.0
14,1,0.0446969696969697,0.0
14,2,0.04772727272727273,0.0015151515151515152
14,3,0.09696969696969697,0.003787878787878788
14,4,0.15833333333333333,0.00909090909090909
14,5,0.1712121212121212,0.015909090909090907
15,0,0.05909090909090909,0.0
15,1,0.10075757575757575,0.0015151515151515152
15,2,0.10681818181818181,0.006818181818181818
15,3,0.15606060606060607,0.009848484848484848
15,4,0.16893939393939394,0.012121212121212121
15,5,0.16515151515151516,0.015909090909090907
16,0,0.06363636363636363,0.0
16,1,0.08181818181818182,0.0
16,2,0.11666666666666667,0.0022727272727272726
16,3,0.1856060606060606,0.006060606060606061
16,4,0.13712121212121212,0.015909090909090907
16,5,0.20606060606060606,0.025757575757575757
17,0,0.006818181818181818,0.0
17,1,0.00909090909090909,0.0
17,2,0.012878787878787878,0.0
17,3,0.031818181818181815,0.0
17,4,0.05,0.0
17,5,0.08484848484848485,0.0015151515151515152
18,0,0.17196969696969697,0.0
18,1,0.1946969696969697,0.006818181818181818
18,2,0.23712121212121212,0.013636363636363636
18,3,0.2553030303030303,0.02196969696969697
18,4,0.23939393939393938,0.030303030303030304
18,5,0.22954545454545455,0.0446969696969697
19,0,0.012878787878787878,0.0
19,1,0.03636363636363636,0.0015151515151515152
19,2,0.125,0.0022727272727272726
19,3,0.08636363636363636,0.006818181818181818
19,4,0.10227272727272728,0.011363636363636364
19,5,0.11212121212121212,0.015151515151515152
20,0,0.11212121212121212,0.0
20,1,0.12196969696969696,0.0030303030303030303
20,2,0.14772727272727273,0.015151515151515152
20,3,0.16363636363636364,0.02196969696969697
20,4,0.16818181818181818,0.03484848484848485
20,5,0.1734848484848485,0.041666666666666664
21,0,0.005303030303030303,0.0
21,1,0.08409090909090909,0.0007575757575757576
21,2,0.07954545454545454,0.0022727272727272726
21,3,0.10681818181818181,0.0022727272727272726
21,4,0.12045454545454545,0.004545454545454545
21,5,0.1462121212121212,0.009848484848484848
22,0,0.012121212121212121,0.0
22,1,0.016666666666666666,0.0
22,2,0.006818181818181818,0.0
22,3,0.006818181818181818,0.0
22,4,0.05,0.0
22,5,0.05757575757575758,0.0
23,0,0.007575757575757576,0.0
23,1,0.008333333333333333,0.0
23,2,0.020454545454545454,0.0
23,3,0.03257575757575758,0.0007575757575757576
23,4,0.06818181818181818,0.0015151515151515152
23,5,0.07878787878787878,0.003787878787878788
24,0,0.06212121212121212,0.0
24,1,0.03939393939393939,0.0015151515151515152
24,2,0.12272727272727273,0.0030303030303030303
24,3,0.12272727272727273,0.006060606060606061
24,4,0.15757575757575756,0.009848484848484848
24,5,0.15,0.012878787878787878
25,0,0.07121212121212121,0.0
25,1,0.07424242424242425,0.0
25,2,0.07878787878787878,0.0007575757575757576
25,3,0.15378787878787878,0.003787878787878788
25,4,0.2409090909090909,0.00909090909090909
25,5,0.20227272727272727,0.016666666666666666
26,0,0.15075757575757576,0.0007575757575757576
26,1,0.1,0.011363636363636364
26,2,0.09848484848484848,0.020454545454545454
26,3,0.18181818181818182,0.023484848484848483
26,4,0.17803030303030304,0.03484848484848485
26,5,0.18257575757575759,0.04621212121212121
27,0,0.06742424242424243,0.0
27,1,0.06666666666666667,0.0007575757575757576
27,2,0.12121212121212122,0.004545454545454545
27,3,0.13257575757575757,0.006818181818181818
27,4,0.12575757575757576,0.010606060606060607
27,5,0.13560606060606062,0.013636363636363636
28,0,0.05227272727272727,0.0
28,1,0.1053030303030303,0.0015151515151515152
28,2,0.09393939393939393,0.006060606060606061
28,3,0.10378787878787879,0.00909090909090909
28,4,0.13106060606060607,0.015909090909090907
28,5,0.13106060606060607,0.020454545454545454
29,0,0.10833333333333334,0.0
29,1,0.20909090909090908,0.0022727272727272726
29,2,0.16136363636363638,0.014393939393939395
29,3,0.18787878787878787,0.022727272727272728
29,4,0.18181818181818182,0.031818181818181815
29,5,0.1893939393939394,0.04393939393939394
30,0,0.15151515151515152,0.0
30,1,0.1553030303030303,0.004545454545454545
30,2,0.1696969696969697,0.011363636363636364
30,3,0.18636363636363637,0.01893939393939394
30,4,0.18106060606060606,0.02803030303030303
30,5,0.1984848484848485,0.03787878787878788
