replicate,rank,top-100 model,top-100 acquired
1,0,0.17,0.0
1,1,0.2,0.04
1,2,0.19,0.1
1,3,0.22,0.15
1,4,0.17,0.17
1,5,0.16,0.2
2,0,0.17,0.0
2,1,0.08,0.03
2,2,0.16,0.04
2,3,0.2,0.06
2,4,0.08,0.11
2,5,0.08,0.11
3,0,0.14,0.0
3,1,0.07,0.06
3,2,0.23,0.09
3,3,0.04,0.14
3,4,0.24,0.15
3,5,0.15,0.2
4,0,0.18,0.01
4,1,0.17,0.08
4,2,0.18,0.13
4,3,0.17,0.15
4,4,0.16,0.19
4,5,0.12,0.2
5,0,0.16,0.0
5,1,0.19,0.03
5,2,0.16,0.07
5,3,0.2,0.09
5,4,0.28,0.14
5,5,0.22,0.19
6,0,0.15,0.0
6,1,0.17,0.06
6,2,0.25,0.09
6,3,0.27,0.17
6,4,0.3,0.22
6,5,0.17,0.26
7,0,0.21,0.0
7,1,0.14,0.07
7,2,0.27,0.09
7,3,0.28,0.14
7,4,0.1,0.17
7,5,0.27,0.19
8,0,0.21,0.0
8,1,0.26,0.05
8,2,0.07,0.09
8,3,0.22,0.1
8,4,0.23,0.15
8,5,0.26,0.19
9,0,0.21,0.01
9,1,0.15,0.11
9,2,0.22,0.11
9,3,0.19,0.15
9,4,0.3,0.18
9,5,0.2,0.23
10,0,0.12,0.0
10,1,0.12,0.06
10,2,0.19,0.07
10,3,0.15,0.09
10,4,0.16,0.1
10,5,0.11,0.11
11,0,0.2,0.0
11,1,0.21,0.09
11,2,0.18,0.11
11,3,0.14,0.14
11,4,0.3,0.15
11,5,0.26,0.21
12,0,0.14,0.0
12,1,0.19,0.05
12,2,0.2,0.07
12,3,0.14,0.1
12,4,0.21,0.13
12,5,0.19,0.18
13,0,0.17,0.0
13,1,0.17,0.06
13,2,0.2,0.09
13,3,0.12,0.13
13,4,0.14,0.16
13,5,0.21,0.17
14,0,0.19,0.0
14,1,0.17,0.04
14,2,0.19,0.12
14,3,0.12,0.16
14,4,0.31,0.22
14,5,0.16,0.28
15,0,0.14,0.0
15,1,0.08,0.04
15,2,0.27,0.08
15,3,0.23,0.15
15,4,0.23,0.18
15,5,0.19,0.22
16,0,0.23,0.0
16,1,0.18,0.07
16,2,0.16,0.08
16,3,0.25,0.11
16,4,0.29,0.17
16,5,0.29,0.2
17,0,0.15,0.01
17,1,0.16,0.06
17,2,0.23,0.1
17,3,0.17,0.15
17,4,0.11,0.15
17,5,0.29,0.16
18,0,0.14,0.01
18,1,0.14,0.04
18,2,0.12,0.07
18,3,0.22,0.13
18,4,0.17,0.17
18,5,0.25,0.18
19,0,0.13,0.0
19,1,0.15,0.03
19,2,0.25,0.1
19,3,0.25,0.14
19,4,0.13,0.18
19,5,0.14,0.18
20,0,0.18,0.0
20,1,0.09,0.04
20,2,0.07,0.08
20,3,0.18,0.1
20,4,0.13,0.16
20,5,0.17,0.17
21,0,0.21,0.0
21,1,0.24,0.06
21,2,0.12,0.12
21,3,0.12,0.13
21,4,0.29,0.16
21,5,0.32,0.18
22,0,0.11,0.0
22,1,0.15,0.01
22,2,0.17,0.08
22,3,0.1,0.11
22,4,0.24,0.11
22,5,0.15,0.17
23,0,0.12,0.0
23,1,0.17,0.0
23,2,0.13,0.04
23,3,0.11,0.08
23,4,0.13,0.1
23,5,0.11,0.1
24,0,0.15,0.0
24,1,0.2,0.05
24,2,0.24,0.09
24,3,0.27,0.12
24,4,0.32,0.22
24,5,0.2,0.27
25,0,0.14,0.0
25,1,0.17,0.05
25,2,0.28,0.08
25,3,0.27,0.17
25,4,0.18,0.22
25,5,0.15,0.23
26,0,0.14,0.0
26,1,0.17,0.06
26,2,0.21,0.09
26,3,0.14,0.15
26,4,0.21,0.15
26,5,0.31,0.21
27,0,0.14,0.0
27,1,0.21,0.03
27,2,0.12,0.06
27,3,0.18,0.08
27,4,0.24,0.12
27,5,0.28,0.17
28,0,0.24,0.0
28,1,0.16,0.06
28,2,0.17,0.1
28,3,0.27,0.12
28,4,0.17,0.19
28,5,0.16,0.2
29,0,0.22,0.01
29,1,0.17,0.06
29,2,0.15,0.11
29,3,0.25,0.13
29,4,0.18,0.21
29,5,0.27,0.21
30,0,0.2,0.01
30,1,0.15,0.04
30,2,0.1,0.07
30,3,0.2,0.09
30,4,0.18,0.12
30,5,0.28,0.17
