replicate,rank,top-100 model,top-100 acquired
1,0,0.16,0.01
1,1,0.18,0.05
1,2,0.19,0.08
1,3,0.26,0.09
1,4,0.3,0.14
1,5,0.31,0.21
2,0,0.18,0.01
2,1,0.22,0.03
2,2,0.13,0.09
2,3,0.25,0.11
2,4,0.32,0.16
2,5,0.32,0.26
3,0,0.01,0.01
3,1,0.02,0.01
3,2,0.03,0.01
3,3,0.03,0.01
3,4,0.06,0.02
3,5,0.07,0.03
4,0,0.15,0.02
4,1,0.19,0.04
4,2,0.23,0.09
4,3,0.29,0.14
4,4,0.27,0.22
4,5,0.31,0.25
5,0,0.17,0.01
5,1,0.16,0.07
5,2,0.23,0.11
5,3,0.23,0.16
5,4,0.29,0.2
5,5,0.3,0.23
6,0,0.18,0.01
6,1,0.23,0.05
6,2,0.19,0.07
6,3,0.25,0.16
6,4,0.23,0.18
6,5,0.23,0.2
7,0,0.2,0.01
7,1,0.22,0.06
7,2,0.28,0.13
7,3,0.27,0.16
7,4,0.27,0.18
7,5,0.25,0.22
8,0,0.04,0.01
8,1,0.07,0.01
8,2,0.16,0.02
8,3,0.27,0.04
8,4,0.25,0.14
8,5,0.24,0.16
9,0,0.15,0.02
9,1,0.23,0.07
9,2,0.24,0.1
9,3,0.27,0.13
9,4,0.3,0.22
9,5,0.28,0.26
10,0,0.02,0.01
10,1,0.05,0.02
10,2,0.25,0.03
10,3,0.23,0.09
10,4,0.27,0.15
10,5,0.3,0.18
11,0,0.17,0.01
11,1,0.14,0.02
11,2,0.14,0.06
11,3,0.26,0.1
11,4,0.21,0.15
11,5,0.22,0.16
12,0,0.23,0.01
12,1,0.19,0.06
12,2,0.18,0.11
12,3,0.22,0.13
12,4,0.26,0.17
12,5,0.33,0.2
13,0,0.13,0.01
13,1,0.12,0.03
13,2,0.22,0.07
13,3,0.25,0.12
13,4,0.25,0.18
13,5,0.34,0.21
14,0,0.05,0.01
14,1,0.12,0.03
14,2,0.2,0.05
14,3,0.22,0.11
14,4,0.24,0.16
14,5,0.24,0.21
15,0,0.1,0.01
15,1,0.25,0.05
15,2,0.27,0.12
15,3,0.26,0.17
15,4,0.28,0.2
15,5,0.29,0.23
16,0,0.2,0.01
16,1,0.21,0.08
16,2,0.26,0.1
16,3,0.29,0.15
16,4,0.27,0.17
16,5,0.3,0.23
17,0,0.17,0.02
17,1,0.15,0.06
17,2,0.16,0.08
17,3,0.25,0.1
17,4,0.28,0.17
17,5,0.32,0.21
18,0,0.24,0.02
18,1,0.27,0.09
18,2,0.27,0.15
18,3,0.3,0.2
18,4,0.29,0.26
18,5,0.35,0.28
19,0,0.19,0.01
19,1,0.24,0.08
19,2,0.26,0.12
19,3,0.25,0.16
19,4,0.27,0.17
19,5,0.31,0.25
20,0,0.08,0.01
20,1,0.25,0.02
20,2,0.22,0.07
20,3,0.22,0.1
20,4,0.22,0.14
20,5,0.26,0.19
21,0,0.12,0.01
21,1,0.21,0.05
21,2,0.21,0.11
21,3,0.27,0.14
21,4,0.31,0.17
21,5,0.31,0.23
22,0,0.11,0.01
22,1,0.12,0.01
22,2,0.16,0.03
22,3,0.21,0.07
22,4,0.28,0.14
22,5,0.27,0.19
23,0,0.14,0.01
23,1,0.15,0.07
23,2,0.25,0.1
23,3,0.22,0.13
23,4,0.24,0.2
23,5,0.27,0.2
24,0,0.11,0.01
24,1,0.2,0.04
24,2,0.24,0.12
24,3,0.27,0.16
24,4,0.29,0.21
24,5,0.29,0.24
25,0,0.17,0.01
25,1,0.27,0.04
25,2,0.25,0.12
25,3,0.25,0.16
25,4,0.24,0.19
25,5,0.3,0.23
26,0,0.09,0.01
26,1,0.12,0.01
26,2,0.18,0.05
26,3,0.2,0.07
26,4,0.26,0.11
26,5,0.28,0.18
27,0,0.14,0.01
27,1,0.09,0.05
27,2,0.2,0.05
27,3,0.29,0.12
27,4,0.3,0.19
27,5,0.29,0.22
28,0,0.16,0.01
28,1,0.21,0.04
28,2,0.21,0.1
28,3,0.25,0.13
28,4,0.28,0.16
28,5,0.26,0.21
29,0,0.2,0.02
29,1,0.19,0.07
29,2,0.17,0.1
29,3,0.18,0.15
29,4,0.24,0.15
29,5,0.31,0.19
30,0,0.22,0.02
30,1,0.2,0.08
30,2,0.23,0.15
30,3,0.26,0.16
30,4,0.26,0.22
30,5,0.31,0.25
