replicate,rank,top-100 model,top-100 acquired
1,0,0.24,0.02
1,1,0.25,0.08
1,2,0.26,0.13
1,3,0.3,0.17
1,4,0.29,0.2
1,5,0.35,0.26
2,0,0.24,0.02
2,1,0.19,0.07
2,2,0.23,0.11
2,3,0.25,0.17
2,4,0.28,0.19
2,5,0.29,0.24
3,0,0.12,0.02
3,1,0.18,0.06
3,2,0.24,0.11
3,3,0.24,0.17
3,4,0.24,0.2
3,5,0.29,0.22
4,0,0.13,0.03
4,1,0.18,0.06
4,2,0.18,0.09
4,3,0.24,0.12
4,4,0.26,0.16
4,5,0.3,0.21
5,0,0.22,0.02
5,1,0.19,0.06
5,2,0.16,0.07
5,3,0.21,0.09
5,4,0.25,0.13
5,5,0.28,0.19
6,0,0.19,0.02
6,1,0.17,0.05
6,2,0.19,0.11
6,3,0.26,0.12
6,4,0.28,0.19
6,5,0.31,0.24
7,0,0.09,0.02
7,1,0.18,0.05
7,2,0.18,0.09
7,3,0.21,0.12
7,4,0.24,0.14
7,5,0.31,0.19
8,0,0.1,0.02
8,1,0.26,0.03
8,2,0.24,0.09
8,3,0.29,0.16
8,4,0.31,0.19
8,5,0.29,0.24
9,0,0.23,0.03
9,1,0.22,0.07
9,2,0.25,0.13
9,3,0.27,0.18
9,4,0.29,0.21
9,5,0.28,0.25
10,0,0.21,0.02
10,1,0.21,0.09
10,2,0.17,0.13
10,3,0.21,0.15
10,4,0.23,0.17
10,5,0.25,0.19
11,0,0.14,0.02
11,1,0.12,0.03
11,2,0.18,0.08
11,3,0.24,0.11
11,4,0.29,0.15
11,5,0.3,0.2
12,0,0.23,0.02
12,1,0.2,0.08
12,2,0.21,0.13
12,3,0.27,0.16
12,4,0.33,0.2
12,5,0.35,0.27
13,0,0.21,0.02
13,1,0.2,0.08
13,2,0.27,0.13
13,3,0.3,0.17
13,4,0.35,0.22
13,5,0.35,0.31
14,0,0.11,0.02
14,1,0.15,0.04
14,2,0.28,0.06
14,3,0.25,0.13
14,4,0.3,0.18
14,5,0.29,0.23
15,0,0.15,0.02
15,1,0.17,0.06
15,2,0.25,0.11
15,3,0.24,0.16
15,4,0.26,0.19
15,5,0.26,0.2
16,0,0.21,0.02
16,1,0.14,0.06
16,2,0.19,0.09
16,3,0.26,0.13
16,4,0.22,0.17
16,5,0.3,0.2
17,0,0.21,0.03
17,1,0.2,0.08
17,2,0.24,0.14
17,3,0.27,0.19
17,4,0.3,0.23
17,5,0.31,0.25
18,0,0.24,0.03
18,1,0.22,0.08
18,2,0.21,0.13
18,3,0.29,0.16
18,4,0.3,0.17
18,5,0.33,0.24
19,0,0.3,0.02
19,1,0.31,0.07
19,2,0.3,0.14
19,3,0.27,0.21
19,4,0.29,0.22
19,5,0.31,0.25
20,0,0.14,0.02
20,1,0.18,0.06
20,2,0.12,0.09
20,3,0.19,0.11
20,4,0.23,0.15
20,5,0.24,0.18
21,0,0.2,0.02
21,1,0.2,0.07
21,2,0.22,0.1
21,3,0.19,0.12
21,4,0.24,0.16
21,5,0.23,0.2
22,0,0.07,0.02
22,1,0.03,0.02
22,2,0.03,0.02
22,3,0.1,0.03
22,4,0.2,0.05
22,5,0.21,0.09
23,0,0.19,0.02
23,1,0.22,0.07
23,2,0.19,0.11
23,3,0.19,0.12
23,4,0.22,0.17
23,5,0.23,0.19
24,0,0.04,0.02
24,1,0.12,0.03
24,2,0.19,0.08
24,3,0.2,0.1
24,4,0.17,0.14
24,5,0.26,0.17
25,0,0.21,0.02
25,1,0.18,0.07
25,2,0.21,0.13
25,3,0.25,0.15
25,4,0.33,0.23
25,5,0.34,0.25
26,0,0.11,0.02
26,1,0.2,0.07
26,2,0.25,0.13
26,3,0.28,0.21
26,4,0.3,0.23
26,5,0.31,0.26
27,0,0.19,0.02
27,1,0.22,0.09
27,2,0.21,0.11
27,3,0.27,0.15
27,4,0.26,0.22
27,5,0.3,0.22
28,0,0.23,0.02
28,1,0.22,0.07
28,2,0.21,0.12
28,3,0.32,0.14
28,4,0.31,0.22
28,5,0.34,0.26
29,0,0.24,0.03
29,1,0.2,0.08
29,2,0.28,0.13
29,3,0.26,0.17
29,4,0.28,0.21
29,5,0.31,0.25
30,0,0.21,0.03
30,1,0.2,0.06
30,2,0.22,0.13
30,3,0.26,0.19
30,4,0.24,0.22
30,5,0.32,0.22
