replicate,rank,top-100 model,top-100 acquired
1,0,0.2,0.03
1,1,0.26,0.06
1,2,0.25,0.11
1,3,0.29,0.14
1,4,0.26,0.2
1,5,0.26,0.22
2,0,0.2,0.03
2,1,0.21,0.06
2,2,0.25,0.11
2,3,0.27,0.18
2,4,0.26,0.21
2,5,0.32,0.25
3,0,0.06,0.03
3,1,0.13,0.06
3,2,0.28,0.08
3,3,0.33,0.15
3,4,0.34,0.21
3,5,0.33,0.28
4,0,0.15,0.04
4,1,0.24,0.07
4,2,0.2,0.15
4,3,0.24,0.18
4,4,0.31,0.2
4,5,0.32,0.26
5,0,0.17,0.03
5,1,0.23,0.07
5,2,0.28,0.15
5,3,0.28,0.2
5,4,0.28,0.24
5,5,0.31,0.27
6,0,0.21,0.03
6,1,0.19,0.06
6,2,0.2,0.11
6,3,0.26,0.14
6,4,0.32,0.17
6,5,0.32,0.26
7,0,0.17,0.03
7,1,0.19,0.06
7,2,0.25,0.09
7,3,0.29,0.17
7,4,0.32,0.21
7,5,0.33,0.26
8,0,0.17,0.03
8,1,0.17,0.05
8,2,0.21,0.09
8,3,0.22,0.13
8,4,0.22,0.16
8,5,0.23,0.18
9,0,0.17,0.03
9,1,0.13,0.06
9,2,0.15,0.1
9,3,0.16,0.13
9,4,0.22,0.15
9,5,0.24,0.17
10,0,0.12,0.03
10,1,0.12,0.04
10,2,0.18,0.07
10,3,0.24,0.13
10,4,0.28,0.18
10,5,0.32,0.2
11,0,0.09,0.03
11,1,0.08,0.06
11,2,0.22,0.07
11,3,0.21,0.12
11,4,0.24,0.14
11,5,0.24,0.21
12,0,0.23,0.03
12,1,0.23,0.07
12,2,0.28,0.12
12,3,0.29,0.17
12,4,0.34,0.2
12,5,0.39,0.26
13,0,0.13,0.03
13,1,0.07,0.03
13,2,0.14,0.04
13,3,0.16,0.09
13,4,0.17,0.11
13,5,0.23,0.13
14,0,0.27,0.03
14,1,0.13,0.07
14,2,0.23,0.08
14,3,0.25,0.13
14,4,0.26,0.19
14,5,0.29,0.22
15,0,0.16,0.03
15,1,0.28,0.08
15,2,0.24,0.15
15,3,0.26,0.18
15,4,0.26,0.22
15,5,0.3,0.25
16,0,0.2,0.03
16,1,0.11,0.06
16,2,0.21,0.08
16,3,0.23,0.11
16,4,0.24,0.16
16,5,0.28,0.21
17,0,0.07,0.03
17,1,0.09,0.04
17,2,0.16,0.05
17,3,0.21,0.09
17,4,0.26,0.13
17,5,0.23,0.14
18,0,0.23,0.04
18,1,0.17,0.09
18,2,0.23,0.14
18,3,0.26,0.15
18,4,0.25,0.21
18,5,0.25,0.24
19,0,0.11,0.03
19,1,0.17,0.05
19,2,0.2,0.09
19,3,0.25,0.15
19,4,0.24,0.17
19,5,0.31,0.19
20,0,0.2,0.03
20,1,0.1,0.04
20,2,0.22,0.06
20,3,0.2,0.1
20,4,0.27,0.16
20,5,0.25,0.23
21,0,0.17,0.03
21,1,0.24,0.06
21,2,0.23,0.11
21,3,0.21,0.15
21,4,0.29,0.18
21,5,0.26,0.21
22,0,0.21,0.03
22,1,0.23,0.09
22,2,0.22,0.14
22,3,0.23,0.16
22,4,0.28,0.21
22,5,0.33,0.22
23,0,0.15,0.03
23,1,0.22,0.06
23,2,0.27,0.12
23,3,0.23,0.16
23,4,0.23,0.17
23,5,0.27,0.21
24,0,0.07,0.03
24,1,0.09,0.05
24,2,0.11,0.05
24,3,0.15,0.08
24,4,0.18,0.1
24,5,0.16,0.13
25,0,0.22,0.03
25,1,0.22,0.06
25,2,0.26,0.1
25,3,0.24,0.13
25,4,0.29,0.18
25,5,0.32,0.19
26,0,0.08,0.03
26,1,0.1,0.05
26,2,0.1,0.06
26,3,0.16,0.07
26,4,0.24,0.13
26,5,0.27,0.19
27,0,0.11,0.03
27,1,0.23,0.06
27,2,0.21,0.13
27,3,0.31,0.17
27,4,0.32,0.18
27,5,0.32,0.22
28,0,0.16,0.03
28,1,0.11,0.07
28,2,0.21,0.07
28,3,0.26,0.11
28,4,0.23,0.17
28,5,0.28,0.19
29,0,0.26,0.03
29,1,0.24,0.07
29,2,0.25,0.12
29,3,0.3,0.16
29,4,0.32,0.19
29,5,0.32,0.24
30,0,0.22,0.04
30,1,0.2,0.11
30,2,0.19,0.14
30,3,0.18,0.18
30,4,0.25,0.19
30,5,0.27,0.24
