replicate,rank,top-100 model,top-100 acquired
1,0,0.27,0.04
1,1,0.23,0.08
1,2,0.24,0.1
1,3,0.23,0.16
1,4,0.29,0.19
1,5,0.3,0.24
2,0,0.19,0.04
2,1,0.19,0.08
2,2,0.21,0.11
2,3,0.23,0.13
2,4,0.28,0.18
2,5,0.32,0.23
3,0,0.13,0.04
3,1,0.18,0.08
3,2,0.2,0.13
3,3,0.26,0.17
3,4,0.29,0.21
3,5,0.29,0.22
4,0,0.23,0.05
4,1,0.18,0.09
4,2,0.2,0.14
4,3,0.32,0.19
4,4,0.26,0.22
4,5,0.31,0.24
5,0,0.27,0.04
5,1,0.25,0.09
5,2,0.24,0.15
5,3,0.31,0.17
5,4,0.32,0.22
5,5,0.32,0.27
6,0,0.16,0.04
6,1,0.22,0.08
6,2,0.27,0.15
6,3,0.25,0.19
6,4,0.28,0.2
6,5,0.3,0.24
7,0,0.23,0.04
7,1,0.21,0.11
7,2,0.22,0.15
7,3,0.24,0.19
7,4,0.33,0.21
7,5,0.29,0.24
8,0,0.22,0.04
8,1,0.19,0.1
8,2,0.22,0.14
8,3,0.25,0.19
8,4,0.28,0.23
8,5,0.27,0.28
9,0,0.2,0.04
9,1,0.3,0.08
9,2,0.25,0.14
9,3,0.29,0.17
9,4,0.29,0.21
9,5,0.33,0.28
10,0,0.2,0.04
10,1,0.2,0.06
10,2,0.24,0.13
10,3,0.29,0.18
10,4,0.32,0.22
10,5,0.33,0.24
11,0,0.11,0.04
11,1,0.17,0.06
11,2,0.19,0.11
11,3,0.21,0.12
11,4,0.32,0.18
11,5,0.31,0.24
12,0,0.2,0.04
12,1,0.12,0.08
12,2,0.22,0.11
12,3,0.24,0.13
12,4,0.3,0.2
12,5,0.35,0.25
13,0,0.1,0.04
13,1,0.13,0.04
13,2,0.23,0.04
13,3,0.24,0.12
13,4,0.28,0.15
13,5,0.29,0.21
14,0,0.17,0.04
14,1,0.21,0.07
14,2,0.21,0.12
14,3,0.32,0.19
14,4,0.31,0.22
14,5,0.3,0.24
15,0,0.19,0.04
15,1,0.13,0.07
15,2,0.25,0.11
15,3,0.26,0.18
15,4,0.25,0.21
15,5,0.27,0.24
16,0,0.16,0.04
16,1,0.24,0.08
16,2,0.22,0.12
16,3,0.26,0.14
16,4,0.25,0.19
16,5,0.27,0.21
17,0,0.11,0.05
17,1,0.07,0.07
17,2,0.11,0.08
17,3,0.16,0.1
17,4,0.2,0.12
17,5,0.19,0.15
18,0,0.17,0.05
18,1,0.17,0.09
18,2,0.24,0.12
18,3,0.29,0.14
18,4,0.28,0.2
18,5,0.29,0.23
19,0,0.19,0.04
19,1,0.22,0.11
19,2,0.25,0.15
19,3,0.26,0.18
19,4,0.27,0.2
19,5,0.33,0.22
20,0,0.17,0.04
20,1,0.14,0.07
20,2,0.25,0.1
20,3,0.28,0.15
20,4,0.33,0.2
20,5,0.32,0.27
21,0,0.14,0.04
21,1,0.21,0.09
21,2,0.17,0.14
21,3,0.19,0.16
21,4,0.21,0.17
21,5,0.27,0.19
22,0,0.2,0.04
22,1,0.19,0.09
22,2,0.27,0.15
22,3,0.3,0.2
22,4,0.36,0.24
22,5,0.36,0.28
23,0,0.21,0.04
23,1,0.22,0.08
23,2,0.3,0.13
23,3,0.25,0.19
23,4,0.28,0.22
23,5,0.33,0.25
24,0,0.14,0.04
24,1,0.17,0.09
24,2,0.24,0.13
24,3,0.32,0.16
24,4,0.29,0.2
24,5,0.31,0.24
25,0,0.22,0.04
25,1,0.16,0.09
25,2,0.27,0.12
25,3,0.28,0.17
25,4,0.27,0.22
25,5,0.35,0.22
26,0,0.14,0.04
26,1,0.22,0.08
26,2,0.23,0.13
26,3,0.26,0.18
26,4,0.28,0.2
26,5,0.29,0.25
27,0,0.09,0.04
27,1,0.16,0.04
27,2,0.18,0.07
27,3,0.25,0.14
27,4,0.24,0.17
27,5,0.29,0.2
28,0,0.14,0.04
28,1,0.18,0.07
28,2,0.2,0.13
28,3,0.31,0.16
28,4,0.28,0.22
28,5,0.3,0.26
29,0,0.23,0.04
29,1,0.25,0.1
29,2,0.29,0.14
29,3,0.31,0.19
29,4,0.31,0.24
29,5,0.33,0.26
30,0,0.24,0.05
30,1,0.2,0.08
30,2,0.22,0.1
30,3,0.25,0.14
30,4,0.29,0.2
30,5,0.29,0.25
