replicate,rank,top-100 model,top-100 acquired
1,0,0.14,0.05
1,1,0.12,0.07
1,2,0.12,0.08
1,3,0.21,0.1
1,4,0.2,0.14
1,5,0.28,0.16
2,0,0.21,0.05
2,1,0.18,0.12
2,2,0.23,0.13
2,3,0.23,0.16
2,4,0.26,0.19
2,5,0.27,0.22
3,0,0.1,0.05
3,1,0.21,0.08
3,2,0.23,0.15
3,3,0.34,0.2
3,4,0.3,0.22
3,5,0.35,0.26
4,0,0.24,0.05
4,1,0.22,0.07
4,2,0.24,0.16
4,3,0.28,0.16
4,4,0.31,0.2
4,5,0.31,0.22
5,0,0.19,0.05
5,1,0.23,0.12
5,2,0.21,0.15
5,3,0.28,0.17
5,4,0.29,0.23
5,5,0.33,0.24
6,0,0.18,0.05
6,1,0.14,0.08
6,2,0.15,0.14
6,3,0.28,0.15
6,4,0.26,0.22
6,5,0.31,0.24
7,0,0.23,0.05
7,1,0.16,0.12
7,2,0.25,0.14
7,3,0.25,0.16
7,4,0.26,0.21
7,5,0.31,0.26
8,0,0.2,0.05
8,1,0.28,0.1
8,2,0.32,0.17
8,3,0.31,0.24
8,4,0.33,0.27
8,5,0.34,0.3
9,0,0.12,0.05
9,1,0.1,0.08
9,2,0.22,0.1
9,3,0.25,0.15
9,4,0.3,0.2
9,5,0.25,0.23
10,0,0.21,0.05
10,1,0.22,0.13
10,2,0.21,0.14
10,3,0.22,0.16
10,4,0.3,0.16
10,5,0.3,0.23
11,0,0.19,0.05
11,1,0.22,0.08
11,2,0.21,0.12
11,3,0.26,0.15
11,4,0.36,0.19
11,5,0.33,0.26
12,0,0.09,0.05
12,1,0.19,0.06
12,2,0.17,0.1
12,3,0.23,0.15
12,4,0.24,0.19
12,5,0.25,0.22
13,0,0.18,0.05
13,1,0.18,0.1
13,2,0.23,0.13
13,3,0.25,0.17
13,4,0.29,0.19
13,5,0.32,0.23
14,0,0.23,0.05
14,1,0.24,0.09
14,2,0.26,0.13
14,3,0.28,0.19
14,4,0.31,0.22
14,5,0.29,0.26
15,0,0.25,0.05
15,1,0.24,0.12
15,2,0.27,0.14
15,3,0.28,0.19
15,4,0.32,0.22
15,5,0.31,0.26
16,0,0.2,0.05
16,1,0.2,0.09
16,2,0.29,0.12
16,3,0.28,0.17
16,4,0.32,0.22
16,5,0.35,0.26
17,0,0.15,0.05
17,1,0.08,0.07
17,2,0.27,0.07
17,3,0.28,0.14
17,4,0.28,0.2
17,5,0.27,0.21
18,0,0.16,0.06
18,1,0.24,0.12
18,2,0.26,0.16
18,3,0.3,0.21
18,4,0.28,0.24
18,5,0.27,0.27
19,0,0.22,0.05
19,1,0.22,0.1
19,2,0.27,0.14
19,3,0.29,0.18
19,4,0.32,0.23
19,5,0.34,0.27
20,0,0.2,0.05
20,1,0.19,0.12
20,2,0.23,0.18
20,3,0.26,0.2
20,4,0.25,0.22
20,5,0.31,0.23
21,0,0.27,0.05
21,1,0.21,0.13
21,2,0.26,0.18
21,3,0.28,0.22
21,4,0.3,0.27
21,5,0.36,0.3
22,0,0.24,0.05
22,1,0.19,0.09
22,2,0.23,0.13
22,3,0.3,0.18
22,4,0.31,0.25
22,5,0.35,0.27
23,0,0.23,0.05
23,1,0.21,0.12
23,2,0.26,0.17
23,3,0.29,0.21
23,4,0.31,0.24
23,5,0.31,0.28
24,0,0.23,0.05
24,1,0.17,0.1
24,2,0.27,0.11
24,3,0.29,0.19
24,4,0.3,0.23
24,5,0.3,0.27
25,0,0.16,0.05
25,1,0.14,0.08
25,2,0.22,0.08
25,3,0.26,0.14
25,4,0.25,0.2
25,5,0.31,0.22
26,0,0.16,0.05
26,1,0.19,0.09
26,2,0.26,0.12
26,3,0.27,0.14
26,4,0.28,0.2
26,5,0.28,0.21
27,0,0.27,0.05
27,1,0.19,0.1
27,2,0.24,0.15
27,3,0.29,0.16
27,4,0.38,0.22
27,5,0.4,0.31
28,0,0.12,0.05
28,1,0.11,0.07
28,2,0.18,0.08
28,3,0.18,0.12
28,4,0.25,0.17
28,5,0.23,0.19
29,0,0.15,0.06
29,1,0.19,0.08
29,2,0.24,0.11
29,3,0.27,0.16
29,4,0.27,0.22
29,5,0.33,0.23
30,0,0.26,0.05
30,1,0.23,0.11
30,2,0.23,0.12
30,3,0.23,0.15
30,4,0.27,0.17
30,5,0.29,0.23
