replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.09,0.02
1,2,0.19,0.04
1,3,0.16,0.11
1,4,0.26,0.15
1,5,0.12,0.2
2,0,0.2,0.0
2,1,0.13,0.03
2,2,0.16,0.1
2,3,0.13,0.12
2,4,0.23,0.13
2,5,0.18,0.17
3,0,0.19,0.0
3,1,0.15,0.05
3,2,0.22,0.09
3,3,0.13,0.13
3,4,0.14,0.15
3,5,0.29,0.16
4,0,0.18,0.01
4,1,0.12,0.06
4,2,0.15,0.1
4,3,0.2,0.12
4,4,0.11,0.17
4,5,0.28,0.19
5,0,0.18,0.0
5,1,0.19,0.04
5,2,0.19,0.1
5,3,0.3,0.16
5,4,0.11,0.21
5,5,0.29,0.23
6,0,0.23,0.0
6,1,0.21,0.04
6,2,0.16,0.1
6,3,0.15,0.14
6,4,0.17,0.14
6,5,0.22,0.18
7,0,0.11,0.0
7,1,0.12,0.06
7,2,0.16,0.09
7,3,0.12,0.14
7,4,0.25,0.15
7,5,0.23,0.19
8,0,0.15,0.0
8,1,0.17,0.04
8,2,0.22,0.06
8,3,0.11,0.13
8,4,0.12,0.14
8,5,0.16,0.18
9,0,0.16,0.01
9,1,0.15,0.07
9,2,0.17,0.13
9,3,0.32,0.19
9,4,0.12,0.23
9,5,0.17,0.25
10,0,0.21,0.0
10,1,0.2,0.06
10,2,0.17,0.09
10,3,0.24,0.12
10,4,0.25,0.15
10,5,0.17,0.19
11,0,0.23,0.0
11,1,0.12,0.07
11,2,0.15,0.09
11,3,0.19,0.12
11,4,0.3,0.15
11,5,0.19,0.22
12,0,0.23,0.0
12,1,0.21,0.07
12,2,0.15,0.13
12,3,0.19,0.16
12,4,0.21,0.18
12,5,0.31,0.22
13,0,0.17,0.0
13,1,0.14,0.05
13,2,0.19,0.05
13,3,0.24,0.09
13,4,0.15,0.13
13,5,0.25,0.17
14,0,0.16,0.0
14,1,0.2,0.05
14,2,0.22,0.13
14,3,0.13,0.16
14,4,0.2,0.16
14,5,0.24,0.19
15,0,0.2,0.0
15,1,0.2,0.06
15,2,0.19,0.12
15,3,0.17,0.13
15,4,0.17,0.19
15,5,0.18,0.2
16,0,0.19,0.0
16,1,0.11,0.05
16,2,0.22,0.09
16,3,0.13,0.1
16,4,0.1,0.12
16,5,0.25,0.13
17,0,0.22,0.01
17,1,0.23,0.06
17,2,0.23,0.15
17,3,0.21,0.2
17,4,0.17,0.21
17,5,0.12,0.22
18,0,0.18,0.01
18,1,0.13,0.05
18,2,0.18,0.07
18,3,0.18,0.08
18,4,0.27,0.16
18,5,0.17,0.19
19,0,0.19,0.0
19,1,0.19,0.05
19,2,0.32,0.11
19,3,0.2,0.19
19,4,0.32,0.23
19,5,0.33,0.27
20,0,0.19,0.0
20,1,0.11,0.04
20,2,0.14,0.06
20,3,0.2,0.11
20,4,0.17,0.17
20,5,0.13,0.2
21,0,0.14,0.0
21,1,0.14,0.05
21,2,0.18,0.07
21,3,0.15,0.13
21,4,0.2,0.15
21,5,0.18,0.21
22,0,0.16,0.0
22,1,0.15,0.06
22,2,0.1,0.07
22,3,0.11,0.09
22,4,0.27,0.11
22,5,0.14,0.18
23,0,0.2,0.0
23,1,0.2,0.07
23,2,0.18,0.12
23,3,0.13,0.15
23,4,0.14,0.17
23,5,0.17,0.19
24,0,0.1,0.0
24,1,0.18,0.02
24,2,0.25,0.06
24,3,0.23,0.12
24,4,0.19,0.13
24,5,0.28,0.17
25,0,0.16,0.0
25,1,0.19,0.05
25,2,0.18,0.11
25,3,0.18,0.16
25,4,0.31,0.16
25,5,0.13,0.21
26,0,0.16,0.0
26,1,0.21,0.05
26,2,0.18,0.13
26,3,0.12,0.14
26,4,0.23,0.15
26,5,0.15,0.19
27,0,0.18,0.0
27,1,0.19,0.06
27,2,0.2,0.12
27,3,0.16,0.17
27,4,0.18,0.19
27,5,0.17,0.2
28,0,0.17,0.0
28,1,0.22,0.02
28,2,0.14,0.11
28,3,0.29,0.12
28,4,0.14,0.17
28,5,0.28,0.19
29,0,0.17,0.0
29,1,0.16,0.06
29,2,0.12,0.13
29,3,0.17,0.16
29,4,0.28,0.2
29,5,0.15,0.24
30,0,0.12,0.01
30,1,0.19,0.04
30,2,0.13,0.1
30,3,0.3,0.13
30,4,0.09,0.2
30,5,0.29,0.2
