replicate,rank,top-100 model,top-100 acquired
1,0,0.12,0.0
1,1,0.04,0.02
1,2,0.15,0.02
1,3,0.21,0.07
1,4,0.21,0.13
1,5,0.23,0.16
2,0,0.23,0.0
2,1,0.16,0.07
2,2,0.22,0.11
2,3,0.21,0.14
2,4,0.28,0.18
2,5,0.31,0.22
3,0,0.0,0.0
3,1,0.05,0.0
3,2,0.08,0.01
3,3,0.16,0.03
3,4,0.21,0.09
3,5,0.24,0.13
4,0,0.07,0.01
4,1,0.14,0.04
4,2,0.2,0.07
4,3,0.27,0.13
4,4,0.29,0.17
4,5,0.28,0.23
5,0,0.15,0.0
5,1,0.11,0.03
5,2,0.08,0.07
5,3,0.09,0.07
5,4,0.12,0.09
5,5,0.23,0.11
6,0,0.22,0.0
6,1,0.2,0.06
6,2,0.24,0.1
6,3,0.24,0.11
6,4,0.27,0.15
6,5,0.3,0.19
7,0,0.18,0.0
7,1,0.28,0.07
7,2,0.29,0.15
7,3,0.27,0.2
7,4,0.29,0.24
7,5,0.31,0.25
8,0,0.13,0.0
8,1,0.19,0.06
8,2,0.21,0.1
8,3,0.24,0.15
8,4,0.29,0.17
8,5,0.29,0.22
9,0,0.12,0.01
9,1,0.22,0.03
9,2,0.26,0.06
9,3,0.26,0.13
9,4,0.25,0.2
9,5,0.28,0.23
10,0,0.0,0.0
10,1,0.05,0.0
10,2,0.12,0.02
10,3,0.17,0.07
10,4,0.18,0.1
10,5,0.25,0.12
11,0,0.1,0.0
11,1,0.17,0.03
11,2,0.17,0.06
11,3,0.21,0.12
11,4,0.26,0.14
11,5,0.29,0.22
12,0,0.2,0.0
12,1,0.16,0.04
12,2,0.17,0.1
12,3,0.24,0.16
12,4,0.24,0.18
12,5,0.27,0.21
13,0,0.16,0.0
13,1,0.25,0.05
13,2,0.21,0.1
13,3,0.28,0.14
13,4,0.24,0.16
13,5,0.27,0.2
14,0,0.12,0.0
14,1,0.12,0.0
14,2,0.17,0.03
14,3,0.17,0.07
14,4,0.25,0.08
14,5,0.26,0.14
15,0,0.07,0.0
15,1,0.11,0.01
15,2,0.25,0.05
15,3,0.27,0.14
15,4,0.27,0.17
15,5,0.33,0.2
16,0,0.19,0.0
16,1,0.24,0.08
16,2,0.27,0.12
16,3,0.25,0.16
16,4,0.24,0.19
16,5,0.26,0.22
17,0,0.13,0.01
17,1,0.23,0.08
17,2,0.2,0.11
17,3,0.17,0.15
17,4,0.26,0.16
17,5,0.27,0.22
18,0,0.02,0.0
18,1,0.03,0.01
18,2,0.19,0.01
18,3,0.21,0.04
18,4,0.28,0.1
18,5,0.26,0.17
19,0,0.16,0.0
19,1,0.16,0.03
19,2,0.25,0.07
19,3,0.28,0.11
19,4,0.3,0.15
19,5,0.34,0.23
20,0,0.08,0.0
20,1,0.19,0.01
20,2,0.2,0.07
20,3,0.19,0.12
20,4,0.26,0.15
20,5,0.26,0.2
21,0,0.03,0.0
21,1,0.16,0.02
21,2,0.23,0.05
21,3,0.2,0.11
21,4,0.27,0.13
21,5,0.31,0.23
22,0,0.12,0.0
22,1,0.1,0.01
22,2,0.19,0.04
22,3,0.21,0.08
22,4,0.24,0.1
22,5,0.31,0.14
23,0,0.16,0.0
23,1,0.19,0.05
23,2,0.2,0.11
23,3,0.22,0.18
23,4,0.23,0.18
23,5,0.25,0.2
24,0,0.0,0.0
24,1,0.03,0.0
24,2,0.06,0.0
24,3,0.06,0.01
24,4,0.06,0.05
24,5,0.06,0.05
25,0,0.09,0.0
25,1,0.15,0.01
25,2,0.18,0.05
25,3,0.25,0.1
25,4,0.27,0.19
25,5,0.3,0.21
26,0,0.08,0.0
26,1,0.16,0.03
26,2,0.27,0.09
26,3,0.22,0.13
26,4,0.25,0.16
26,5,0.33,0.2
27,0,0.25,0.0
27,1,0.24,0.06
27,2,0.27,0.11
27,3,0.27,0.19
27,4,0.3,0.23
27,5,0.3,0.25
28,0,0.26,0.0
28,1,0.21,0.1
28,2,0.17,0.13
28,3,0.21,0.14
28,4,0.24,0.16
28,5,0.24,0.18
29,0,0.22,0.01
29,1,0.23,0.06
29,2,0.27,0.13
29,3,0.28,0.16
29,4,0.26,0.17
29,5,0.28,0.23
30,0,0.19,0.01
30,1,0.23,0.03
30,2,0.2,0.06
30,3,0.27,0.12
30,4,0.24,0.15
30,5,0.3,0.21
