replicate,rank,top-100 model,top-100 acquired
1,0,0.01,0.0
1,1,0.03,0.01
1,2,0.01,0.01
1,3,0.06,0.01
1,4,0.13,0.02
1,5,0.17,0.05
2,0,0.1,0.0
2,1,0.13,0.03
2,2,0.21,0.04
2,3,0.19,0.11
2,4,0.21,0.16
2,5,0.24,0.17
3,0,0.06,0.0
3,1,0.13,0.01
3,2,0.23,0.03
3,3,0.23,0.08
3,4,0.22,0.13
3,5,0.24,0.18
4,0,0.07,0.01
4,1,0.14,0.02
4,2,0.21,0.04
4,3,0.21,0.11
4,4,0.28,0.16
4,5,0.27,0.2
5,0,0.16,0.0
5,1,0.18,0.04
5,2,0.16,0.09
5,3,0.16,0.13
5,4,0.18,0.13
5,5,0.2,0.15
6,0,0.16,0.0
6,1,0.14,0.04
6,2,0.19,0.04
6,3,0.23,0.1
6,4,0.24,0.15
6,5,0.27,0.2
7,0,0.09,0.0
7,1,0.15,0.02
7,2,0.2,0.05
7,3,0.2,0.09
7,4,0.17,0.12
7,5,0.2,0.14
8,0,0.08,0.0
8,1,0.2,0.02
8,2,0.24,0.07
8,3,0.26,0.14
8,4,0.24,0.15
8,5,0.31,0.19
9,0,0.05,0.0
9,1,0.16,0.02
9,2,0.26,0.04
9,3,0.24,0.11
9,4,0.25,0.17
9,5,0.29,0.21
10,0,0.01,0.0
10,1,0.0,0.0
10,2,0.02,0.0
10,3,0.04,0.0
10,4,0.03,0.01
10,5,0.05,0.02
11,0,0.15,0.0
11,1,0.2,0.07
11,2,0.21,0.09
11,3,0.26,0.11
11,4,0.28,0.19
11,5,0.29,0.21
12,0,0.17,0.0
12,1,0.14,0.03
12,2,0.21,0.08
12,3,0.21,0.14
12,4,0.26,0.17
12,5,0.28,0.21
13,0,0.15,0.0
13,1,0.19,0.02
13,2,0.13,0.08
13,3,0.18,0.09
13,4,0.27,0.13
13,5,0.26,0.19
14,0,0.03,0.0
14,1,0.05,0.0
14,2,0.14,0.02
14,3,0.2,0.06
14,4,0.25,0.11
14,5,0.22,0.16
15,0,0.12,0.0
15,1,0.05,0.01
15,2,0.08,0.02
15,3,0.17,0.06
15,4,0.18,0.11
15,5,0.21,0.13
16,0,0.11,0.0
16,1,0.18,0.01
16,2,0.18,0.1
16,3,0.21,0.12
16,4,0.23,0.16
16,5,0.25,0.18
17,0,0.15,0.01
17,1,0.21,0.05
17,2,0.21,0.11
17,3,0.24,0.14
17,4,0.23,0.17
17,5,0.22,0.19
18,0,0.11,0.01
18,1,0.21,0.04
18,2,0.21,0.12
18,3,0.26,0.13
18,4,0.28,0.17
18,5,0.3,0.21
19,0,0.1,0.0
19,1,0.13,0.03
19,2,0.17,0.08
19,3,0.23,0.12
19,4,0.26,0.15
19,5,0.25,0.2
20,0,0.04,0.0
20,1,0.14,0.01
20,2,0.16,0.04
20,3,0.21,0.08
20,4,0.24,0.15
20,5,0.3,0.2
21,0,0.16,0.0
21,1,0.14,0.04
21,2,0.22,0.09
21,3,0.19,0.13
21,4,0.25,0.18
21,5,0.26,0.21
22,0,0.05,0.0
22,1,0.06,0.0
22,2,0.08,0.01
22,3,0.11,0.04
22,4,0.16,0.08
22,5,0.18,0.11
23,0,0.15,0.0
23,1,0.18,0.04
23,2,0.18,0.11
23,3,0.2,0.13
23,4,0.25,0.15
23,5,0.27,0.19
24,0,0.05,0.0
24,1,0.16,0.04
24,2,0.16,0.07
24,3,0.11,0.08
24,4,0.12,0.11
24,5,0.14,0.12
25,0,0.14,0.0
25,1,0.17,0.03
25,2,0.27,0.08
25,3,0.25,0.14
25,4,0.24,0.16
25,5,0.23,0.2
26,0,0.16,0.0
26,1,0.17,0.03
26,2,0.22,0.05
26,3,0.23,0.1
26,4,0.24,0.19
26,5,0.24,0.21
27,0,0.25,0.0
27,1,0.15,0.05
27,2,0.22,0.07
27,3,0.27,0.12
27,4,0.27,0.18
27,5,0.28,0.22
28,0,0.03,0.0
28,1,0.14,0.0
28,2,0.24,0.04
28,3,0.28,0.11
28,4,0.31,0.17
28,5,0.35,0.25
29,0,0.15,0.0
29,1,0.24,0.03
29,2,0.22,0.08
29,3,0.23,0.15
29,4,0.26,0.18
29,5,0.3,0.25
30,0,0.16,0.01
30,1,0.24,0.04
30,2,0.2,0.1
30,3,0.25,0.12
30,4,0.22,0.18
30,5,0.26,0.19
