replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.11,0.03
1,2,0.07,0.04
1,3,0.15,0.04
1,4,0.27,0.08
1,5,0.24,0.13
2,0,0.11,0.0
2,1,0.2,0.03
2,2,0.22,0.06
2,3,0.25,0.12
2,4,0.24,0.15
2,5,0.28,0.18
3,0,0.09,0.0
3,1,0.2,0.03
3,2,0.17,0.09
3,3,0.21,0.12
3,4,0.22,0.15
3,5,0.3,0.18
4,0,0.12,0.01
4,1,0.19,0.03
4,2,0.26,0.08
4,3,0.26,0.13
4,4,0.22,0.16
4,5,0.27,0.2
5,0,0.07,0.0
5,1,0.2,0.02
5,2,0.22,0.08
5,3,0.21,0.14
5,4,0.24,0.17
5,5,0.26,0.21
6,0,0.2,0.0
6,1,0.11,0.02
6,2,0.14,0.06
6,3,0.14,0.08
6,4,0.23,0.1
6,5,0.22,0.14
7,0,0.14,0.0
7,1,0.15,0.06
7,2,0.16,0.09
7,3,0.22,0.13
7,4,0.28,0.16
7,5,0.33,0.25
8,0,0.13,0.0
8,1,0.18,0.05
8,2,0.25,0.07
8,3,0.26,0.1
8,4,0.32,0.14
8,5,0.3,0.19
9,0,0.14,0.01
9,1,0.23,0.05
9,2,0.26,0.11
9,3,0.31,0.17
9,4,0.32,0.22
9,5,0.32,0.26
10,0,0.04,0.0
10,1,0.16,0.02
10,2,0.24,0.09
10,3,0.24,0.14
10,4,0.23,0.15
10,5,0.28,0.19
11,0,0.08,0.0
11,1,0.1,0.02
11,2,0.1,0.06
11,3,0.08,0.07
11,4,0.13,0.07
11,5,0.18,0.11
12,0,0.19,0.0
12,1,0.21,0.03
12,2,0.31,0.08
12,3,0.29,0.14
12,4,0.3,0.21
12,5,0.3,0.26
13,0,0.13,0.0
13,1,0.26,0.03
13,2,0.25,0.08
13,3,0.23,0.15
13,4,0.27,0.18
13,5,0.28,0.23
14,0,0.09,0.0
14,1,0.03,0.01
14,2,0.08,0.01
14,3,0.15,0.01
14,4,0.17,0.1
14,5,0.19,0.12
15,0,0.08,0.0
15,1,0.22,0.03
15,2,0.23,0.11
15,3,0.28,0.15
15,4,0.22,0.17
15,5,0.27,0.18
16,0,0.1,0.0
16,1,0.07,0.01
16,2,0.21,0.02
16,3,0.28,0.08
16,4,0.32,0.15
16,5,0.31,0.18
17,0,0.18,0.01
17,1,0.16,0.06
17,2,0.21,0.09
17,3,0.2,0.15
17,4,0.22,0.19
17,5,0.25,0.21
18,0,0.08,0.01
18,1,0.23,0.04
18,2,0.21,0.08
18,3,0.2,0.13
18,4,0.23,0.17
18,5,0.27,0.21
19,0,0.08,0.0
19,1,0.11,0.03
19,2,0.22,0.04
19,3,0.18,0.11
19,4,0.22,0.14
19,5,0.27,0.15
20,0,0.13,0.0
20,1,0.25,0.05
20,2,0.22,0.1
20,3,0.23,0.14
20,4,0.28,0.16
20,5,0.27,0.2
21,0,0.17,0.0
21,1,0.22,0.02
21,2,0.24,0.09
21,3,0.22,0.11
21,4,0.27,0.16
21,5,0.29,0.21
22,0,0.09,0.0
22,1,0.17,0.02
22,2,0.23,0.09
22,3,0.25,0.13
22,4,0.3,0.17
22,5,0.28,0.2
23,0,0.09,0.0
23,1,0.16,0.03
23,2,0.26,0.1
23,3,0.28,0.15
23,4,0.26,0.18
23,5,0.28,0.22
24,0,0.08,0.0
24,1,0.22,0.02
24,2,0.26,0.09
24,3,0.21,0.12
24,4,0.23,0.16
24,5,0.25,0.19
25,0,0.05,0.0
25,1,0.11,0.01
25,2,0.21,0.02
25,3,0.24,0.09
25,4,0.27,0.15
25,5,0.27,0.19
26,0,0.12,0.0
26,1,0.17,0.05
26,2,0.19,0.08
26,3,0.18,0.09
26,4,0.18,0.13
26,5,0.26,0.15
27,0,0.16,0.0
27,1,0.28,0.05
27,2,0.23,0.12
27,3,0.26,0.17
27,4,0.26,0.21
27,5,0.29,0.22
28,0,0.17,0.0
28,1,0.2,0.06
28,2,0.2,0.11
28,3,0.22,0.14
28,4,0.25,0.19
28,5,0.27,0.22
29,0,0.12,0.0
29,1,0.17,0.04
29,2,0.23,0.09
29,3,0.28,0.13
29,4,0.33,0.18
29,5,0.3,0.23
30,0,0.18,0.01
30,1,0.2,0.04
30,2,0.16,0.08
30,3,0.29,0.11
30,4,0.27,0.16
30,5,0.32,0.24
