replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.08,0.01
1,2,0.12,0.03
1,3,0.19,0.06
1,4,0.23,0.13
1,5,0.23,0.2
2,0,0.07,0.0
2,1,0.2,0.01
2,2,0.19,0.03
2,3,0.18,0.12
2,4,0.25,0.14
2,5,0.31,0.18
3,0,0.12,0.0
3,1,0.16,0.01
3,2,0.14,0.09
3,3,0.22,0.1
3,4,0.26,0.15
3,5,0.25,0.21
4,0,0.21,0.01
4,1,0.22,0.05
4,2,0.18,0.11
4,3,0.28,0.12
4,4,0.29,0.2
4,5,0.29,0.23
5,0,0.22,0.0
5,1,0.17,0.04
5,2,0.22,0.08
5,3,0.24,0.11
5,4,0.27,0.17
5,5,0.27,0.23
6,0,0.17,0.0
6,1,0.17,0.03
6,2,0.21,0.06
6,3,0.25,0.14
6,4,0.33,0.2
6,5,0.35,0.25
7,0,0.17,0.0
7,1,0.19,0.05
7,2,0.18,0.12
7,3,0.2,0.16
7,4,0.24,0.18
7,5,0.23,0.22
8,0,0.1,0.0
8,1,0.21,0.01
8,2,0.23,0.08
8,3,0.26,0.11
8,4,0.25,0.17
8,5,0.29,0.19
9,0,0.19,0.01
9,1,0.25,0.05
9,2,0.24,0.11
9,3,0.29,0.15
9,4,0.27,0.21
9,5,0.29,0.25
10,0,0.02,0.0
10,1,0.15,0.0
10,2,0.25,0.08
10,3,0.28,0.12
10,4,0.3,0.19
10,5,0.3,0.22
11,0,0.06,0.0
11,1,0.14,0.02
11,2,0.15,0.05
11,3,0.19,0.09
11,4,0.23,0.13
11,5,0.29,0.17
12,0,0.17,0.0
12,1,0.24,0.06
12,2,0.22,0.11
12,3,0.21,0.14
12,4,0.27,0.17
12,5,0.29,0.22
13,0,0.14,0.0
13,1,0.16,0.05
13,2,0.29,0.06
13,3,0.28,0.14
13,4,0.25,0.17
13,5,0.29,0.21
14,0,0.05,0.0
14,1,0.1,0.01
14,2,0.24,0.05
14,3,0.16,0.11
14,4,0.21,0.13
14,5,0.25,0.16
15,0,0.07,0.0
15,1,0.24,0.03
15,2,0.23,0.09
15,3,0.23,0.13
15,4,0.27,0.17
15,5,0.29,0.22
16,0,0.08,0.0
16,1,0.24,0.02
16,2,0.24,0.09
16,3,0.21,0.13
16,4,0.24,0.15
16,5,0.29,0.18
17,0,0.13,0.0
17,1,0.06,0.01
17,2,0.12,0.02
17,3,0.21,0.05
17,4,0.27,0.1
17,5,0.24,0.16
18,0,0.1,0.01
18,1,0.15,0.04
18,2,0.2,0.05
18,3,0.2,0.12
18,4,0.24,0.16
18,5,0.24,0.22
19,0,0.14,0.0
19,1,0.18,0.03
19,2,0.18,0.09
19,3,0.22,0.12
19,4,0.24,0.16
19,5,0.24,0.2
20,0,0.09,0.0
20,1,0.18,0.03
20,2,0.23,0.09
20,3,0.25,0.12
20,4,0.25,0.17
20,5,0.28,0.2
21,0,0.14,0.0
21,1,0.17,0.04
21,2,0.24,0.08
21,3,0.27,0.16
21,4,0.31,0.2
21,5,0.33,0.23
22,0,0.08,0.0
22,1,0.2,0.01
22,2,0.18,0.1
22,3,0.19,0.12
22,4,0.17,0.14
22,5,0.23,0.16
23,0,0.04,0.0
23,1,0.14,0.02
23,2,0.17,0.06
23,3,0.26,0.09
23,4,0.31,0.14
23,5,0.28,0.22
24,0,0.1,0.0
24,1,0.15,0.02
24,2,0.2,0.09
24,3,0.23,0.16
24,4,0.27,0.17
24,5,0.27,0.22
25,0,0.19,0.0
25,1,0.25,0.05
25,2,0.22,0.07
25,3,0.26,0.11
25,4,0.3,0.2
25,5,0.33,0.26
26,0,0.21,0.0
26,1,0.22,0.04
26,2,0.27,0.1
26,3,0.28,0.13
26,4,0.28,0.19
26,5,0.3,0.23
27,0,0.19,0.0
27,1,0.2,0.05
27,2,0.26,0.11
27,3,0.23,0.18
27,4,0.27,0.19
27,5,0.28,0.22
28,0,0.1,0.0
28,1,0.13,0.03
28,2,0.22,0.05
28,3,0.21,0.1
28,4,0.2,0.15
28,5,0.26,0.17
29,0,0.24,0.01
29,1,0.17,0.08
29,2,0.2,0.11
29,3,0.24,0.17
29,4,0.26,0.2
29,5,0.28,0.23
30,0,0.17,0.01
30,1,0.14,0.03
30,2,0.16,0.09
30,3,0.21,0.13
30,4,0.24,0.16
30,5,0.23,0.2
