replicate,rank,top-100 model,top-100 acquired
1,0,0.03,0.01
1,1,0.04,0.01
1,2,0.07,0.01
1,3,0.16,0.04
1,4,0.2,0.09
1,5,0.25,0.13
2,0,0.06,0.0
2,1,0.13,0.01
2,2,0.13,0.02
2,3,0.14,0.05
2,4,0.18,0.07
2,5,0.31,0.15
3,0,0.11,0.01
3,1,0.19,0.02
3,2,0.29,0.07
3,3,0.25,0.14
3,4,0.3,0.19
3,5,0.31,0.2
4,0,0.01,0.0
4,1,0.09,0.0
4,2,0.18,0.02
4,3,0.18,0.04
4,4,0.21,0.1
4,5,0.21,0.13
5,0,0.23,0.01
5,1,0.21,0.07
5,2,0.24,0.12
5,3,0.26,0.17
5,4,0.27,0.19
5,5,0.28,0.22
6,0,0.16,0.01
6,1,0.11,0.03
6,2,0.14,0.05
6,3,0.18,0.09
6,4,0.18,0.11
6,5,0.22,0.13
7,0,0.15,0.0
7,1,0.25,0.04
7,2,0.24,0.1
7,3,0.28,0.13
7,4,0.27,0.19
7,5,0.32,0.23
8,0,0.08,0.01
8,1,0.13,0.02
8,2,0.18,0.05
8,3,0.19,0.09
8,4,0.24,0.13
8,5,0.3,0.21
9,0,0.2,0.02
9,1,0.19,0.06
9,2,0.21,0.13
9,3,0.28,0.19
9,4,0.29,0.2
9,5,0.28,0.21
10,0,0.0,0.0
10,1,0.02,0.0
10,2,0.04,0.0
10,3,0.04,0.0
10,4,0.11,0.02
10,5,0.22,0.06
11,0,0.1,0.01
11,1,0.09,0.04
11,2,0.19,0.04
11,3,0.21,0.08
11,4,0.23,0.14
11,5,0.27,0.19
12,0,0.11,0.0
12,1,0.2,0.03
12,2,0.16,0.1
12,3,0.25,0.11
12,4,0.25,0.18
12,5,0.27,0.21
13,0,0.17,0.01
13,1,0.28,0.08
13,2,0.23,0.14
13,3,0.27,0.14
13,4,0.3,0.2
13,5,0.3,0.24
14,0,0.08,0.0
14,1,0.1,0.02
14,2,0.2,0.04
14,3,0.25,0.09
14,4,0.32,0.14
14,5,0.3,0.17
15,0,0.1,0.01
15,1,0.15,0.04
15,2,0.23,0.09
15,3,0.26,0.14
15,4,0.26,0.2
15,5,0.32,0.23
16,0,0.12,0.01
16,1,0.18,0.04
16,2,0.2,0.07
16,3,0.21,0.1
16,4,0.22,0.13
16,5,0.25,0.2
17,0,0.11,0.02
17,1,0.21,0.05
17,2,0.24,0.11
17,3,0.24,0.16
17,4,0.29,0.18
17,5,0.31,0.22
18,0,0.05,0.01
18,1,0.04,0.03
18,2,0.05,0.04
18,3,0.08,0.04
18,4,0.05,0.04
18,5,0.05,0.05
19,0,0.14,0.01
19,1,0.15,0.06
19,2,0.19,0.09
19,3,0.26,0.12
19,4,0.25,0.17
19,5,0.27,0.22
20,0,0.04,0.0
20,1,0.1,0.01
20,2,0.17,0.05
20,3,0.22,0.09
20,4,0.22,0.14
20,5,0.22,0.17
21,0,0.14,0.0
21,1,0.18,0.03
21,2,0.2,0.07
21,3,0.21,0.13
21,4,0.2,0.17
21,5,0.22,0.19
22,0,0.12,0.0
22,1,0.08,0.02
22,2,0.21,0.05
22,3,0.22,0.09
22,4,0.23,0.16
22,5,0.21,0.2
23,0,0.07,0.0
23,1,0.23,0.02
23,2,0.17,0.05
23,3,0.23,0.1
23,4,0.24,0.14
23,5,0.27,0.18
24,0,0.01,0.01
24,1,0.05,0.01
24,2,0.11,0.01
24,3,0.18,0.03
24,4,0.16,0.04
24,5,0.29,0.1
25,0,0.02,0.0
25,1,0.01,0.0
25,2,0.14,0.0
25,3,0.21,0.05
25,4,0.2,0.09
25,5,0.24,0.11
26,0,0.12,0.01
26,1,0.07,0.03
26,2,0.17,0.04
26,3,0.19,0.07
26,4,0.19,0.13
26,5,0.23,0.14
27,0,0.13,0.0
27,1,0.19,0.03
27,2,0.15,0.08
27,3,0.19,0.12
27,4,0.2,0.15
27,5,0.24,0.16
28,0,0.17,0.0
28,1,0.17,0.05
28,2,0.19,0.1
28,3,0.21,0.11
28,4,0.26,0.16
28,5,0.24,0.19
29,0,0.21,0.02
29,1,0.18,0.06
29,2,0.24,0.12
29,3,0.25,0.15
29,4,0.29,0.17
29,5,0.31,0.25
30,0,0.13,0.02
30,1,0.18,0.04
30,2,0.2,0.1
30,3,0.27,0.12
30,4,0.29,0.17
30,5,0.32,0.22
