replicate,rank,top-100 model,top-100 acquired
1,0,0.04,0.02
1,1,0.08,0.02
1,2,0.06,0.02
1,3,0.14,0.03
1,4,0.25,0.07
1,5,0.23,0.14
2,0,0.12,0.02
2,1,0.13,0.05
2,2,0.15,0.07
2,3,0.22,0.1
2,4,0.35,0.15
2,5,0.33,0.22
3,0,0.06,0.01
3,1,0.04,0.01
3,2,0.08,0.01
3,3,0.14,0.02
3,4,0.18,0.07
3,5,0.19,0.13
4,0,0.07,0.01
4,1,0.14,0.03
4,2,0.06,0.03
4,3,0.17,0.04
4,4,0.29,0.12
4,5,0.25,0.17
5,0,0.04,0.0
5,1,0.03,0.0
5,2,0.09,0.02
5,3,0.2,0.04
5,4,0.29,0.09
5,5,0.29,0.14
6,0,0.15,0.02
6,1,0.18,0.04
6,2,0.22,0.06
6,3,0.26,0.12
6,4,0.22,0.16
6,5,0.28,0.18
7,0,0.04,0.0
7,1,0.1,0.01
7,2,0.2,0.07
7,3,0.22,0.09
7,4,0.28,0.15
7,5,0.28,0.21
8,0,0.05,0.01
8,1,0.04,0.01
8,2,0.22,0.04
8,3,0.21,0.11
8,4,0.27,0.16
8,5,0.28,0.18
9,0,0.15,0.03
9,1,0.21,0.09
9,2,0.24,0.14
9,3,0.29,0.17
9,4,0.28,0.22
9,5,0.34,0.24
10,0,0.04,0.01
10,1,0.04,0.01
10,2,0.1,0.03
10,3,0.26,0.06
10,4,0.3,0.17
10,5,0.27,0.2
11,0,0.06,0.01
11,1,0.16,0.04
11,2,0.26,0.08
11,3,0.22,0.15
11,4,0.21,0.16
11,5,0.23,0.18
12,0,0.03,0.01
12,1,0.1,0.01
12,2,0.16,0.03
12,3,0.2,0.06
12,4,0.28,0.15
12,5,0.29,0.2
13,0,0.13,0.01
13,1,0.14,0.03
13,2,0.12,0.06
13,3,0.18,0.08
13,4,0.2,0.11
13,5,0.23,0.14
14,0,0.1,0.01
14,1,0.09,0.05
14,2,0.26,0.06
14,3,0.3,0.13
14,4,0.26,0.18
14,5,0.27,0.22
15,0,0.0,0.0
15,1,0.02,0.0
15,2,0.04,0.01
15,3,0.18,0.03
15,4,0.18,0.09
15,5,0.23,0.14
16,0,0.08,0.01
16,1,0.17,0.02
16,2,0.26,0.08
16,3,0.23,0.11
16,4,0.25,0.17
16,5,0.3,0.21
17,0,0.2,0.02
17,1,0.15,0.05
17,2,0.21,0.08
17,3,0.19,0.14
17,4,0.28,0.15
17,5,0.3,0.18
18,0,0.13,0.02
18,1,0.21,0.06
18,2,0.2,0.09
18,3,0.19,0.12
18,4,0.26,0.16
18,5,0.27,0.2
19,0,0.08,0.01
19,1,0.07,0.01
19,2,0.12,0.02
19,3,0.23,0.04
19,4,0.26,0.13
19,5,0.27,0.16
20,0,0.06,0.01
20,1,0.08,0.02
20,2,0.1,0.03
20,3,0.16,0.06
20,4,0.27,0.1
20,5,0.32,0.17
21,0,0.07,0.02
21,1,0.21,0.06
21,2,0.27,0.11
21,3,0.32,0.18
21,4,0.3,0.22
21,5,0.3,0.24
22,0,0.02,0.0
22,1,0.08,0.01
22,2,0.17,0.03
22,3,0.22,0.08
22,4,0.25,0.14
22,5,0.27,0.16
23,0,0.03,0.01
23,1,0.08,0.01
23,2,0.06,0.03
23,3,0.16,0.04
23,4,0.21,0.08
23,5,0.26,0.12
24,0,0.05,0.01
24,1,0.06,0.03
24,2,0.05,0.03
24,3,0.1,0.04
24,4,0.14,0.06
24,5,0.15,0.11
25,0,0.02,0.0
25,1,0.09,0.01
25,2,0.27,0.04
25,3,0.25,0.11
25,4,0.24,0.13
25,5,0.29,0.16
26,0,0.12,0.02
26,1,0.13,0.05
26,2,0.21,0.11
26,3,0.2,0.15
26,4,0.22,0.16
26,5,0.23,0.16
27,0,0.11,0.01
27,1,0.11,0.05
27,2,0.15,0.05
27,3,0.16,0.07
27,4,0.23,0.1
27,5,0.31,0.17
28,0,0.05,0.01
28,1,0.15,0.01
28,2,0.15,0.06
28,3,0.25,0.11
28,4,0.28,0.18
28,5,0.29,0.23
29,0,0.17,0.02
29,1,0.18,0.05
29,2,0.19,0.12
29,3,0.24,0.15
29,4,0.25,0.16
29,5,0.32,0.21
30,0,0.21,0.03
30,1,0.18,0.09
30,2,0.21,0.11
30,3,0.22,0.14
30,4,0.22,0.16
30,5,0.32,0.18
