replicate,rank,top-100 model,top-100 acquired
1,0,0.16,0.02
1,1,0.12,0.05
1,2,0.12,0.06
1,3,0.11,0.08
1,4,0.25,0.08
1,5,0.36,0.16
2,0,0.17,0.02
2,1,0.2,0.04
2,2,0.25,0.1
2,3,0.23,0.13
2,4,0.3,0.18
2,5,0.34,0.24
3,0,0.01,0.01
3,1,0.02,0.01
3,2,0.06,0.01
3,3,0.09,0.04
3,4,0.17,0.07
3,5,0.24,0.09
4,0,0.15,0.01
4,1,0.2,0.03
4,2,0.22,0.09
4,3,0.23,0.14
4,4,0.27,0.18
4,5,0.29,0.21
5,0,0.13,0.0
5,1,0.2,0.05
5,2,0.17,0.1
5,3,0.23,0.14
5,4,0.24,0.2
5,5,0.29,0.23
6,0,0.15,0.02
6,1,0.26,0.05
6,2,0.23,0.12
6,3,0.27,0.13
6,4,0.26,0.18
6,5,0.26,0.19
7,0,0.06,0.0
7,1,0.17,0.03
7,2,0.18,0.06
7,3,0.25,0.09
7,4,0.29,0.14
7,5,0.27,0.19
8,0,0.21,0.01
8,1,0.15,0.04
8,2,0.2,0.09
8,3,0.26,0.12
8,4,0.26,0.17
8,5,0.29,0.2
9,0,0.22,0.03
9,1,0.18,0.08
9,2,0.22,0.12
9,3,0.26,0.14
9,4,0.3,0.16
9,5,0.28,0.22
10,0,0.01,0.01
10,1,0.06,0.01
10,2,0.06,0.02
10,3,0.12,0.02
10,4,0.1,0.04
10,5,0.1,0.07
11,0,0.13,0.01
11,1,0.12,0.03
11,2,0.23,0.06
11,3,0.27,0.1
11,4,0.25,0.13
11,5,0.28,0.2
12,0,0.19,0.01
12,1,0.2,0.03
12,2,0.25,0.08
12,3,0.22,0.14
12,4,0.31,0.18
12,5,0.33,0.21
13,0,0.13,0.01
13,1,0.12,0.06
13,2,0.19,0.11
13,3,0.29,0.15
13,4,0.27,0.18
13,5,0.28,0.21
14,0,0.08,0.01
14,1,0.19,0.04
14,2,0.16,0.09
14,3,0.21,0.13
14,4,0.19,0.17
14,5,0.25,0.18
15,0,0.04,0.0
15,1,0.12,0.01
15,2,0.24,0.07
15,3,0.25,0.11
15,4,0.29,0.16
15,5,0.27,0.21
16,0,0.15,0.01
16,1,0.21,0.04
16,2,0.19,0.1
16,3,0.19,0.14
16,4,0.27,0.16
16,5,0.3,0.2
17,0,0.21,0.02
17,1,0.28,0.08
17,2,0.23,0.12
17,3,0.26,0.16
17,4,0.29,0.2
17,5,0.3,0.26
18,0,0.23,0.02
18,1,0.24,0.11
18,2,0.23,0.14
18,3,0.28,0.16
18,4,0.26,0.21
18,5,0.28,0.25
19,0,0.2,0.01
19,1,0.18,0.07
19,2,0.17,0.12
19,3,0.24,0.15
19,4,0.25,0.16
19,5,0.26,0.25
20,0,0.07,0.01
20,1,0.05,0.05
20,2,0.15,0.06
20,3,0.26,0.12
20,4,0.25,0.18
20,5,0.3,0.2
21,0,0.17,0.02
21,1,0.25,0.05
21,2,0.19,0.12
21,3,0.26,0.16
21,4,0.28,0.2
21,5,0.31,0.23
22,0,0.06,0.0
22,1,0.13,0.0
22,2,0.11,0.06
22,3,0.2,0.09
22,4,0.2,0.15
22,5,0.23,0.16
23,0,0.12,0.01
23,1,0.13,0.04
23,2,0.16,0.09
23,3,0.19,0.11
23,4,0.2,0.14
23,5,0.18,0.15
24,0,0.03,0.01
24,1,0.05,0.01
24,2,0.12,0.02
24,3,0.15,0.04
24,4,0.21,0.07
24,5,0.26,0.14
25,0,0.01,0.0
25,1,0.06,0.0
25,2,0.22,0.03
25,3,0.25,0.08
25,4,0.29,0.13
25,5,0.32,0.18
26,0,0.07,0.02
26,1,0.16,0.04
26,2,0.09,0.07
26,3,0.18,0.08
26,4,0.22,0.14
26,5,0.27,0.18
27,0,0.16,0.01
27,1,0.15,0.06
27,2,0.27,0.09
27,3,0.29,0.13
27,4,0.24,0.19
27,5,0.25,0.23
28,0,0.08,0.01
28,1,0.14,0.04
28,2,0.24,0.06
28,3,0.25,0.12
28,4,0.25,0.16
28,5,0.31,0.2
29,0,0.19,0.02
29,1,0.19,0.05
29,2,0.25,0.08
29,3,0.26,0.14
29,4,0.26,0.19
29,5,0.3,0.23
30,0,0.23,0.03
30,1,0.19,0.04
30,2,0.3,0.08
30,3,0.3,0.16
30,4,0.29,0.22
30,5,0.33,0.24
