replicate,rank,top-100 model,top-100 acquired
1,0,0.12,0.03
1,1,0.18,0.06
1,2,0.26,0.1
1,3,0.23,0.14
1,4,0.29,0.17
1,5,0.33,0.21
2,0,0.08,0.01
2,1,0.17,0.03
2,2,0.18,0.08
2,3,0.25,0.1
2,4,0.32,0.16
2,5,0.34,0.23
3,0,0.1,0.02
3,1,0.23,0.07
3,2,0.3,0.12
3,3,0.27,0.2
3,4,0.26,0.23
3,5,0.34,0.23
4,0,0.09,0.01
4,1,0.14,0.04
4,2,0.27,0.06
4,3,0.33,0.14
4,4,0.29,0.19
4,5,0.36,0.23
5,0,0.07,0.01
5,1,0.04,0.01
5,2,0.07,0.02
5,3,0.13,0.04
5,4,0.19,0.08
5,5,0.21,0.13
6,0,0.07,0.02
6,1,0.04,0.02
6,2,0.08,0.02
6,3,0.24,0.05
6,4,0.21,0.08
6,5,0.27,0.15
7,0,0.07,0.01
7,1,0.1,0.02
7,2,0.14,0.02
7,3,0.16,0.06
7,4,0.19,0.08
7,5,0.24,0.13
8,0,0.05,0.02
8,1,0.05,0.03
8,2,0.05,0.03
8,3,0.09,0.05
8,4,0.07,0.06
8,5,0.17,0.06
9,0,0.1,0.03
9,1,0.25,0.07
9,2,0.23,0.12
9,3,0.24,0.16
9,4,0.27,0.19
9,5,0.35,0.24
10,0,0.1,0.02
10,1,0.19,0.05
10,2,0.17,0.08
10,3,0.25,0.11
10,4,0.27,0.17
10,5,0.26,0.21
11,0,0.02,0.01
11,1,0.05,0.02
11,2,0.11,0.03
11,3,0.1,0.05
11,4,0.15,0.06
11,5,0.12,0.07
12,0,0.01,0.0
12,1,0.08,0.0
12,2,0.21,0.04
12,3,0.18,0.07
12,4,0.25,0.11
12,5,0.26,0.15
13,0,0.06,0.01
13,1,0.15,0.01
13,2,0.2,0.06
13,3,0.28,0.13
13,4,0.25,0.2
13,5,0.3,0.22
14,0,0.07,0.02
14,1,0.13,0.03
14,2,0.22,0.07
14,3,0.27,0.11
14,4,0.3,0.19
14,5,0.28,0.24
15,0,0.01,0.0
15,1,0.01,0.0
15,2,0.03,0.01
15,3,0.15,0.01
15,4,0.17,0.05
15,5,0.25,0.08
16,0,0.08,0.02
16,1,0.1,0.02
16,2,0.2,0.04
16,3,0.28,0.08
16,4,0.32,0.15
16,5,0.33,0.22
17,0,0.22,0.04
17,1,0.2,0.1
17,2,0.23,0.15
17,3,0.29,0.21
17,4,0.35,0.27
17,5,0.39,0.31
18,0,0.02,0.01
18,1,0.02,0.01
18,2,0.06,0.01
18,3,0.11,0.01
18,4,0.22,0.04
18,5,0.24,0.11
19,0,0.05,0.01
19,1,0.11,0.02
19,2,0.09,0.05
19,3,0.15,0.05
19,4,0.25,0.09
19,5,0.22,0.13
20,0,0.12,0.03
20,1,0.13,0.07
20,2,0.21,0.09
20,3,0.27,0.13
20,4,0.33,0.2
20,5,0.28,0.25
21,0,0.09,0.02
21,1,0.16,0.04
21,2,0.21,0.07
21,3,0.2,0.14
21,4,0.22,0.16
21,5,0.27,0.2
22,0,0.13,0.03
22,1,0.1,0.04
22,2,0.12,0.06
22,3,0.12,0.06
22,4,0.18,0.09
22,5,0.18,0.12
23,0,0.06,0.01
23,1,0.18,0.04
23,2,0.22,0.09
23,3,0.28,0.13
23,4,0.32,0.17
23,5,0.33,0.27
24,0,0.12,0.02
24,1,0.12,0.06
24,2,0.17,0.09
24,3,0.19,0.13
24,4,0.27,0.16
24,5,0.24,0.18
25,0,0.1,0.02
25,1,0.1,0.04
25,2,0.12,0.06
25,3,0.15,0.08
25,4,0.18,0.12
25,5,0.18,0.14
26,0,0.05,0.01
26,1,0.09,0.02
26,2,0.05,0.05
26,3,0.12,0.06
26,4,0.13,0.08
26,5,0.17,0.09
27,0,0.11,0.02
27,1,0.12,0.04
27,2,0.16,0.07
27,3,0.31,0.12
27,4,0.32,0.19
27,5,0.31,0.22
28,0,0.06,0.01
28,1,0.08,0.02
28,2,0.16,0.03
28,3,0.18,0.11
28,4,0.21,0.13
28,5,0.25,0.15
29,0,0.11,0.02
29,1,0.13,0.05
29,2,0.15,0.05
29,3,0.26,0.11
29,4,0.28,0.16
29,5,0.3,0.21
30,0,0.16,0.04
30,1,0.2,0.06
30,2,0.27,0.11
30,3,0.28,0.15
30,4,0.27,0.18
30,5,0.28,0.25
