replicate,rank,top-100 model,top-100 acquired
1,0,0.2,0.03
1,1,0.19,0.07
1,2,0.23,0.09
1,3,0.25,0.13
1,4,0.25,0.19
1,5,0.26,0.22
2,0,0.15,0.01
2,1,0.14,0.05
2,2,0.23,0.11
2,3,0.24,0.17
2,4,0.25,0.2
2,5,0.27,0.23
3,0,0.13,0.02
3,1,0.15,0.05
3,2,0.18,0.07
3,3,0.27,0.12
3,4,0.25,0.14
3,5,0.3,0.17
4,0,0.08,0.01
4,1,0.04,0.02
4,2,0.16,0.02
4,3,0.23,0.08
4,4,0.3,0.15
4,5,0.32,0.22
5,0,0.26,0.01
5,1,0.18,0.08
5,2,0.19,0.1
5,3,0.21,0.14
5,4,0.28,0.15
5,5,0.3,0.19
6,0,0.06,0.02
6,1,0.18,0.04
6,2,0.23,0.08
6,3,0.27,0.13
6,4,0.27,0.17
6,5,0.28,0.2
7,0,0.16,0.01
7,1,0.19,0.06
7,2,0.25,0.11
7,3,0.28,0.14
7,4,0.3,0.21
7,5,0.31,0.28
8,0,0.09,0.02
8,1,0.13,0.05
8,2,0.19,0.07
8,3,0.24,0.12
8,4,0.27,0.2
8,5,0.29,0.21
9,0,0.23,0.03
9,1,0.13,0.09
9,2,0.27,0.1
9,3,0.3,0.16
9,4,0.26,0.23
9,5,0.28,0.26
10,0,0.14,0.02
10,1,0.22,0.06
10,2,0.19,0.11
10,3,0.23,0.13
10,4,0.28,0.2
10,5,0.29,0.22
11,0,0.06,0.01
11,1,0.13,0.03
11,2,0.13,0.06
11,3,0.17,0.08
11,4,0.16,0.11
11,5,0.23,0.14
12,0,0.0,0.0
12,1,0.03,0.0
12,2,0.05,0.01
12,3,0.08,0.03
12,4,0.09,0.04
12,5,0.14,0.05
13,0,0.14,0.01
13,1,0.22,0.07
13,2,0.22,0.11
13,3,0.23,0.13
13,4,0.3,0.15
13,5,0.28,0.23
14,0,0.08,0.02
14,1,0.05,0.04
14,2,0.08,0.04
14,3,0.24,0.07
14,4,0.26,0.11
14,5,0.27,0.18
15,0,0.0,0.0
15,1,0.03,0.0
15,2,0.1,0.01
15,3,0.22,0.04
15,4,0.23,0.08
15,5,0.25,0.16
16,0,0.11,0.02
16,1,0.23,0.08
16,2,0.25,0.12
16,3,0.2,0.15
16,4,0.24,0.16
16,5,0.29,0.18
17,0,0.2,0.04
17,1,0.22,0.08
17,2,0.31,0.1
17,3,0.27,0.17
17,4,0.28,0.19
17,5,0.31,0.23
18,0,0.08,0.01
18,1,0.07,0.02
18,2,0.14,0.03
18,3,0.12,0.08
18,4,0.25,0.1
18,5,0.25,0.17
19,0,0.14,0.01
19,1,0.2,0.05
19,2,0.15,0.1
19,3,0.19,0.11
19,4,0.25,0.14
19,5,0.3,0.18
20,0,0.19,0.03
20,1,0.25,0.08
20,2,0.26,0.15
20,3,0.3,0.2
20,4,0.34,0.28
20,5,0.33,0.3
21,0,0.18,0.02
21,1,0.18,0.08
21,2,0.17,0.12
21,3,0.25,0.14
21,4,0.29,0.15
21,5,0.31,0.22
22,0,0.19,0.03
22,1,0.18,0.07
22,2,0.21,0.09
22,3,0.22,0.13
22,4,0.25,0.19
22,5,0.27,0.23
23,0,0.07,0.01
23,1,0.16,0.04
23,2,0.15,0.06
23,3,0.28,0.1
23,4,0.27,0.16
23,5,0.32,0.21
24,0,0.21,0.02
24,1,0.22,0.11
24,2,0.25,0.16
24,3,0.3,0.18
24,4,0.32,0.21
24,5,0.31,0.27
25,0,0.18,0.02
25,1,0.21,0.06
25,2,0.21,0.09
25,3,0.27,0.12
25,4,0.26,0.2
25,5,0.33,0.22
26,0,0.03,0.01
26,1,0.05,0.01
26,2,0.12,0.01
26,3,0.22,0.03
26,4,0.23,0.07
26,5,0.26,0.13
27,0,0.14,0.02
27,1,0.17,0.07
27,2,0.3,0.12
27,3,0.24,0.17
27,4,0.27,0.19
27,5,0.32,0.22
28,0,0.07,0.01
28,1,0.2,0.02
28,2,0.23,0.06
28,3,0.27,0.1
28,4,0.33,0.17
28,5,0.35,0.23
29,0,0.12,0.02
29,1,0.13,0.07
29,2,0.19,0.08
29,3,0.15,0.08
29,4,0.16,0.1
29,5,0.26,0.16
30,0,0.2,0.04
30,1,0.18,0.06
30,2,0.2,0.09
30,3,0.27,0.12
30,4,0.29,0.16
30,5,0.27,0.22
