replicate,rank,top-100 model,top-100 acquired
1,0,0.26,0.0
1,1,0.24,0.06
1,2,0.21,0.11
1,3,0.22,0.13
1,4,0.23,0.18
1,5,0.12,0.21
2,0,0.18,0.0
2,1,0.1,0.03
2,2,0.27,0.06
2,3,0.12,0.12
2,4,0.11,0.12
2,5,0.11,0.17
3,0,0.11,0.0
3,1,0.19,0.04
3,2,0.13,0.11
3,3,0.16,0.14
3,4,0.16,0.16
3,5,0.16,0.18
4,0,0.19,0.01
4,1,0.16,0.1
4,2,0.16,0.11
4,3,0.12,0.13
4,4,0.15,0.14
4,5,0.16,0.17
5,0,0.21,0.0
5,1,0.28,0.07
5,2,0.31,0.12
5,3,0.25,0.16
5,4,0.17,0.21
5,5,0.21,0.21
6,0,0.18,0.0
6,1,0.21,0.06
6,2,0.17,0.12
6,3,0.18,0.14
6,4,0.19,0.16
6,5,0.27,0.18
7,0,0.19,0.0
7,1,0.12,0.04
7,2,0.13,0.05
7,3,0.28,0.09
7,4,0.18,0.16
7,5,0.08,0.19
8,0,0.15,0.0
8,1,0.13,0.04
8,2,0.09,0.04
8,3,0.07,0.07
8,4,0.13,0.1
8,5,0.16,0.12
9,0,0.2,0.01
9,1,0.19,0.07
9,2,0.24,0.12
9,3,0.17,0.16
9,4,0.29,0.19
9,5,0.27,0.28
10,0,0.18,0.0
10,1,0.16,0.05
10,2,0.13,0.1
10,3,0.12,0.15
10,4,0.2,0.17
10,5,0.1,0.2
11,0,0.16,0.0
11,1,0.12,0.0
11,2,0.19,0.01
11,3,0.18,0.06
11,4,0.3,0.11
11,5,0.2,0.16
12,0,0.15,0.0
12,1,0.23,0.04
12,2,0.15,0.1
12,3,0.17,0.11
12,4,0.14,0.16
12,5,0.23,0.18
13,0,0.21,0.0
13,1,0.16,0.04
13,2,0.17,0.08
13,3,0.21,0.09
13,4,0.15,0.14
13,5,0.21,0.15
14,0,0.17,0.0
14,1,0.2,0.05
14,2,0.13,0.11
14,3,0.12,0.14
14,4,0.16,0.15
14,5,0.09,0.17
15,0,0.25,0.0
15,1,0.18,0.07
15,2,0.16,0.12
15,3,0.12,0.14
15,4,0.31,0.15
15,5,0.17,0.21
16,0,0.15,0.0
16,1,0.2,0.04
16,2,0.17,0.08
16,3,0.21,0.12
16,4,0.12,0.18
16,5,0.22,0.19
17,0,0.13,0.01
17,1,0.19,0.05
17,2,0.24,0.09
17,3,0.27,0.14
17,4,0.2,0.15
17,5,0.13,0.19
18,0,0.16,0.01
18,1,0.12,0.04
18,2,0.15,0.08
18,3,0.16,0.14
18,4,0.28,0.17
18,5,0.11,0.25
19,0,0.22,0.0
19,1,0.13,0.02
19,2,0.2,0.05
19,3,0.08,0.1
19,4,0.13,0.1
19,5,0.26,0.13
20,0,0.12,0.0
20,1,0.21,0.04
20,2,0.19,0.12
20,3,0.14,0.13
20,4,0.23,0.14
20,5,0.13,0.17
21,0,0.16,0.0
21,1,0.08,0.05
21,2,0.16,0.06
21,3,0.23,0.09
21,4,0.29,0.13
21,5,0.14,0.2
22,0,0.15,0.0
22,1,0.09,0.05
22,2,0.08,0.06
22,3,0.09,0.07
22,4,0.18,0.08
22,5,0.27,0.16
23,0,0.18,0.0
23,1,0.15,0.08
23,2,0.25,0.09
23,3,0.16,0.18
23,4,0.19,0.18
23,5,0.24,0.21
24,0,0.23,0.0
24,1,0.19,0.05
24,2,0.17,0.08
24,3,0.24,0.12
24,4,0.11,0.18
24,5,0.17,0.18
25,0,0.13,0.0
25,1,0.12,0.03
25,2,0.19,0.08
25,3,0.13,0.12
25,4,0.18,0.12
25,5,0.25,0.17
26,0,0.17,0.0
26,1,0.14,0.03
26,2,0.26,0.11
26,3,0.16,0.17
26,4,0.31,0.18
26,5,0.17,0.23
27,0,0.17,0.0
27,1,0.14,0.05
27,2,0.12,0.08
27,3,0.15,0.12
27,4,0.17,0.14
27,5,0.22,0.15
28,0,0.09,0.0
28,1,0.17,0.02
28,2,0.08,0.1
28,3,0.13,0.1
28,4,0.29,0.13
28,5,0.29,0.19
29,0,0.16,0.01
29,1,0.2,0.08
29,2,0.17,0.13
29,3,0.12,0.15
29,4,0.27,0.16
29,5,0.27,0.23
30,0,0.19,0.01
30,1,0.2,0.04
30,2,0.22,0.12
30,3,0.19,0.19
30,4,0.24,0.19
30,5,0.12,0.24
