replicate,rank,top-100 model,top-100 acquired
1,0,0.08,0.0
1,1,0.16,0.02
1,2,0.17,0.07
1,3,0.21,0.13
1,4,0.24,0.16
1,5,0.3,0.2
2,0,0.07,0.0
2,1,0.17,0.02
2,2,0.22,0.04
2,3,0.2,0.09
2,4,0.23,0.13
2,5,0.3,0.17
3,0,0.02,0.0
3,1,0.14,0.01
3,2,0.21,0.05
3,3,0.25,0.11
3,4,0.22,0.16
3,5,0.28,0.2
4,0,0.07,0.01
4,1,0.08,0.02
4,2,0.14,0.05
4,3,0.19,0.07
4,4,0.22,0.1
4,5,0.27,0.14
5,0,0.14,0.0
5,1,0.21,0.03
5,2,0.21,0.09
5,3,0.26,0.13
5,4,0.23,0.17
5,5,0.25,0.2
6,0,0.19,0.0
6,1,0.22,0.08
6,2,0.22,0.13
6,3,0.22,0.16
6,4,0.27,0.18
6,5,0.27,0.23
7,0,0.1,0.0
7,1,0.14,0.01
7,2,0.23,0.06
7,3,0.25,0.11
7,4,0.24,0.17
7,5,0.27,0.22
8,0,0.05,0.0
8,1,0.15,0.01
8,2,0.19,0.06
8,3,0.19,0.13
8,4,0.25,0.19
8,5,0.27,0.21
9,0,0.22,0.01
9,1,0.14,0.04
9,2,0.15,0.05
9,3,0.21,0.1
9,4,0.22,0.12
9,5,0.23,0.17
10,0,0.0,0.0
10,1,0.03,0.0
10,2,0.05,0.01
10,3,0.06,0.03
10,4,0.07,0.04
10,5,0.1,0.05
11,0,0.04,0.0
11,1,0.16,0.01
11,2,0.23,0.06
11,3,0.26,0.07
11,4,0.27,0.15
11,5,0.29,0.18
12,0,0.17,0.0
12,1,0.21,0.01
12,2,0.26,0.06
12,3,0.24,0.11
12,4,0.25,0.17
12,5,0.26,0.21
13,0,0.1,0.0
13,1,0.19,0.02
13,2,0.26,0.06
13,3,0.27,0.13
13,4,0.26,0.19
13,5,0.27,0.22
14,0,0.04,0.0
14,1,0.08,0.01
14,2,0.17,0.05
14,3,0.28,0.07
14,4,0.31,0.16
14,5,0.3,0.22
15,0,0.05,0.0
15,1,0.15,0.01
15,2,0.18,0.05
15,3,0.25,0.12
15,4,0.25,0.15
15,5,0.25,0.17
16,0,0.04,0.0
16,1,0.14,0.0
16,2,0.13,0.03
16,3,0.11,0.09
16,4,0.18,0.09
16,5,0.24,0.12
17,0,0.16,0.01
17,1,0.21,0.03
17,2,0.22,0.1
17,3,0.29,0.15
17,4,0.28,0.19
17,5,0.3,0.23
18,0,0.18,0.01
18,1,0.21,0.06
18,2,0.22,0.09
18,3,0.24,0.14
18,4,0.27,0.19
18,5,0.31,0.21
19,0,0.15,0.0
19,1,0.1,0.03
19,2,0.17,0.05
19,3,0.19,0.08
19,4,0.18,0.1
19,5,0.23,0.11
20,0,0.05,0.0
20,1,0.12,0.0
20,2,0.17,0.07
20,3,0.25,0.12
20,4,0.23,0.15
20,5,0.27,0.18
21,0,0.14,0.0
21,1,0.15,0.0
21,2,0.2,0.06
21,3,0.26,0.09
21,4,0.25,0.15
21,5,0.29,0.21
22,0,0.07,0.0
22,1,0.11,0.02
22,2,0.16,0.02
22,3,0.22,0.07
22,4,0.26,0.11
22,5,0.27,0.17
23,0,0.04,0.0
23,1,0.2,0.02
23,2,0.24,0.05
23,3,0.19,0.09
23,4,0.27,0.13
23,5,0.25,0.2
24,0,0.0,0.0
24,1,0.01,0.0
24,2,0.02,0.0
24,3,0.02,0.02
24,4,0.04,0.02
24,5,0.09,0.03
25,0,0.03,0.0
25,1,0.12,0.01
25,2,0.12,0.02
25,3,0.18,0.05
25,4,0.23,0.12
25,5,0.25,0.17
26,0,0.04,0.0
26,1,0.04,0.0
26,2,0.14,0.01
26,3,0.13,0.04
26,4,0.13,0.04
26,5,0.25,0.1
27,0,0.18,0.0
27,1,0.24,0.02
27,2,0.22,0.07
27,3,0.24,0.12
27,4,0.25,0.19
27,5,0.27,0.2
28,0,0.15,0.0
28,1,0.19,0.02
28,2,0.25,0.08
28,3,0.28,0.14
28,4,0.3,0.17
28,5,0.31,0.25
29,0,0.22,0.01
29,1,0.19,0.08
29,2,0.23,0.14
29,3,0.27,0.15
29,4,0.3,0.23
29,5,0.3,0.25
30,0,0.21,0.01
30,1,0.2,0.04
30,2,0.2,0.07
30,3,0.21,0.12
30,4,0.26,0.15
30,5,0.28,0.23
