replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.18,0.02
1,2,0.2,0.07
1,3,0.21,0.1
1,4,0.26,0.16
1,5,0.3,0.19
2,0,0.07,0.0
2,1,0.15,0.02
2,2,0.22,0.06
2,3,0.16,0.14
2,4,0.25,0.14
2,5,0.27,0.2
3,0,0.03,0.0
3,1,0.13,0.0
3,2,0.18,0.05
3,3,0.18,0.1
3,4,0.2,0.11
3,5,0.23,0.14
4,0,0.07,0.01
4,1,0.16,0.03
4,2,0.2,0.07
4,3,0.21,0.12
4,4,0.24,0.15
4,5,0.22,0.17
5,0,0.14,0.0
5,1,0.21,0.03
5,2,0.22,0.09
5,3,0.24,0.13
5,4,0.27,0.17
5,5,0.28,0.19
6,0,0.2,0.0
6,1,0.19,0.07
6,2,0.23,0.1
6,3,0.22,0.15
6,4,0.24,0.16
6,5,0.26,0.22
7,0,0.12,0.0
7,1,0.1,0.01
7,2,0.16,0.05
7,3,0.26,0.1
7,4,0.28,0.15
7,5,0.3,0.2
8,0,0.04,0.0
8,1,0.17,0.02
8,2,0.17,0.08
8,3,0.2,0.1
8,4,0.3,0.13
8,5,0.3,0.18
9,0,0.22,0.01
9,1,0.21,0.05
9,2,0.25,0.06
9,3,0.24,0.13
9,4,0.29,0.19
9,5,0.27,0.23
10,0,0.0,0.0
10,1,0.02,0.0
10,2,0.05,0.01
10,3,0.03,0.01
10,4,0.04,0.01
10,5,0.04,0.02
11,0,0.04,0.0
11,1,0.17,0.02
11,2,0.13,0.04
11,3,0.25,0.06
11,4,0.24,0.12
11,5,0.28,0.15
12,0,0.16,0.0
12,1,0.12,0.0
12,2,0.2,0.05
12,3,0.27,0.07
12,4,0.23,0.15
12,5,0.26,0.17
13,0,0.09,0.0
13,1,0.18,0.03
13,2,0.22,0.08
13,3,0.22,0.1
13,4,0.22,0.13
13,5,0.25,0.17
14,0,0.04,0.0
14,1,0.08,0.01
14,2,0.19,0.05
14,3,0.24,0.08
14,4,0.25,0.14
14,5,0.27,0.17
15,0,0.06,0.0
15,1,0.11,0.01
15,2,0.16,0.05
15,3,0.17,0.07
15,4,0.21,0.14
15,5,0.22,0.17
16,0,0.04,0.0
16,1,0.09,0.0
16,2,0.14,0.02
16,3,0.23,0.09
16,4,0.23,0.11
16,5,0.27,0.14
17,0,0.16,0.01
17,1,0.22,0.03
17,2,0.21,0.08
17,3,0.26,0.15
17,4,0.29,0.18
17,5,0.3,0.23
18,0,0.18,0.01
18,1,0.18,0.06
18,2,0.19,0.09
18,3,0.22,0.12
18,4,0.25,0.15
18,5,0.26,0.2
19,0,0.15,0.0
19,1,0.12,0.03
19,2,0.17,0.05
19,3,0.19,0.07
19,4,0.23,0.15
19,5,0.27,0.22
20,0,0.06,0.0
20,1,0.08,0.0
20,2,0.17,0.03
20,3,0.22,0.08
20,4,0.28,0.12
20,5,0.29,0.18
21,0,0.15,0.0
21,1,0.12,0.0
21,2,0.24,0.04
21,3,0.23,0.09
21,4,0.26,0.17
21,5,0.23,0.2
22,0,0.08,0.0
22,1,0.08,0.02
22,2,0.19,0.02
22,3,0.21,0.07
22,4,0.24,0.11
22,5,0.25,0.16
23,0,0.05,0.0
23,1,0.19,0.02
23,2,0.19,0.06
23,3,0.16,0.12
23,4,0.24,0.15
23,5,0.23,0.18
24,0,0.0,0.0
24,1,0.01,0.0
24,2,0.04,0.0
24,3,0.06,0.02
24,4,0.1,0.02
24,5,0.18,0.05
25,0,0.03,0.0
25,1,0.16,0.01
25,2,0.19,0.05
25,3,0.2,0.12
25,4,0.26,0.17
25,5,0.27,0.18
26,0,0.04,0.0
26,1,0.04,0.0
26,2,0.1,0.01
26,3,0.1,0.03
26,4,0.17,0.05
26,5,0.2,0.06
27,0,0.18,0.0
27,1,0.17,0.04
27,2,0.18,0.07
27,3,0.23,0.08
27,4,0.29,0.14
27,5,0.32,0.21
28,0,0.15,0.0
28,1,0.18,0.02
28,2,0.21,0.09
28,3,0.25,0.16
28,4,0.26,0.2
28,5,0.29,0.21
29,0,0.23,0.01
29,1,0.24,0.08
29,2,0.24,0.12
29,3,0.27,0.14
29,4,0.32,0.18
29,5,0.3,0.22
30,0,0.21,0.01
30,1,0.2,0.04
30,2,0.21,0.09
30,3,0.21,0.14
30,4,0.21,0.16
30,5,0.29,0.18
