replicate,rank,top-100 model,top-100 acquired
1,0,0.01,0.0
1,1,0.02,0.0
1,2,0.03,0.01
1,3,0.06,0.01
1,4,0.08,0.03
1,5,0.07,0.05
2,0,0.01,0.0
2,1,0.04,0.01
2,2,0.09,0.01
2,3,0.09,0.02
2,4,0.08,0.04
2,5,0.17,0.07
3,0,0.01,0.0
3,1,0.05,0.0
3,2,0.04,0.01
3,3,0.07,0.02
3,4,0.09,0.06
3,5,0.1,0.08
4,0,0.01,0.01
4,1,0.09,0.01
4,2,0.14,0.04
4,3,0.12,0.07
4,4,0.13,0.09
4,5,0.16,0.11
5,0,0.02,0.0
5,1,0.01,0.01
5,2,0.03,0.01
5,3,0.03,0.01
5,4,0.03,0.02
5,5,0.04,0.02
6,0,0.02,0.0
6,1,0.06,0.0
6,2,0.07,0.01
6,3,0.09,0.02
6,4,0.09,0.05
6,5,0.14,0.08
7,0,0.02,0.0
7,1,0.06,0.0
7,2,0.06,0.01
7,3,0.04,0.04
7,4,0.06,0.04
7,5,0.06,0.05
8,0,0.01,0.0
8,1,0.02,0.01
8,2,0.02,0.01
8,3,0.03,0.01
8,4,0.03,0.01
8,5,0.07,0.01
9,0,0.03,0.01
9,1,0.03,0.02
9,2,0.13,0.02
9,3,0.1,0.03
9,4,0.11,0.05
9,5,0.16,0.06
10,0,0.03,0.0
10,1,0.04,0.01
10,2,0.03,0.02
10,3,0.04,0.02
10,4,0.07,0.03
10,5,0.07,0.05
11,0,0.04,0.0
11,1,0.03,0.01
11,2,0.04,0.01
11,3,0.03,0.01
11,4,0.03,0.02
11,5,0.04,0.02
12,0,0.01,0.0
12,1,0.04,0.0
12,2,0.1,0.02
12,3,0.12,0.04
12,4,0.14,0.06
12,5,0.12,0.1
13,0,0.03,0.0
13,1,0.02,0.0
13,2,0.02,0.0
13,3,0.01,0.0
13,4,0.03,0.01
13,5,0.07,0.02
14,0,0.01,0.0
14,1,0.03,0.0
14,2,0.03,0.01
14,3,0.11,0.02
14,4,0.16,0.04
14,5,0.14,0.08
15,0,0.0,0.0
15,1,0.01,0.0
15,2,0.0,0.0
15,3,0.07,0.0
15,4,0.07,0.01
15,5,0.09,0.01
16,0,0.0,0.0
16,1,0.06,0.0
16,2,0.09,0.02
16,3,0.08,0.04
16,4,0.12,0.06
16,5,0.13,0.09
17,0,0.06,0.01
17,1,0.1,0.02
17,2,0.14,0.06
17,3,0.15,0.1
17,4,0.19,0.13
17,5,0.21,0.16
18,0,0.03,0.01
18,1,0.01,0.01
18,2,0.01,0.01
18,3,0.02,0.01
18,4,0.07,0.01
18,5,0.1,0.04
19,0,0.02,0.0
19,1,0.04,0.0
19,2,0.13,0.02
19,3,0.13,0.05
19,4,0.16,0.09
19,5,0.13,0.13
20,0,0.0,0.0
20,1,0.03,0.0
20,2,0.02,0.0
20,3,0.05,0.01
20,4,0.07,0.01
20,5,0.08,0.04
21,0,0.01,0.0
21,1,0.06,0.01
21,2,0.03,0.02
21,3,0.04,0.02
21,4,0.06,0.02
21,5,0.09,0.05
22,0,0.02,0.0
22,1,0.04,0.0
22,2,0.05,0.0
22,3,0.05,0.01
22,4,0.07,0.03
22,5,0.07,0.05
23,0,0.02,0.0
23,1,0.03,0.0
23,2,0.05,0.03
23,3,0.07,0.03
23,4,0.11,0.04
23,5,0.1,0.08
24,0,0.02,0.0
24,1,0.02,0.01
24,2,0.07,0.01
24,3,0.08,0.03
24,4,0.08,0.04
24,5,0.12,0.05
25,0,0.02,0.0
25,1,0.04,0.0
25,2,0.05,0.0
25,3,0.03,0.01
25,4,0.04,0.01
25,5,0.06,0.03
26,0,0.0,0.0
26,1,0.0,0.0
26,2,0.0,0.0
26,3,0.0,0.0
26,4,0.0,0.0
26,5,0.0,0.0
27,0,0.01,0.0
27,1,0.06,0.0
27,2,0.04,0.01
27,3,0.13,0.02
27,4,0.14,0.06
27,5,0.14,0.08
28,0,0.01,0.0
28,1,0.03,0.0
28,2,0.03,0.0
28,3,0.04,0.01
28,4,0.04,0.01
28,5,0.05,0.02
29,0,0.1,0.01
29,1,0.06,0.02
29,2,0.13,0.03
29,3,0.12,0.07
29,4,0.13,0.08
29,5,0.16,0.1
30,0,0.05,0.01
30,1,0.08,0.03
30,2,0.11,0.04
30,3,0.13,0.08
30,4,0.14,0.1
30,5,0.13,0.11
