replicate,rank,top-100 model,top-100 acquired
1,0,0.03,0.0
1,1,0.07,0.0
1,2,0.16,0.03
1,3,0.15,0.05
1,4,0.13,0.08
1,5,0.2,0.1
2,0,0.02,0.0
2,1,0.19,0.02
2,2,0.18,0.06
2,3,0.19,0.11
2,4,0.3,0.15
2,5,0.3,0.19
3,0,0.07,0.0
3,1,0.12,0.02
3,2,0.18,0.07
3,3,0.17,0.11
3,4,0.22,0.15
3,5,0.22,0.18
4,0,0.07,0.01
4,1,0.11,0.01
4,2,0.17,0.05
4,3,0.27,0.07
4,4,0.28,0.15
4,5,0.28,0.22
5,0,0.07,0.0
5,1,0.13,0.0
5,2,0.08,0.04
5,3,0.16,0.06
5,4,0.18,0.11
5,5,0.18,0.14
6,0,0.18,0.0
6,1,0.18,0.03
6,2,0.26,0.08
6,3,0.28,0.14
6,4,0.28,0.18
6,5,0.32,0.25
7,0,0.07,0.0
7,1,0.08,0.03
7,2,0.18,0.04
7,3,0.17,0.08
7,4,0.19,0.11
7,5,0.19,0.15
8,0,0.03,0.0
8,1,0.15,0.0
8,2,0.23,0.02
8,3,0.23,0.07
8,4,0.24,0.1
8,5,0.26,0.15
9,0,0.18,0.01
9,1,0.16,0.03
9,2,0.15,0.08
9,3,0.2,0.08
9,4,0.2,0.14
9,5,0.26,0.19
10,0,0.02,0.0
10,1,0.01,0.0
10,2,0.02,0.0
10,3,0.05,0.0
10,4,0.11,0.01
10,5,0.14,0.06
11,0,0.02,0.0
11,1,0.08,0.01
11,2,0.16,0.04
11,3,0.15,0.08
11,4,0.17,0.12
11,5,0.21,0.13
12,0,0.13,0.0
12,1,0.12,0.02
12,2,0.06,0.02
12,3,0.13,0.02
12,4,0.12,0.05
12,5,0.14,0.08
13,0,0.1,0.0
13,1,0.13,0.01
13,2,0.17,0.07
13,3,0.15,0.09
13,4,0.2,0.13
13,5,0.27,0.14
14,0,0.03,0.0
14,1,0.05,0.01
14,2,0.08,0.02
14,3,0.18,0.06
14,4,0.21,0.09
14,5,0.24,0.16
15,0,0.05,0.0
15,1,0.13,0.01
15,2,0.08,0.03
15,3,0.13,0.06
15,4,0.2,0.11
15,5,0.19,0.16
16,0,0.07,0.0
16,1,0.04,0.01
16,2,0.06,0.03
16,3,0.2,0.04
16,4,0.22,0.06
16,5,0.26,0.12
17,0,0.11,0.01
17,1,0.2,0.04
17,2,0.16,0.08
17,3,0.21,0.11
17,4,0.24,0.15
17,5,0.22,0.2
18,0,0.11,0.01
18,1,0.08,0.04
18,2,0.16,0.05
18,3,0.21,0.07
18,4,0.22,0.13
18,5,0.29,0.18
19,0,0.11,0.0
19,1,0.18,0.04
19,2,0.22,0.06
19,3,0.23,0.12
19,4,0.25,0.13
19,5,0.28,0.2
20,0,0.01,0.0
20,1,0.04,0.0
20,2,0.11,0.0
20,3,0.18,0.02
20,4,0.19,0.07
20,5,0.19,0.1
21,0,0.1,0.0
21,1,0.23,0.03
21,2,0.28,0.1
21,3,0.25,0.14
21,4,0.31,0.2
21,5,0.31,0.25
22,0,0.07,0.0
22,1,0.02,0.0
22,2,0.1,0.0
22,3,0.14,0.05
22,4,0.17,0.07
22,5,0.22,0.14
23,0,0.0,0.0
23,1,0.08,0.0
23,2,0.21,0.01
23,3,0.19,0.06
23,4,0.18,0.11
23,5,0.25,0.14
24,0,0.0,0.0
24,1,0.02,0.0
24,2,0.05,0.0
24,3,0.12,0.02
24,4,0.18,0.09
24,5,0.17,0.11
25,0,0.05,0.0
25,1,0.09,0.0
25,2,0.11,0.01
25,3,0.16,0.05
25,4,0.19,0.09
25,5,0.21,0.15
26,0,0.01,0.0
26,1,0.12,0.01
26,2,0.22,0.06
26,3,0.23,0.1
26,4,0.24,0.16
26,5,0.3,0.19
27,0,0.21,0.0
27,1,0.15,0.04
27,2,0.19,0.06
27,3,0.19,0.09
27,4,0.25,0.11
27,5,0.24,0.18
28,0,0.11,0.0
28,1,0.17,0.01
28,2,0.22,0.03
28,3,0.15,0.06
28,4,0.25,0.1
28,5,0.25,0.17
29,0,0.19,0.01
29,1,0.16,0.07
29,2,0.24,0.11
29,3,0.27,0.16
29,4,0.3,0.19
29,5,0.33,0.23
30,0,0.16,0.01
30,1,0.2,0.06
30,2,0.13,0.1
30,3,0.16,0.11
30,4,0.23,0.14
30,5,0.25,0.17
