replicate,rank,top-100 model,top-100 acquired
1,0,0.03,0.0
1,1,0.14,0.0
1,2,0.03,0.04
1,3,0.12,0.04
1,4,0.17,0.04
1,5,0.13,0.08
2,0,0.01,0.0
2,1,0.06,0.0
2,2,0.11,0.01
2,3,0.22,0.05
2,4,0.28,0.09
2,5,0.33,0.16
3,0,0.0,0.0
3,1,0.12,0.0
3,2,0.12,0.0
3,3,0.17,0.03
3,4,0.13,0.06
3,5,0.17,0.08
4,0,0.07,0.01
4,1,0.05,0.02
4,2,0.14,0.03
4,3,0.13,0.05
4,4,0.11,0.06
4,5,0.15,0.1
5,0,0.0,0.0
5,1,0.0,0.0
5,2,0.17,0.0
5,3,0.19,0.04
5,4,0.13,0.09
5,5,0.16,0.11
6,0,0.06,0.0
6,1,0.07,0.01
6,2,0.16,0.05
6,3,0.14,0.05
6,4,0.17,0.06
6,5,0.12,0.09
7,0,0.02,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.01,0.0
7,4,0.01,0.0
7,5,0.09,0.0
8,0,0.07,0.0
8,1,0.05,0.0
8,2,0.07,0.01
8,3,0.11,0.05
8,4,0.13,0.07
8,5,0.18,0.11
9,0,0.01,0.01
9,1,0.18,0.01
9,2,0.22,0.07
9,3,0.24,0.11
9,4,0.26,0.16
9,5,0.25,0.21
10,0,0.0,0.0
10,1,0.1,0.0
10,2,0.2,0.05
10,3,0.16,0.12
10,4,0.16,0.15
10,5,0.28,0.16
11,0,0.02,0.0
11,1,0.02,0.0
11,2,0.04,0.01
11,3,0.06,0.01
11,4,0.06,0.03
11,5,0.04,0.03
12,0,0.1,0.0
12,1,0.16,0.01
12,2,0.21,0.1
12,3,0.21,0.14
12,4,0.23,0.18
12,5,0.26,0.21
13,0,0.1,0.0
13,1,0.01,0.01
13,2,0.09,0.01
13,3,0.07,0.04
13,4,0.09,0.05
13,5,0.12,0.09
14,0,0.01,0.0
14,1,0.03,0.0
14,2,0.12,0.01
14,3,0.26,0.04
14,4,0.23,0.11
14,5,0.3,0.14
15,0,0.0,0.0
15,1,0.08,0.0
15,2,0.17,0.01
15,3,0.07,0.05
15,4,0.13,0.06
15,5,0.18,0.08
16,0,0.05,0.0
16,1,0.09,0.01
16,2,0.13,0.03
16,3,0.2,0.06
16,4,0.16,0.1
16,5,0.17,0.14
17,0,0.0,0.01
17,1,0.05,0.01
17,2,0.17,0.01
17,3,0.17,0.04
17,4,0.2,0.09
17,5,0.2,0.15
18,0,0.1,0.01
18,1,0.09,0.03
18,2,0.08,0.04
18,3,0.18,0.06
18,4,0.1,0.1
18,5,0.22,0.11
19,0,0.02,0.0
19,1,0.05,0.0
19,2,0.09,0.0
19,3,0.19,0.05
19,4,0.15,0.11
19,5,0.15,0.11
20,0,0.08,0.0
20,1,0.12,0.02
20,2,0.13,0.04
20,3,0.13,0.11
20,4,0.11,0.11
20,5,0.2,0.14
21,0,0.03,0.0
21,1,0.05,0.0
21,2,0.01,0.0
21,3,0.1,0.01
21,4,0.19,0.04
21,5,0.22,0.09
22,0,0.0,0.0
22,1,0.04,0.0
22,2,0.07,0.01
22,3,0.09,0.02
22,4,0.13,0.02
22,5,0.18,0.05
23,0,0.0,0.0
23,1,0.02,0.0
23,2,0.08,0.02
23,3,0.05,0.02
23,4,0.15,0.03
23,5,0.16,0.08
24,0,0.0,0.0
24,1,0.02,0.01
24,2,0.02,0.02
24,3,0.06,0.03
24,4,0.02,0.04
24,5,0.08,0.04
25,0,0.07,0.0
25,1,0.13,0.01
25,2,0.06,0.05
25,3,0.1,0.05
25,4,0.23,0.08
25,5,0.12,0.14
26,0,0.0,0.0
26,1,0.01,0.0
26,2,0.0,0.0
26,3,0.01,0.0
26,4,0.01,0.0
26,5,0.04,0.0
27,0,0.0,0.0
27,1,0.08,0.0
27,2,0.0,0.02
27,3,0.05,0.02
27,4,0.1,0.04
27,5,0.2,0.1
28,0,0.01,0.0
28,1,0.05,0.0
28,2,0.09,0.01
28,3,0.26,0.05
28,4,0.17,0.1
28,5,0.22,0.12
29,0,0.02,0.01
29,1,0.15,0.01
29,2,0.11,0.03
29,3,0.13,0.09
29,4,0.15,0.1
29,5,0.14,0.12
30,0,0.09,0.01
30,1,0.06,0.01
30,2,0.26,0.02
30,3,0.24,0.06
30,4,0.26,0.13
30,5,0.13,0.17
