replicate,rank,top-100 model,top-100 acquired
1,0,0.08,0.0
1,1,0.15,0.03
1,2,0.13,0.06
1,3,0.17,0.11
1,4,0.18,0.16
1,5,0.23,0.17
2,0,0.06,0.0
2,1,0.08,0.01
2,2,0.14,0.06
2,3,0.14,0.11
2,4,0.18,0.14
2,5,0.19,0.17
3,0,0.04,0.0
3,1,0.12,0.01
3,2,0.11,0.06
3,3,0.13,0.08
3,4,0.16,0.12
3,5,0.18,0.15
4,0,0.06,0.01
4,1,0.12,0.03
4,2,0.14,0.09
4,3,0.16,0.11
4,4,0.16,0.14
4,5,0.19,0.16
5,0,0.06,0.0
5,1,0.09,0.0
5,2,0.1,0.03
5,3,0.12,0.07
5,4,0.16,0.1
5,5,0.2,0.15
6,0,0.09,0.0
6,1,0.16,0.06
6,2,0.14,0.1
6,3,0.18,0.12
6,4,0.22,0.16
6,5,0.22,0.21
7,0,0.05,0.0
7,1,0.07,0.0
7,2,0.14,0.01
7,3,0.14,0.07
7,4,0.16,0.1
7,5,0.16,0.13
8,0,0.08,0.0
8,1,0.1,0.02
8,2,0.13,0.05
8,3,0.15,0.11
8,4,0.16,0.13
8,5,0.16,0.15
9,0,0.07,0.01
9,1,0.15,0.04
9,2,0.18,0.13
9,3,0.17,0.17
9,4,0.19,0.18
9,5,0.18,0.2
10,0,0.08,0.0
10,1,0.07,0.01
10,2,0.1,0.05
10,3,0.17,0.1
10,4,0.21,0.15
10,5,0.22,0.2
11,0,0.09,0.0
11,1,0.15,0.03
11,2,0.18,0.1
11,3,0.18,0.16
11,4,0.21,0.19
11,5,0.22,0.21
12,0,0.07,0.0
12,1,0.14,0.01
12,2,0.16,0.06
12,3,0.15,0.1
12,4,0.18,0.14
12,5,0.18,0.17
13,0,0.13,0.0
13,1,0.18,0.05
13,2,0.18,0.1
13,3,0.2,0.15
13,4,0.2,0.2
13,5,0.22,0.22
14,0,0.11,0.0
14,1,0.15,0.03
14,2,0.13,0.05
14,3,0.15,0.11
14,4,0.15,0.13
14,5,0.16,0.15
15,0,0.05,0.0
15,1,0.09,0.02
15,2,0.14,0.05
15,3,0.16,0.13
15,4,0.15,0.13
15,5,0.17,0.15
16,0,0.09,0.0
16,1,0.18,0.06
16,2,0.14,0.11
16,3,0.16,0.13
16,4,0.19,0.15
16,5,0.19,0.17
17,0,0.08,0.01
17,1,0.1,0.03
17,2,0.15,0.03
17,3,0.14,0.09
17,4,0.18,0.13
17,5,0.19,0.16
18,0,0.07,0.01
18,1,0.14,0.05
18,2,0.15,0.1
18,3,0.16,0.13
18,4,0.18,0.14
18,5,0.18,0.17
19,0,0.06,0.0
19,1,0.14,0.04
19,2,0.16,0.08
19,3,0.18,0.13
19,4,0.17,0.14
19,5,0.19,0.18
20,0,0.1,0.0
20,1,0.16,0.04
20,2,0.2,0.1
20,3,0.19,0.13
20,4,0.19,0.18
20,5,0.22,0.19
21,0,0.03,0.0
21,1,0.12,0.02
21,2,0.14,0.08
21,3,0.15,0.1
21,4,0.15,0.14
21,5,0.15,0.15
22,0,0.04,0.0
22,1,0.1,0.0
22,2,0.12,0.05
22,3,0.17,0.08
22,4,0.18,0.11
22,5,0.19,0.16
23,0,0.05,0.0
23,1,0.1,0.0
23,2,0.14,0.06
23,3,0.17,0.12
23,4,0.2,0.17
23,5,0.2,0.18
24,0,0.06,0.0
24,1,0.14,0.03
24,2,0.14,0.07
24,3,0.13,0.1
24,4,0.13,0.12
24,5,0.13,0.13
25,0,0.1,0.0
25,1,0.16,0.01
25,2,0.19,0.12
25,3,0.19,0.14
25,4,0.2,0.18
25,5,0.18,0.19
26,0,0.04,0.0
26,1,0.08,0.02
26,2,0.12,0.05
26,3,0.15,0.08
26,4,0.14,0.11
26,5,0.17,0.14
27,0,0.07,0.0
27,1,0.11,0.05
27,2,0.14,0.08
27,3,0.17,0.11
27,4,0.15,0.14
27,5,0.18,0.15
28,0,0.1,0.0
28,1,0.12,0.03
28,2,0.18,0.06
28,3,0.17,0.13
28,4,0.18,0.15
28,5,0.18,0.17
29,0,0.15,0.01
29,1,0.22,0.07
29,2,0.24,0.13
29,3,0.21,0.17
29,4,0.21,0.21
29,5,0.21,0.23
30,0,0.08,0.01
30,1,0.15,0.04
30,2,0.22,0.1
30,3,0.18,0.15
30,4,0.18,0.17
30,5,0.18,0.19
