replicate,rank,top-100 model,top-100 acquired
1,0,0.0,0.0
1,1,0.0,0.0
1,2,0.24,0.0
1,3,0.24,0.07
1,4,0.24,0.11
1,5,0.0,0.14
2,0,0.0,0.0
2,1,0.23,0.0
2,2,0.0,0.07
2,3,0.0,0.07
2,4,0.24,0.07
2,5,0.0,0.11
3,0,0.24,0.0
3,1,0.0,0.07
3,2,0.0,0.07
3,3,0.24,0.07
3,4,0.0,0.11
3,5,0.24,0.11
4,0,0.0,0.01
4,1,0.0,0.01
4,2,0.24,0.01
4,3,0.0,0.08
4,4,0.0,0.08
4,5,0.24,0.08
5,0,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
5,5,0.0,0.0
6,0,0.24,0.0
6,1,0.0,0.07
6,2,0.24,0.07
6,3,0.0,0.11
6,4,0.0,0.11
6,5,0.24,0.11
7,0,0.0,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.24,0.0
7,5,0.0,0.07
8,0,0.24,0.0
8,1,0.23,0.07
8,2,0.24,0.11
8,3,0.23,0.15
8,4,0.0,0.19
8,5,0.0,0.19
9,0,0.24,0.01
9,1,0.0,0.08
9,2,0.24,0.08
9,3,0.0,0.12
9,4,0.0,0.12
9,5,0.0,0.12
10,0,0.24,0.0
10,1,0.0,0.07
10,2,0.24,0.07
10,3,0.24,0.11
10,4,0.24,0.14
10,5,0.0,0.18
11,0,0.24,0.0
11,1,0.24,0.07
11,2,0.0,0.11
11,3,0.23,0.11
11,4,0.0,0.14
11,5,0.24,0.14
12,0,0.24,0.0
12,1,0.24,0.07
12,2,0.24,0.11
12,3,0.0,0.14
12,4,0.24,0.14
12,5,0.24,0.18
13,0,0.0,0.0
13,1,0.24,0.0
13,2,0.0,0.07
13,3,0.0,0.07
13,4,0.0,0.07
13,5,0.24,0.07
14,0,0.0,0.0
14,1,0.24,0.0
14,2,0.24,0.07
14,3,0.24,0.11
14,4,0.24,0.14
14,5,0.24,0.18
15,0,0.0,0.0
15,1,0.0,0.0
15,2,0.0,0.0
15,3,0.0,0.0
15,4,0.24,0.0
15,5,0.0,0.07
16,0,0.24,0.0
16,1,0.24,0.07
16,2,0.0,0.11
16,3,0.24,0.11
16,4,0.24,0.14
16,5,0.24,0.18
17,0,0.0,0.01
17,1,0.0,0.01
17,2,0.0,0.01
17,3,0.0,0.01
17,4,0.24,0.01
17,5,0.24,0.08
18,0,0.24,0.01
18,1,0.23,0.08
18,2,0.0,0.12
18,3,0.0,0.12
18,4,0.0,0.12
18,5,0.24,0.12
19,0,0.23,0.0
19,1,0.24,0.07
19,2,0.24,0.11
19,3,0.23,0.14
19,4,0.24,0.18
19,5,0.24,0.24
20,0,0.24,0.0
20,1,0.0,0.07
20,2,0.24,0.07
20,3,0.0,0.11
20,4,0.0,0.11
20,5,0.24,0.11
21,0,0.0,0.0
21,1,0.24,0.0
21,2,0.0,0.07
21,3,0.0,0.07
21,4,0.24,0.07
21,5,0.0,0.11
22,0,0.24,0.0
22,1,0.24,0.07
22,2,0.23,0.11
22,3,0.0,0.14
22,4,0.0,0.14
22,5,0.24,0.14
23,0,0.24,0.0
23,1,0.24,0.07
23,2,0.0,0.11
23,3,0.0,0.11
23,4,0.0,0.11
23,5,0.0,0.11
24,0,0.24,0.0
24,1,0.0,0.07
24,2,0.0,0.07
24,3,0.0,0.07
24,4,0.24,0.07
24,5,0.0,0.11
25,0,0.24,0.0
25,1,0.0,0.07
25,2,0.24,0.07
25,3,0.24,0.11
25,4,0.24,0.14
25,5,0.0,0.18
26,0,0.0,0.0
26,1,0.0,0.0
26,2,0.24,0.0
26,3,0.24,0.07
26,4,0.22,0.11
26,5,0.24,0.15
27,0,0.0,0.0
27,1,0.0,0.0
27,2,0.24,0.0
27,3,0.0,0.07
27,4,0.24,0.07
27,5,0.0,0.11
28,0,0.23,0.0
28,1,0.0,0.07
28,2,0.0,0.07
28,3,0.24,0.07
28,4,0.0,0.11
28,5,0.23,0.11
29,0,0.0,0.01
29,1,0.0,0.01
29,2,0.24,0.01
29,3,0.0,0.08
29,4,0.24,0.08
29,5,0.24,0.12
30,0,0.0,0.01
30,1,0.0,0.01
30,2,0.0,0.01
30,3,0.24,0.01
30,4,0.24,0.08
30,5,0.0,0.12
