replicate,rank,top-100 model,top-100 acquired
1,0,0.23,0.02
1,1,0.17,0.1
1,2,0.14,0.12
1,3,0.12,0.13
1,4,0.29,0.17
1,5,0.15,0.23
2,0,0.2,0.02
2,1,0.2,0.09
2,2,0.26,0.13
2,3,0.16,0.2
2,4,0.19,0.22
2,5,0.2,0.25
3,0,0.12,0.02
3,1,0.09,0.05
3,2,0.2,0.09
3,3,0.15,0.13
3,4,0.19,0.16
3,5,0.07,0.19
4,0,0.12,0.03
4,1,0.21,0.05
4,2,0.12,0.1
4,3,0.08,0.12
4,4,0.21,0.13
4,5,0.23,0.2
5,0,0.18,0.02
5,1,0.15,0.09
5,2,0.12,0.12
5,3,0.14,0.13
5,4,0.28,0.15
5,5,0.3,0.22
6,0,0.22,0.02
6,1,0.18,0.07
6,2,0.07,0.13
6,3,0.16,0.15
6,4,0.24,0.16
6,5,0.28,0.21
7,0,0.23,0.02
7,1,0.15,0.09
7,2,0.17,0.13
7,3,0.31,0.14
7,4,0.13,0.21
7,5,0.19,0.21
8,0,0.17,0.02
8,1,0.17,0.06
8,2,0.21,0.09
8,3,0.15,0.13
8,4,0.25,0.14
8,5,0.2,0.23
9,0,0.22,0.03
9,1,0.24,0.07
9,2,0.16,0.14
9,3,0.29,0.15
9,4,0.32,0.2
9,5,0.14,0.25
10,0,0.13,0.02
10,1,0.2,0.07
10,2,0.2,0.14
10,3,0.23,0.16
10,4,0.33,0.2
10,5,0.2,0.22
11,0,0.19,0.02
11,1,0.07,0.06
11,2,0.17,0.1
11,3,0.27,0.13
11,4,0.11,0.22
11,5,0.13,0.23
12,0,0.14,0.02
12,1,0.14,0.04
12,2,0.26,0.09
12,3,0.19,0.14
12,4,0.26,0.19
12,5,0.19,0.24
13,0,0.2,0.02
13,1,0.2,0.09
13,2,0.2,0.1
13,3,0.21,0.15
13,4,0.15,0.19
13,5,0.13,0.2
14,0,0.16,0.02
14,1,0.11,0.09
14,2,0.22,0.1
14,3,0.17,0.19
14,4,0.13,0.19
14,5,0.22,0.19
15,0,0.05,0.02
15,1,0.16,0.04
15,2,0.19,0.09
15,3,0.25,0.14
15,4,0.16,0.21
15,5,0.09,0.21
16,0,0.19,0.02
16,1,0.2,0.07
16,2,0.19,0.09
16,3,0.14,0.09
16,4,0.26,0.14
16,5,0.19,0.18
17,0,0.22,0.03
17,1,0.11,0.09
17,2,0.16,0.14
17,3,0.14,0.15
17,4,0.14,0.17
17,5,0.14,0.17
18,0,0.16,0.03
18,1,0.09,0.08
18,2,0.12,0.08
18,3,0.14,0.09
18,4,0.1,0.14
18,5,0.17,0.16
19,0,0.25,0.02
19,1,0.13,0.05
19,2,0.3,0.11
19,3,0.12,0.19
19,4,0.27,0.22
19,5,0.2,0.25
20,0,0.21,0.02
20,1,0.13,0.07
20,2,0.11,0.1
20,3,0.13,0.11
20,4,0.28,0.13
20,5,0.17,0.17
21,0,0.16,0.02
21,1,0.15,0.04
21,2,0.23,0.07
21,3,0.17,0.13
21,4,0.26,0.17
21,5,0.16,0.21
22,0,0.1,0.02
22,1,0.17,0.05
22,2,0.12,0.09
22,3,0.19,0.11
22,4,0.17,0.15
22,5,0.14,0.21
23,0,0.14,0.02
23,1,0.13,0.09
23,2,0.13,0.12
23,3,0.12,0.14
23,4,0.13,0.16
23,5,0.15,0.18
24,0,0.22,0.02
24,1,0.15,0.06
24,2,0.17,0.08
24,3,0.19,0.1
24,4,0.09,0.12
24,5,0.23,0.14
25,0,0.22,0.02
25,1,0.09,0.1
25,2,0.17,0.12
25,3,0.23,0.15
25,4,0.28,0.2
25,5,0.3,0.26
26,0,0.18,0.02
26,1,0.16,0.09
26,2,0.19,0.12
26,3,0.32,0.13
26,4,0.31,0.15
26,5,0.16,0.27
27,0,0.15,0.02
27,1,0.12,0.08
27,2,0.12,0.1
27,3,0.15,0.13
27,4,0.25,0.14
27,5,0.13,0.19
28,0,0.18,0.02
28,1,0.11,0.11
28,2,0.26,0.11
28,3,0.2,0.2
28,4,0.32,0.22
28,5,0.16,0.27
29,0,0.2,0.03
29,1,0.18,0.11
29,2,0.2,0.17
29,3,0.22,0.18
29,4,0.23,0.24
29,5,0.2,0.26
30,0,0.2,0.03
30,1,0.22,0.08
30,2,0.15,0.12
30,3,0.29,0.13
30,4,0.2,0.21
30,5,0.29,0.22
