replicate,rank,top-100 model,top-100 acquired
1,0,0.22,0.05
1,1,0.2,0.11
1,2,0.27,0.16
1,3,0.13,0.23
1,4,0.35,0.23
1,5,0.14,0.28
2,0,0.2,0.05
2,1,0.07,0.13
2,2,0.2,0.14
2,3,0.1,0.17
2,4,0.12,0.17
2,5,0.31,0.18
3,0,0.16,0.05
3,1,0.22,0.09
3,2,0.22,0.16
3,3,0.14,0.2
3,4,0.11,0.22
3,5,0.19,0.22
4,0,0.16,0.05
4,1,0.1,0.11
4,2,0.23,0.11
4,3,0.3,0.15
4,4,0.09,0.2
4,5,0.26,0.2
5,0,0.14,0.05
5,1,0.19,0.09
5,2,0.17,0.14
5,3,0.22,0.15
5,4,0.17,0.2
5,5,0.28,0.23
6,0,0.19,0.05
6,1,0.13,0.11
6,2,0.13,0.13
6,3,0.22,0.15
6,4,0.2,0.19
6,5,0.21,0.22
7,0,0.18,0.05
7,1,0.1,0.14
7,2,0.19,0.15
7,3,0.15,0.18
7,4,0.17,0.18
7,5,0.22,0.21
8,0,0.12,0.05
8,1,0.11,0.08
8,2,0.12,0.14
8,3,0.25,0.15
8,4,0.21,0.18
8,5,0.16,0.23
9,0,0.11,0.05
9,1,0.2,0.08
9,2,0.22,0.15
9,3,0.19,0.21
9,4,0.2,0.22
9,5,0.2,0.23
10,0,0.08,0.05
10,1,0.18,0.05
10,2,0.14,0.11
10,3,0.11,0.12
10,4,0.24,0.12
10,5,0.16,0.17
11,0,0.2,0.05
11,1,0.2,0.1
11,2,0.26,0.12
11,3,0.31,0.2
11,4,0.32,0.29
11,5,0.15,0.31
12,0,0.25,0.05
12,1,0.23,0.1
12,2,0.17,0.13
12,3,0.16,0.17
12,4,0.21,0.21
12,5,0.21,0.29
13,0,0.14,0.05
13,1,0.08,0.1
13,2,0.19,0.12
13,3,0.32,0.14
13,4,0.29,0.22
13,5,0.32,0.27
14,0,0.14,0.05
14,1,0.11,0.08
14,2,0.13,0.09
14,3,0.24,0.13
14,4,0.16,0.2
14,5,0.18,0.24
15,0,0.2,0.05
15,1,0.08,0.09
15,2,0.11,0.11
15,3,0.21,0.12
15,4,0.28,0.17
15,5,0.11,0.23
16,0,0.17,0.05
16,1,0.12,0.1
16,2,0.22,0.16
16,3,0.23,0.19
16,4,0.11,0.2
16,5,0.16,0.21
17,0,0.12,0.05
17,1,0.19,0.09
17,2,0.22,0.16
17,3,0.21,0.2
17,4,0.16,0.22
17,5,0.36,0.23
18,0,0.11,0.06
18,1,0.16,0.08
18,2,0.15,0.1
18,3,0.16,0.16
18,4,0.19,0.18
18,5,0.17,0.21
19,0,0.19,0.05
19,1,0.17,0.12
19,2,0.18,0.15
19,3,0.18,0.18
19,4,0.28,0.2
19,5,0.34,0.28
20,0,0.18,0.05
20,1,0.19,0.13
20,2,0.18,0.16
20,3,0.21,0.19
20,4,0.13,0.23
20,5,0.29,0.24
21,0,0.16,0.05
21,1,0.22,0.06
21,2,0.13,0.11
21,3,0.19,0.13
21,4,0.09,0.16
21,5,0.15,0.18
22,0,0.21,0.05
22,1,0.18,0.11
22,2,0.27,0.14
22,3,0.11,0.21
22,4,0.3,0.25
22,5,0.2,0.28
23,0,0.23,0.05
23,1,0.19,0.15
23,2,0.19,0.16
23,3,0.17,0.2
23,4,0.15,0.21
23,5,0.31,0.24
24,0,0.22,0.05
24,1,0.13,0.08
24,2,0.18,0.13
24,3,0.23,0.16
24,4,0.25,0.17
24,5,0.06,0.2
25,0,0.2,0.05
25,1,0.15,0.09
25,2,0.18,0.1
25,3,0.24,0.14
25,4,0.2,0.18
25,5,0.19,0.22
26,0,0.18,0.05
26,1,0.18,0.11
26,2,0.1,0.14
26,3,0.24,0.14
26,4,0.15,0.17
26,5,0.28,0.17
27,0,0.14,0.05
27,1,0.06,0.08
27,2,0.22,0.08
27,3,0.14,0.16
27,4,0.2,0.18
27,5,0.17,0.2
28,0,0.11,0.05
28,1,0.16,0.07
28,2,0.08,0.1
28,3,0.27,0.12
28,4,0.28,0.16
28,5,0.19,0.25
29,0,0.13,0.06
29,1,0.15,0.06
29,2,0.14,0.13
29,3,0.14,0.13
29,4,0.12,0.15
29,5,0.12,0.17
30,0,0.16,0.05
30,1,0.08,0.09
30,2,0.16,0.13
30,3,0.29,0.17
30,4,0.19,0.21
30,5,0.13,0.24
