replicate,rank,top-100 model,top-100 acquired
1,0,0.21,0.0
1,1,0.16,0.06
1,2,0.15,0.1
1,3,0.26,0.14
1,4,0.3,0.17
1,5,0.17,0.23
2,0,0.23,0.0
2,1,0.17,0.06
2,2,0.21,0.14
2,3,0.27,0.15
2,4,0.11,0.2
2,5,0.16,0.21
3,0,0.2,0.0
3,1,0.14,0.05
3,2,0.11,0.08
3,3,0.14,0.09
3,4,0.1,0.12
3,5,0.27,0.12
4,0,0.19,0.01
4,1,0.18,0.04
4,2,0.12,0.1
4,3,0.28,0.11
4,4,0.1,0.14
4,5,0.14,0.16
5,0,0.15,0.0
5,1,0.16,0.06
5,2,0.21,0.08
5,3,0.29,0.13
5,4,0.26,0.17
5,5,0.16,0.22
6,0,0.14,0.0
6,1,0.21,0.03
6,2,0.1,0.07
6,3,0.13,0.08
6,4,0.25,0.11
6,5,0.21,0.2
7,0,0.17,0.0
7,1,0.22,0.03
7,2,0.24,0.08
7,3,0.28,0.16
7,4,0.25,0.18
7,5,0.15,0.25
8,0,0.09,0.0
8,1,0.16,0.0
8,2,0.2,0.06
8,3,0.24,0.1
8,4,0.14,0.18
8,5,0.11,0.19
9,0,0.17,0.0
9,1,0.18,0.03
9,2,0.18,0.11
9,3,0.16,0.13
9,4,0.24,0.16
9,5,0.17,0.21
10,0,0.12,0.0
10,1,0.15,0.04
10,2,0.17,0.06
10,3,0.22,0.09
10,4,0.3,0.15
10,5,0.32,0.23
11,0,0.19,0.0
11,1,0.13,0.05
11,2,0.21,0.09
11,3,0.13,0.15
11,4,0.17,0.15
11,5,0.26,0.16
12,0,0.2,0.0
12,1,0.06,0.03
12,2,0.16,0.03
12,3,0.17,0.06
12,4,0.29,0.1
12,5,0.2,0.17
13,0,0.22,0.0
13,1,0.2,0.05
13,2,0.21,0.07
13,3,0.19,0.12
13,4,0.15,0.13
13,5,0.19,0.14
14,0,0.12,0.0
14,1,0.17,0.03
14,2,0.18,0.1
14,3,0.15,0.12
14,4,0.21,0.14
14,5,0.21,0.17
15,0,0.15,0.0
15,1,0.2,0.04
15,2,0.19,0.1
15,3,0.17,0.12
15,4,0.29,0.15
15,5,0.13,0.22
16,0,0.17,0.0
16,1,0.17,0.02
16,2,0.2,0.06
16,3,0.28,0.12
16,4,0.1,0.19
16,5,0.13,0.19
17,0,0.13,0.01
17,1,0.18,0.05
17,2,0.09,0.08
17,3,0.15,0.11
17,4,0.26,0.13
17,5,0.16,0.2
18,0,0.19,0.01
18,1,0.16,0.06
18,2,0.21,0.09
18,3,0.19,0.15
18,4,0.04,0.19
18,5,0.19,0.19
19,0,0.16,0.0
19,1,0.22,0.02
19,2,0.15,0.09
19,3,0.25,0.13
19,4,0.19,0.18
19,5,0.24,0.23
20,0,0.17,0.0
20,1,0.11,0.02
20,2,0.2,0.03
20,3,0.26,0.11
20,4,0.1,0.16
20,5,0.1,0.17
21,0,0.14,0.0
21,1,0.18,0.05
21,2,0.15,0.09
21,3,0.28,0.1
21,4,0.15,0.16
21,5,0.31,0.17
22,0,0.21,0.0
22,1,0.11,0.06
22,2,0.15,0.09
22,3,0.04,0.13
22,4,0.18,0.13
22,5,0.14,0.16
23,0,0.13,0.0
23,1,0.19,0.04
23,2,0.12,0.1
23,3,0.21,0.1
23,4,0.15,0.12
23,5,0.28,0.13
24,0,0.16,0.0
24,1,0.2,0.03
24,2,0.19,0.09
24,3,0.26,0.16
24,4,0.12,0.19
24,5,0.3,0.21
25,0,0.18,0.0
25,1,0.1,0.02
25,2,0.16,0.03
25,3,0.16,0.07
25,4,0.21,0.11
25,5,0.17,0.14
26,0,0.15,0.0
26,1,0.12,0.07
26,2,0.08,0.08
26,3,0.25,0.1
26,4,0.19,0.14
26,5,0.19,0.17
27,0,0.21,0.0
27,1,0.13,0.04
27,2,0.2,0.06
27,3,0.15,0.11
27,4,0.17,0.14
27,5,0.23,0.18
28,0,0.21,0.0
28,1,0.17,0.07
28,2,0.13,0.1
28,3,0.18,0.14
28,4,0.16,0.17
28,5,0.31,0.18
29,0,0.17,0.0
29,1,0.21,0.06
29,2,0.18,0.13
29,3,0.18,0.16
29,4,0.21,0.17
29,5,0.23,0.22
30,0,0.16,0.01
30,1,0.21,0.06
30,2,0.09,0.09
30,3,0.14,0.09
30,4,0.17,0.11
30,5,0.14,0.15
