replicate,rank,top-100 model,top-100 acquired
1,0,0.19,0.0
1,1,0.16,0.04
1,2,0.2,0.09
1,3,0.13,0.16
1,4,0.2,0.19
1,5,0.13,0.2
2,0,0.16,0.0
2,1,0.15,0.04
2,2,0.15,0.07
2,3,0.14,0.09
2,4,0.15,0.13
2,5,0.1,0.16
3,0,0.21,0.0
3,1,0.1,0.02
3,2,0.15,0.03
3,3,0.1,0.09
3,4,0.16,0.11
3,5,0.19,0.15
4,0,0.23,0.0
4,1,0.13,0.05
4,2,0.11,0.07
4,3,0.16,0.08
4,4,0.09,0.14
4,5,0.13,0.14
5,0,0.15,0.0
5,1,0.18,0.04
5,2,0.16,0.1
5,3,0.24,0.15
5,4,0.23,0.19
5,5,0.25,0.26
6,0,0.22,0.0
6,1,0.19,0.06
6,2,0.17,0.1
6,3,0.19,0.13
6,4,0.15,0.15
6,5,0.07,0.15
7,0,0.12,0.0
7,1,0.21,0.03
7,2,0.1,0.1
7,3,0.15,0.13
7,4,0.14,0.16
7,5,0.15,0.19
8,0,0.17,0.0
8,1,0.14,0.04
8,2,0.18,0.1
8,3,0.15,0.11
8,4,0.15,0.16
8,5,0.2,0.17
9,0,0.14,0.0
9,1,0.15,0.01
9,2,0.14,0.06
9,3,0.14,0.09
9,4,0.14,0.15
9,5,0.07,0.18
10,0,0.17,0.0
10,1,0.12,0.05
10,2,0.23,0.09
10,3,0.19,0.16
10,4,0.25,0.18
10,5,0.19,0.23
11,0,0.14,0.0
11,1,0.2,0.05
11,2,0.17,0.08
11,3,0.32,0.11
11,4,0.13,0.19
11,5,0.15,0.2
12,0,0.18,0.0
12,1,0.17,0.06
12,2,0.12,0.08
12,3,0.23,0.1
12,4,0.15,0.16
12,5,0.18,0.17
13,0,0.18,0.0
13,1,0.23,0.04
13,2,0.3,0.12
13,3,0.16,0.15
13,4,0.14,0.17
13,5,0.13,0.19
14,0,0.17,0.0
14,1,0.17,0.02
14,2,0.2,0.08
14,3,0.13,0.13
14,4,0.25,0.14
14,5,0.21,0.19
15,0,0.27,0.0
15,1,0.19,0.08
15,2,0.12,0.1
15,3,0.14,0.11
15,4,0.17,0.12
15,5,0.29,0.14
16,0,0.13,0.0
16,1,0.1,0.02
16,2,0.08,0.05
16,3,0.17,0.07
16,4,0.19,0.12
16,5,0.13,0.16
17,0,0.15,0.0
17,1,0.17,0.06
17,2,0.1,0.07
17,3,0.15,0.08
17,4,0.17,0.1
17,5,0.25,0.14
18,0,0.21,0.0
18,1,0.11,0.05
18,2,0.2,0.09
18,3,0.26,0.16
18,4,0.31,0.18
18,5,0.13,0.26
19,0,0.13,0.0
19,1,0.14,0.02
19,2,0.18,0.06
19,3,0.25,0.11
19,4,0.18,0.15
19,5,0.14,0.15
20,0,0.15,0.0
20,1,0.04,0.02
20,2,0.09,0.02
20,3,0.12,0.06
20,4,0.23,0.07
20,5,0.24,0.13
21,0,0.19,0.0
21,1,0.21,0.04
21,2,0.18,0.12
21,3,0.27,0.14
21,4,0.07,0.2
21,5,0.19,0.2
22,0,0.2,0.0
22,1,0.14,0.05
22,2,0.24,0.08
22,3,0.25,0.13
22,4,0.27,0.19
22,5,0.23,0.23
23,0,0.2,0.0
23,1,0.1,0.03
23,2,0.23,0.06
23,3,0.3,0.12
23,4,0.17,0.17
23,5,0.31,0.18
24,0,0.2,0.0
24,1,0.2,0.05
24,2,0.14,0.11
24,3,0.24,0.16
24,4,0.25,0.19
24,5,0.21,0.22
25,0,0.14,0.0
25,1,0.26,0.04
25,2,0.12,0.11
25,3,0.19,0.15
25,4,0.11,0.18
25,5,0.13,0.21
26,0,0.21,0.0
26,1,0.18,0.06
26,2,0.11,0.15
26,3,0.21,0.17
26,4,0.16,0.2
26,5,0.27,0.22
27,0,0.18,0.0
27,1,0.14,0.08
27,2,0.17,0.09
27,3,0.15,0.13
27,4,0.15,0.16
27,5,0.13,0.17
28,0,0.17,0.0
28,1,0.17,0.04
28,2,0.24,0.07
28,3,0.24,0.15
28,4,0.15,0.17
28,5,0.19,0.18
29,0,0.11,0.0
29,1,0.17,0.03
29,2,0.2,0.05
29,3,0.11,0.08
29,4,0.27,0.09
29,5,0.16,0.18
30,0,0.11,0.0
30,1,0.14,0.03
30,2,0.25,0.08
30,3,0.16,0.13
30,4,0.25,0.14
30,5,0.19,0.16
