replicate,rank,top-100 model,top-100 acquired
1,0,0.15,0.0
1,1,0.2,0.08
1,2,0.13,0.09
1,3,0.12,0.09
1,4,0.15,0.11
1,5,0.15,0.12
2,0,0.03,0.0
2,1,0.19,0.0
2,2,0.12,0.04
2,3,0.19,0.08
2,4,0.22,0.12
2,5,0.22,0.17
3,0,0.12,0.0
3,1,0.15,0.03
3,2,0.14,0.06
3,3,0.12,0.09
3,4,0.13,0.15
3,5,0.23,0.17
4,0,0.12,0.01
4,1,0.18,0.04
4,2,0.1,0.11
4,3,0.13,0.13
4,4,0.2,0.13
4,5,0.25,0.18
5,0,0.11,0.0
5,1,0.07,0.04
5,2,0.17,0.04
5,3,0.12,0.07
5,4,0.1,0.09
5,5,0.2,0.11
6,0,0.07,0.0
6,1,0.09,0.02
6,2,0.13,0.02
6,3,0.24,0.06
6,4,0.18,0.13
6,5,0.12,0.16
7,0,0.19,0.0
7,1,0.16,0.09
7,2,0.18,0.12
7,3,0.21,0.12
7,4,0.17,0.15
7,5,0.15,0.17
8,0,0.06,0.0
8,1,0.15,0.0
8,2,0.23,0.03
8,3,0.12,0.1
8,4,0.13,0.1
8,5,0.16,0.11
9,0,0.22,0.01
9,1,0.22,0.08
9,2,0.15,0.13
9,3,0.18,0.13
9,4,0.06,0.14
9,5,0.23,0.14
10,0,0.21,0.0
10,1,0.18,0.04
10,2,0.13,0.08
10,3,0.21,0.11
10,4,0.18,0.13
10,5,0.2,0.17
11,0,0.15,0.0
11,1,0.02,0.04
11,2,0.12,0.05
11,3,0.12,0.09
11,4,0.12,0.1
11,5,0.13,0.1
12,0,0.06,0.0
12,1,0.19,0.0
12,2,0.18,0.08
12,3,0.24,0.11
12,4,0.2,0.14
12,5,0.2,0.18
13,0,0.08,0.0
13,1,0.11,0.01
13,2,0.15,0.02
13,3,0.15,0.04
13,4,0.2,0.1
13,5,0.19,0.15
14,0,0.17,0.0
14,1,0.15,0.05
14,2,0.12,0.09
14,3,0.18,0.12
14,4,0.2,0.15
14,5,0.15,0.21
15,0,0.16,0.0
15,1,0.04,0.04
15,2,0.1,0.05
15,3,0.09,0.07
15,4,0.07,0.09
15,5,0.17,0.09
16,0,0.21,0.0
16,1,0.18,0.09
16,2,0.1,0.12
16,3,0.11,0.14
16,4,0.24,0.15
16,5,0.15,0.2
17,0,0.19,0.01
17,1,0.07,0.08
17,2,0.09,0.1
17,3,0.18,0.1
17,4,0.21,0.12
17,5,0.16,0.14
18,0,0.21,0.01
18,1,0.08,0.09
18,2,0.18,0.09
18,3,0.11,0.12
18,4,0.19,0.15
18,5,0.08,0.19
19,0,0.18,0.0
19,1,0.15,0.04
19,2,0.19,0.06
19,3,0.13,0.11
19,4,0.14,0.12
19,5,0.13,0.14
20,0,0.18,0.0
20,1,0.13,0.02
20,2,0.12,0.05
20,3,0.15,0.08
20,4,0.12,0.13
20,5,0.16,0.15
21,0,0.14,0.0
21,1,0.14,0.02
21,2,0.09,0.04
21,3,0.14,0.04
21,4,0.15,0.09
21,5,0.18,0.12
22,0,0.13,0.0
22,1,0.17,0.03
22,2,0.16,0.06
22,3,0.2,0.12
22,4,0.18,0.2
22,5,0.2,0.22
23,0,0.08,0.0
23,1,0.08,0.02
23,2,0.1,0.04
23,3,0.09,0.06
23,4,0.1,0.07
23,5,0.15,0.08
24,0,0.05,0.0
24,1,0.12,0.01
24,2,0.08,0.02
24,3,0.11,0.03
24,4,0.19,0.07
24,5,0.18,0.09
25,0,0.22,0.0
25,1,0.1,0.07
25,2,0.17,0.11
25,3,0.19,0.13
25,4,0.21,0.16
25,5,0.17,0.19
26,0,0.15,0.0
26,1,0.15,0.05
26,2,0.12,0.13
26,3,0.07,0.14
26,4,0.16,0.14
26,5,0.21,0.15
27,0,0.2,0.0
27,1,0.05,0.04
27,2,0.14,0.05
27,3,0.22,0.06
27,4,0.16,0.13
27,5,0.16,0.16
28,0,0.02,0.0
28,1,0.09,0.0
28,2,0.16,0.02
28,3,0.16,0.08
28,4,0.24,0.13
28,5,0.16,0.17
29,0,0.15,0.01
29,1,0.16,0.05
29,2,0.17,0.1
29,3,0.19,0.15
29,4,0.24,0.18
29,5,0.23,0.22
30,0,0.2,0.01
30,1,0.19,0.09
30,2,0.11,0.11
30,3,0.17,0.12
30,4,0.13,0.13
30,5,0.21,0.14
