replicate,rank,top-100 model,top-100 acquired
1,0,0.01,0.0
1,1,0.05,0.0
1,2,0.17,0.01
1,3,0.22,0.06
1,4,0.24,0.13
1,5,0.24,0.18
2,0,0.05,0.0
2,1,0.15,0.02
2,2,0.2,0.06
2,3,0.25,0.1
2,4,0.23,0.15
2,5,0.27,0.21
3,0,0.0,0.0
3,1,0.03,0.0
3,2,0.06,0.0
3,3,0.09,0.01
3,4,0.16,0.05
3,5,0.22,0.08
4,0,0.06,0.01
4,1,0.2,0.02
4,2,0.19,0.08
4,3,0.21,0.11
4,4,0.21,0.14
4,5,0.23,0.17
5,0,0.13,0.0
5,1,0.2,0.02
5,2,0.21,0.12
5,3,0.22,0.13
5,4,0.21,0.2
5,5,0.27,0.22
6,0,0.23,0.0
6,1,0.16,0.08
6,2,0.19,0.1
6,3,0.19,0.16
6,4,0.22,0.19
6,5,0.23,0.22
7,0,0.03,0.0
7,1,0.12,0.01
7,2,0.17,0.04
7,3,0.22,0.11
7,4,0.21,0.16
7,5,0.26,0.2
8,0,0.01,0.0
8,1,0.07,0.0
8,2,0.08,0.04
8,3,0.13,0.04
8,4,0.22,0.1
8,5,0.29,0.15
9,0,0.15,0.01
9,1,0.18,0.02
9,2,0.21,0.06
9,3,0.2,0.09
9,4,0.24,0.17
9,5,0.24,0.2
10,0,0.0,0.0
10,1,0.01,0.0
10,2,0.07,0.0
10,3,0.12,0.02
10,4,0.16,0.05
10,5,0.22,0.1
11,0,0.0,0.0
11,1,0.01,0.0
11,2,0.02,0.0
11,3,0.15,0.02
11,4,0.13,0.05
11,5,0.18,0.08
12,0,0.05,0.0
12,1,0.13,0.0
12,2,0.12,0.04
12,3,0.17,0.07
12,4,0.16,0.12
12,5,0.22,0.13
13,0,0.06,0.0
13,1,0.06,0.03
13,2,0.11,0.05
13,3,0.21,0.09
13,4,0.27,0.14
13,5,0.29,0.18
14,0,0.06,0.0
14,1,0.12,0.02
14,2,0.19,0.05
14,3,0.25,0.09
14,4,0.26,0.17
14,5,0.26,0.2
15,0,0.03,0.0
15,1,0.02,0.0
15,2,0.01,0.0
15,3,0.02,0.0
15,4,0.01,0.0
15,5,0.04,0.0
16,0,0.0,0.0
16,1,0.03,0.0
16,2,0.21,0.01
16,3,0.19,0.07
16,4,0.28,0.15
16,5,0.27,0.17
17,0,0.14,0.01
17,1,0.24,0.07
17,2,0.26,0.11
17,3,0.25,0.16
17,4,0.25,0.22
17,5,0.31,0.24
18,0,0.2,0.01
18,1,0.14,0.05
18,2,0.2,0.1
18,3,0.23,0.12
18,4,0.27,0.14
18,5,0.23,0.17
19,0,0.12,0.0
19,1,0.13,0.04
19,2,0.2,0.08
19,3,0.24,0.12
19,4,0.26,0.17
19,5,0.3,0.21
20,0,0.07,0.0
20,1,0.17,0.02
20,2,0.19,0.09
20,3,0.27,0.12
20,4,0.25,0.19
20,5,0.27,0.22
21,0,0.0,0.0
21,1,0.03,0.0
21,2,0.12,0.0
21,3,0.21,0.04
21,4,0.25,0.08
21,5,0.3,0.14
22,0,0.03,0.0
22,1,0.24,0.01
22,2,0.19,0.1
22,3,0.18,0.13
22,4,0.22,0.14
22,5,0.27,0.15
23,0,0.05,0.0
23,1,0.05,0.01
23,2,0.03,0.02
23,3,0.08,0.02
23,4,0.11,0.04
23,5,0.12,0.04
24,0,0.01,0.0
24,1,0.0,0.0
24,2,0.0,0.0
24,3,0.03,0.0
24,4,0.02,0.01
24,5,0.05,0.01
25,0,0.02,0.0
25,1,0.05,0.0
25,2,0.03,0.01
25,3,0.1,0.02
25,4,0.1,0.03
25,5,0.18,0.07
26,0,0.01,0.0
26,1,0.02,0.0
26,2,0.15,0.01
26,3,0.15,0.04
26,4,0.19,0.08
26,5,0.22,0.12
27,0,0.1,0.0
27,1,0.13,0.02
27,2,0.23,0.08
27,3,0.16,0.1
27,4,0.22,0.1
27,5,0.25,0.13
28,0,0.06,0.0
28,1,0.04,0.02
28,2,0.13,0.02
28,3,0.2,0.05
28,4,0.18,0.1
28,5,0.21,0.16
29,0,0.16,0.01
29,1,0.13,0.05
29,2,0.14,0.08
29,3,0.18,0.09
29,4,0.18,0.13
29,5,0.2,0.14
30,0,0.19,0.01
30,1,0.22,0.04
30,2,0.21,0.1
30,3,0.19,0.14
30,4,0.25,0.16
30,5,0.26,0.19
