replicate,rank,top-1320 model,top-1320 acquired
1,0,0.1159090909090909,0.0007575757575757576
1,1,0.12727272727272726,0.0022727272727272726
1,2,0.09621212121212121,0.012878787878787878
1,3,0.1621212121212121,0.01893939393939394
1,4,0.16136363636363638,0.03257575757575758
1,5,0.1484848484848485,0.04242424242424243
2,0,0.017424242424242425,0.0
2,1,0.004545454545454545,0.0
2,2,0.007575757575757576,0.0
2,3,0.037121212121212124,0.0015151515151515152
2,4,0.03484848484848485,0.0015151515151515152
2,5,0.04015151515151515,0.0015151515151515152
3,0,0.05303030303030303,0.0007575757575757576
3,1,0.07272727272727272,0.003787878787878788
3,2,0.10075757575757575,0.010606060606060607
3,3,0.16590909090909092,0.01818181818181818
3,4,0.20227272727272727,0.03106060606060606
3,5,0.22424242424242424,0.038636363636363635
4,0,0.1053030303030303,0.0007575757575757576
4,1,0.10151515151515152,0.004545454545454545
4,2,0.14772727272727273,0.009848484848484848
4,3,0.20227272727272727,0.023484848484848483
4,4,0.1984848484848485,0.035606060606060606
4,5,0.19166666666666668,0.05
5,0,0.11666666666666667,0.0007575757575757576
5,1,0.09318181818181819,0.005303030303030303
5,2,0.06818181818181818,0.008333333333333333
5,3,0.11212121212121212,0.009848484848484848
5,4,0.21363636363636362,0.016666666666666666
5,5,0.20681818181818182,0.024242424242424242
6,0,0.04318181818181818,0.0007575757575757576
6,1,0.031818181818181815,0.0007575757575757576
6,2,0.07348484848484849,0.0007575757575757576
6,3,0.14469696969696969,0.004545454545454545
6,4,0.1431818181818182,0.012121212121212121
6,5,0.14393939393939395,0.01893939393939394
7,0,0.18636363636363637,0.0007575757575757576
7,1,0.17196969696969697,0.012121212121212121
7,2,0.18257575757575759,0.022727272727272728
7,3,0.2,0.03409090909090909
7,4,0.20681818181818182,0.045454545454545456
7,5,0.1696969696969697,0.056818181818181816
8,0,0.05075757575757576,0.0007575757575757576
8,1,0.055303030303030305,0.0030303030303030303
8,2,0.14772727272727273,0.009848484848484848
8,3,0.09545454545454546,0.022727272727272728
8,4,0.1431818181818182,0.026515151515151516
8,5,0.20909090909090908,0.030303030303030304
9,0,0.022727272727272728,0.0
9,1,0.03787878787878788,0.0
9,2,0.10606060606060606,0.0007575757575757576
