replicate,rank,top-1320 model,top-1320 acquired
1,0,0.07348484848484849,0.0007575757575757576
1,1,0.15984848484848485,0.006060606060606061
1,2,0.18787878787878787,0.012121212121212121
1,3,0.19696969696969696,0.024242424242424242
1,4,0.22121212121212122,0.037121212121212124
1,5,0.21666666666666667,0.05
2,0,0.006060606060606061,0.0
2,1,0.04696969696969697,0.0
2,2,0.09242424242424242,0.0022727272727272726
2,3,0.09848484848484848,0.004545454545454545
2,4,0.10681818181818181,0.009848484848484848
2,5,0.10151515151515152,0.011363636363636364
3,0,0.13712121212121212,0.0007575757575757576
3,1,0.09772727272727273,0.007575757575757576
3,2,0.20757575757575758,0.014393939393939395
3,3,0.19015151515151515,0.025757575757575757
3,4,0.19545454545454546,0.03939393939393939
3,5,0.19318181818181818,0.05075757575757576
4,0,0.11969696969696969,0.0007575757575757576
4,1,0.15984848484848485,0.003787878787878788
4,2,0.1712121212121212,0.012121212121212121
4,3,0.2053030303030303,0.02196969696969697
4,4,0.24166666666666667,0.02803030303030303
4,5,0.2636363636363636,0.03409090909090909
5,0,0.15681818181818183,0.0007575757575757576
5,1,0.10606060606060606,0.004545454545454545
5,2,0.10075757575757575,0.010606060606060607
5,3,0.13712121212121212,0.01818181818181818
5,4,0.1303030303030303,0.025
5,5,0.11818181818181818,0.03484848484848485
6,0,0.048484848484848485,0.0007575757575757576
6,1,0.06363636363636363,0.0007575757575757576
6,2,0.12348484848484849,0.0022727272727272726
6,3,0.21666666666666667,0.005303030303030303
6,4,0.24015151515151514,0.011363636363636364
6,5,0.2871212121212121,0.020454545454545454
7,0,0.16666666666666666,0.0007575757575757576
7,1,0.1303030303030303,0.006818181818181818
7,2,0.1318181818181818,0.021212121212121213
7,3,0.13484848484848486,0.029545454545454545
7,4,0.14924242424242423,0.04015151515151515
7,5,0.21893939393939393,0.04924242424242424
8,0,0.08712121212121213,0.0007575757575757576
8,1,0.09166666666666666,0.005303030303030303
8,2,0.11893939393939394,0.008333333333333333
8,3,0.11893939393939394,0.014393939393939395
8,4,0.1484848484848485,0.01818181818181818
8,5,0.14469696969696969,0.023484848484848483
9,0,0.07196969696969698,0.0
9,1,0.08409090909090909,0.0
9,2,0.0696969696969697,0.0030303030303030303
9,3,0.059848484848484845,0.007575757575757576
9,4,0.12651515151515152,0.008333333333333333
9,5,0.1431818181818182,0.014393939393939395
10,0,0.15454545454545454,0.0007575757575757576
10,1,0.14469696969696969,0.010606060606060607
10,2,0.13257575757575757,0.024242424242424242
10,3,0.15378787878787878,0.031818181818181815
10,4,0.1462121212121212,0.04318181818181818
10,5,0.15378787878787878,0.04924242424242424
11,0,0.09848484848484848,0.0
11,1,0.12651515151515152,0.0022727272727272726
11,2,0.1143939393939394,0.014393939393939395
11,3,0.13636363636363635,0.026515151515151516
11,4,0.19924242424242425,0.031818181818181815
11,5,0.19772727272727272,0.04090909090909091
12,0,0.11742424242424243,0.0
12,1,0.22575757575757577,0.0015151515151515152
12,2,0.18484848484848485,0.014393939393939395
12,3,0.1765151515151515,0.023484848484848483
12,4,0.2515151515151515,0.031818181818181815
12,5,0.24545454545454545,0.04318181818181818
13,0,0.04924242424242424,0.0
13,1,0.11818181818181818,0.0007575757575757576
13,2,0.14545454545454545,0.007575757575757576
13,3,0.15303030303030302,0.015151515151515152
13,4,0.18257575757575759,0.023484848484848483
13,5,0.22424242424242424,0.03106060606060606
14,0,0.06742424242424243,0.0
14,1,0.03484848484848485,0.0
14,2,0.025757575757575757,0.0015151515151515152
14,3,0.05,0.0015151515151515152
14,4,0.056818181818181816,0.0030303030303030303
14,5,0.06515151515151515,0.003787878787878788
15,0,0.07121212121212121,0.0007575757575757576
15,1,0.009848484848484848,0.0030303030303030303
15,2,0.04090909090909091,0.0030303030303030303
15,3,0.0803030303030303,0.0030303030303030303
15,4,0.09621212121212121,0.006060606060606061
15,5,0.1,0.009848484848484848
16,0,0.03333333333333333,0.0
16,1,0.05606060606060606,0.0
16,2,0.08409090909090909,0.0022727272727272726
16,3,0.058333333333333334,0.0030303030303030303
16,4,0.0696969696969697,0.006060606060606061
16,5,0.09015151515151515,0.014393939393939395
17,0,0.18636363636363637,0.0007575757575757576
17,1,0.12348484848484849,0.012121212121212121
17,2,0.10454545454545454,0.021212121212121213
17,3,0.2537878787878788,0.025757575757575757
17,4,0.23787878787878788,0.03787878787878788
17,5,0.2318181818181818,0.0446969696969697
18,0,0.14469696969696969,0.0007575757575757576
18,1,0.15,0.008333333333333333
18,2,0.15606060606060607,0.01818181818181818
18,3,0.12727272727272726,0.02803030303030303
