replicate,rank,top-1320 model,top-1320 acquired
1,0,0.05757575757575758,0.0007575757575757576
1,1,0.09090909090909091,0.0030303030303030303
1,2,0.13484848484848486,0.006818181818181818
1,3,0.10303030303030303,0.013636363636363636
1,4,0.10303030303030303,0.01893939393939394
1,5,0.09242424242424242,0.025
2,0,0.017424242424242425,0.0007575757575757576
2,1,0.03409090909090909,0.0007575757575757576
2,2,0.051515151515151514,0.0007575757575757576
2,3,0.07575757575757576,0.003787878787878788
2,4,0.10075757575757575,0.006060606060606061
2,5,0.10757575757575757,0.007575757575757576
3,0,0.08484848484848485,0.0007575757575757576
3,1,0.12121212121212122,0.0007575757575757576
3,2,0.20075757575757575,0.004545454545454545
3,3,0.1462121212121212,0.014393939393939395
3,4,0.13787878787878788,0.02196969696969697
3,5,0.12803030303030302,0.029545454545454545
4,0,0.17045454545454544,0.0015151515151515152
4,1,0.11060606060606061,0.013636363636363636
4,2,0.13863636363636364,0.021212121212121213
4,3,0.15454545454545454,0.031818181818181815
4,4,0.17954545454545454,0.03939393939393939
4,5,0.16590909090909092,0.05075757575757576
5,0,0.04393939393939394,0.0
5,1,0.08712121212121213,0.0030303030303030303
5,2,0.10303030303030303,0.007575757575757576
5,3,0.09545454545454546,0.010606060606060607
5,4,0.12121212121212122,0.013636363636363636
5,5,0.13787878787878788,0.015909090909090907
6,0,0.17045454545454544,0.0015151515151515152
6,1,0.10606060606060606,0.011363636363636364
6,2,0.12196969696969696,0.020454545454545454
6,3,0.1462121212121212,0.03106060606060606
6,4,0.13257575757575757,0.04090909090909091
6,5,0.1340909090909091,0.05
7,0,0.1946969696969697,0.0015151515151515152
7,1,0.14469696969696969,0.010606060606060607
7,2,0.12727272727272726,0.019696969696969695
7,3,0.15303030303030302,0.030303030303030304
7,4,0.18636363636363637,0.04242424242424243
7,5,0.17954545454545454,0.05227272727272727
8,0,0.08712121212121213,0.0015151515151515152
8,1,0.1393939393939394,0.006060606060606061
8,2,0.1984848484848485,0.016666666666666666
8,3,0.1984848484848485,0.02727272727272727
8,4,0.21666666666666667,0.037121212121212124
8,5,0.17424242424242425,0.04696969696969697
9,0,0.07424242424242425,0.0007575757575757576
9,1,0.1318181818181818,0.0007575757575757576
9,2,0.16287878787878787,0.004545454545454545
9,3,0.0893939393939394,0.010606060606060607
9,4,0.09545454545454546,0.021212121212121213
9,5,0.10378787878787879,0.02727272727272727
10,0,0.12196969696969696,0.0007575757575757576
10,1,0.038636363636363635,0.0030303030303030303
10,2,0.055303030303030305,0.0030303030303030303
10,3,0.07272727272727272,0.0030303030303030303
10,4,0.08484848484848485,0.007575757575757576
10,5,0.06515151515151515,0.012121212121212121
11,0,0.2446969696969697,0.0015151515151515152
11,1,0.11136363636363636,0.008333333333333333
11,2,0.13484848484848486,0.011363636363636364
11,3,0.1462121212121212,0.019696969696969695
11,4,0.15303030303030302,0.029545454545454545
11,5,0.17045454545454544,0.038636363636363635
12,0,0.10833333333333334,0.0007575757575757576
12,1,0.11136363636363636,0.007575757575757576
12,2,0.07651515151515151,0.015909090909090907
12,3,0.08484848484848485,0.021212121212121213
12,4,0.08712121212121213,0.025
12,5,0.08181818181818182,0.029545454545454545
13,0,0.019696969696969695,0.0
13,1,0.058333333333333334,0.0007575757575757576
13,2,0.08863636363636364,0.0030303030303030303
13,3,0.07348484848484849,0.006060606060606061
13,4,0.08257575757575758,0.008333333333333333
13,5,0.10606060606060606,0.015909090909090907
