replicate,rank,top-1320 model,top-1320 acquired
1,0,0.07424242424242425,0.0
1,1,0.05606060606060606,0.0022727272727272726
1,2,0.038636363636363635,0.003787878787878788
1,3,0.0803030303030303,0.007575757575757576
1,4,0.09621212121212121,0.011363636363636364
1,5,0.11136363636363636,0.017424242424242425
2,0,0.012121212121212121,0.0
2,1,0.00909090909090909,0.0
2,2,0.02196969696969697,0.0
2,3,0.03484848484848485,0.0007575757575757576
2,4,0.026515151515151516,0.0015151515151515152
2,5,0.03409090909090909,0.0015151515151515152
3,0,0.03484848484848485,0.0
3,1,0.05227272727272727,0.0
3,2,0.08333333333333333,0.0
3,3,0.10378787878787879,0.0015151515151515152
3,4,0.10378787878787879,0.0030303030303030303
3,5,0.12651515151515152,0.005303030303030303
4,0,0.03409090909090909,0.0
4,1,0.12045454545454545,0.0
4,2,0.18106060606060606,0.004545454545454545
4,3,0.21893939393939393,0.015909090909090907
4,4,0.24166666666666667,0.025
4,5,0.21136363636363636,0.035606060606060606
5,0,0.03409090909090909,0.0
5,1,0.05227272727272727,0.0
5,2,0.14469696969696969,0.0015151515151515152
5,3,0.16818181818181818,0.00909090909090909
5,4,0.1553030303030303,0.021212121212121213
5,5,0.13712121212121212,0.031818181818181815
6,0,0.015151515151515152,0.0
6,1,0.045454545454545456,0.0
6,2,0.04924242424242424,0.0
6,3,0.08333333333333333,0.004545454545454545
6,4,0.0659090909090909,0.006060606060606061
6,5,0.1,0.007575757575757576
7,0,0.08181818181818182,0.0
7,1,0.10378787878787879,0.0
7,2,0.08712121212121213,0.0022727272727272726
7,3,0.13106060606060607,0.005303030303030303
7,4,0.15075757575757576,0.00909090909090909
7,5,0.15757575757575756,0.012878787878787878
8,0,0.030303030303030304,0.0
8,1,0.04090909090909091,0.0015151515151515152
8,2,0.029545454545454545,0.006060606060606061
8,3,0.06439393939393939,0.006060606060606061
8,4,0.06818181818181818,0.012878787878787878
8,5,0.07954545454545454,0.01893939393939394
9,0,0.037121212121212124,0.0
9,1,0.058333333333333334,0.0007575757575757576
9,2,0.045454545454545456,0.0030303030303030303
9,3,0.07348484848484849,0.003787878787878788
9,4,0.10606060606060606,0.006060606060606061
9,5,0.13636363636363635,0.012121212121212121
10,0,0.02196969696969697,0.0
10,1,0.04318181818181818,0.0
10,2,0.04621212121212121,0.0
10,3,0.038636363636363635,0.0
10,4,0.06136363636363636,0.0007575757575757576
10,5,0.06060606060606061,0.005303030303030303
11,0,0.055303030303030305,0.0
11,1,0.15757575757575756,0.0015151515151515152
11,2,0.10984848484848485,0.009848484848484848
11,3,0.12803030303030302,0.013636363636363636
11,4,0.18787878787878787,0.019696969696969695
11,5,0.18106060606060606,0.030303030303030304
12,0,0.0803030303030303,0.0
12,1,0.07651515151515151,0.0007575757575757576
12,2,0.10227272727272728,0.0015151515151515152
12,3,0.10909090909090909,0.005303030303030303
12,4,0.09696969696969697,0.012121212121212121
12,5,0.1643939393939394,0.01818181818181818
13,0,0.04318181818181818,0.0
13,1,0.059848484848484845,0.0007575757575757576
13,2,0.14924242424242423,0.0022727272727272726
13,3,0.08409090909090909,0.004545454545454545
13,4,0.1,0.00909090909090909
13,5,0.11515151515151516,0.012121212121212121
14,0,0.03409090909090909,0.0
14,1,0.015909090909090907,0.0
14,2,0.01893939393939394,0.0
14,3,0.055303030303030305,0.0015151515151515152
