replicate,rank,top-1320 model,top-1320 acquired
1,0,0.07954545454545454,0.0007575757575757576
1,1,0.06818181818181818,0.004545454545454545
1,2,0.08409090909090909,0.005303030303030303
1,3,0.09772727272727273,0.00909090909090909
1,4,0.13106060606060607,0.015151515151515152
1,5,0.16666666666666666,0.019696969696969695
2,0,0.04015151515151515,0.0007575757575757576
2,1,0.07575757575757576,0.0007575757575757576
2,2,0.05227272727272727,0.0022727272727272726
2,3,0.07727272727272727,0.003787878787878788
2,4,0.09090909090909091,0.006818181818181818
2,5,0.10984848484848485,0.012121212121212121
3,0,0.1553030303030303,0.0007575757575757576
3,1,0.1696969696969697,0.007575757575757576
3,2,0.19090909090909092,0.017424242424242425
3,3,0.20606060606060606,0.025757575757575757
3,4,0.1946969696969697,0.037121212121212124
3,5,0.22121212121212122,0.045454545454545456
4,0,0.17045454545454544,0.0015151515151515152
4,1,0.14242424242424243,0.006818181818181818
4,2,0.15984848484848485,0.013636363636363636
4,3,0.16893939393939394,0.023484848484848483
4,4,0.16287878787878787,0.035606060606060606
4,5,0.16818181818181818,0.04772727272727273
5,0,0.10681818181818181,0.0
5,1,0.13484848484848486,0.0022727272727272726
5,2,0.13333333333333333,0.012878787878787878
5,3,0.15681818181818183,0.01818181818181818
5,4,0.15454545454545454,0.02196969696969697
5,5,0.1643939393939394,0.025
6,0,0.19015151515151515,0.0015151515151515152
6,1,0.12878787878787878,0.012121212121212121
6,2,0.13560606060606062,0.022727272727272728
6,3,0.24696969696969698,0.031818181818181815
6,4,0.24242424242424243,0.037121212121212124
6,5,0.2446969696969697,0.04924242424242424
7,0,0.16742424242424242,0.0015151515151515152
7,1,0.125,0.006060606060606061
7,2,0.15075757575757576,0.020454545454545454
7,3,0.15303030303030302,0.031818181818181815
7,4,0.09621212121212121,0.04090909090909091
7,5,0.17045454545454544,0.04924242424242424
8,0,0.12196969696969696,0.0015151515151515152
8,1,0.13333333333333333,0.0030303030303030303
8,2,0.16287878787878787,0.008333333333333333
8,3,0.18409090909090908,0.01893939393939394
8,4,0.1893939393939394,0.031818181818181815
8,5,0.20681818181818182,0.04393939393939394
9,0,0.08106060606060606,0.0007575757575757576
9,1,0.14469696969696969,0.006060606060606061
9,2,0.1984848484848485,0.014393939393939395
9,3,0.2356060606060606,0.025
9,4,0.23863636363636365,0.03409090909090909
9,5,0.2446969696969697,0.04393939393939394
10,0,0.03939393939393939,0.0007575757575757576
10,1,0.05378787878787879,0.0015151515151515152
10,2,0.02727272727272727,0.005303030303030303
10,3,0.04696969696969697,0.012121212121212121
10,4,0.056818181818181816,0.01818181818181818
10,5,0.05909090909090909,0.02196969696969697
