replicate,rank,top-1320 model,top-1320 acquired
1,0,0.045454545454545456,0.0
1,1,0.08712121212121213,0.0015151515151515152
1,2,0.09090909090909091,0.005303030303030303
1,3,0.0946969696969697,0.006818181818181818
1,4,0.11060606060606061,0.008333333333333333
1,5,0.09242424242424242,0.011363636363636364
2,0,0.012878787878787878,0.0
2,1,0.007575757575757576,0.0
2,2,0.02196969696969697,0.0
2,3,0.021212121212121213,0.0
2,4,0.035606060606060606,0.0007575757575757576
2,5,0.08484848484848485,0.0022727272727272726
3,0,0.08636363636363636,0.0
3,1,0.15,0.0007575757575757576
3,2,0.1431818181818182,0.004545454545454545
3,3,0.14924242424242423,0.015151515151515152
3,4,0.13636363636363635,0.017424242424242425
3,5,0.1643939393939394,0.02196969696969697
4,0,0.03409090909090909,0.0
4,1,0.09090909090909091,0.0007575757575757576
4,2,0.10151515151515152,0.0007575757575757576
4,3,0.11666666666666667,0.003787878787878788
4,4,0.1712121212121212,0.00909090909090909
4,5,0.12121212121212122,0.017424242424242425
5,0,0.10833333333333334,0.0
5,1,0.10075757575757575,0.0030303030303030303
5,2,0.07424242424242425,0.010606060606060607
5,3,0.08409090909090909,0.012878787878787878
5,4,0.09242424242424242,0.015909090909090907
5,5,0.09696969696969697,0.01893939393939394
6,0,0.06287878787878788,0.0
6,1,0.10984848484848485,0.0
6,2,0.14696969696969697,0.0022727272727272726
6,3,0.14772727272727273,0.004545454545454545
6,4,0.20757575757575758,0.011363636363636364
6,5,0.2265151515151515,0.022727272727272728
7,0,0.13333333333333333,0.0
7,1,0.12272727272727273,0.0
7,2,0.14393939393939395,0.003787878787878788
7,3,0.12196969696969696,0.005303030303030303
7,4,0.1340909090909091,0.007575757575757576
7,5,0.12045454545454545,0.012878787878787878
8,0,0.051515151515151514,0.0
8,1,0.06666666666666667,0.0022727272727272726
8,2,0.06666666666666667,0.004545454545454545
8,3,0.05757575757575758,0.010606060606060607
8,4,0.08636363636363636,0.019696969696969695
8,5,0.09318181818181819,0.025757575757575757
9,0,0.04393939393939394,0.0
9,1,0.0446969696969697,0.0
9,2,0.06439393939393939,0.0
9,3,0.06287878787878788,0.0007575757575757576
9,4,0.06363636363636363,0.0022727272727272726
9,5,0.08484848484848485,0.003787878787878788
10,0,0.007575757575757576,0.0
10,1,0.03939393939393939,0.0
10,2,0.05,0.0
10,3,0.05606060606060606,0.0007575757575757576
10,4,0.05757575757575758,0.003787878787878788
10,5,0.056818181818181816,0.006060606060606061
11,0,0.09393939393939393,0.0
11,1,0.11969696969696969,0.0022727272727272726
11,2,0.12803030303030302,0.006060606060606061
11,3,0.11666666666666667,0.008333333333333333
11,4,0.1431818181818182,0.010606060606060607
11,5,0.15151515151515152,0.014393939393939395
12,0,0.07727272727272727,0.0
12,1,0.12272727272727273,0.0022727272727272726
12,2,0.16893939393939394,0.005303030303030303
12,3,0.2340909090909091,0.010606060606060607
12,4,0.2431818181818182,0.024242424242424242
12,5,0.22424242424242424,0.03484848484848485
13,0,0.06893939393939394,0.0
13,1,0.04924242424242424,0.0007575757575757576
13,2,0.11363636363636363,0.0030303030303030303
13,3,0.14166666666666666,0.006060606060606061
13,4,0.20303030303030303,0.015909090909090907
13,5,0.10681818181818181,0.02803030303030303
14,0,0.08181818181818182,0.0
14,1,0.045454545454545456,0.0007575757575757576
14,2,0.12575757575757576,0.0015151515151515152
14,3,0.15,0.005303030303030303
14,4,0.21893939393939393,0.012878787878787878
14,5,0.21742424242424244,0.025757575757575757
15,0,0.1159090909090909,0.0
15,1,0.07348484848484849,0.0015151515151515152
15,2,0.07196969696969698,0.003787878787878788
15,3,0.0893939393939394,0.005303030303030303
15,4,0.09393939393939393,0.007575757575757576
15,5,0.08863636363636364,0.010606060606060607
16,0,0.07121212121212121,0.0
16,1,0.11666666666666667,0.0007575757575757576
16,2,0.09848484848484848,0.012121212121212121
16,3,0.10303030303030303,0.024242424242424242
16,4,0.10151515151515152,0.03106060606060606
16,5,0.16287878787878787,0.03333333333333333
17,0,0.041666666666666664,0.0
17,1,0.056818181818181816,0.0007575757575757576
17,2,0.075,0.0007575757575757576
17,3,0.11515151515151516,0.0022727272727272726
17,4,0.15378787878787878,0.008333333333333333
17,5,0.1621212121212121,0.017424242424242425
18,0,0.19924242424242425,0.0
18,1,0.19696969696969696,0.00909090909090909
18,2,0.21893939393939393,0.01818181818181818
18,3,0.28939393939393937,0.02727272727272727
18,4,0.2946969696969697,0.038636363636363635
18,5,0.271969696969697,0.048484848484848485
19,0,0.06893939393939394,0.0
19,1,0.08181818181818182,0.0
19,2,0.08333333333333333,0.0007575757575757576
19,3,0.08863636363636364,0.0015151515151515152
19,4,0.09318181818181819,0.005303030303030303
19,5,0.1159090909090909,0.011363636363636364
20,0,0.058333333333333334,0.0
20,1,0.04318181818181818,0.0007575757575757576
20,2,0.07348484848484849,0.0015151515151515152
20,3,0.06363636363636363,0.003787878787878788
20,4,0.0696969696969697,0.005303030303030303
20,5,0.12272727272727273,0.009848484848484848
21,0,0.007575757575757576,0.0
21,1,0.04924242424242424,0.0
21,2,0.01893939393939394,0.0007575757575757576
21,3,0.0946969696969697,0.0030303030303030303
21,4,0.0803030303030303,0.007575757575757576
21,5,0.08409090909090909,0.009848484848484848
22,0,0.009848484848484848,0.0
22,1,0.008333333333333333,0.0
22,2,0.04621212121212121,0.0
22,3,0.08712121212121213,0.0007575757575757576
22,4,0.15681818181818183,0.0030303030303030303
22,5,0.19696969696969696,0.00909090909090909
23,0,0.059848484848484845,0.0
23,1,0.012121212121212121,0.0
23,2,0.003787878787878788,0.0
23,3,0.004545454545454545,0.0
23,4,0.004545454545454545,0.0
23,5,0.0030303030303030303,0.0
24,0,0.03106060606060606,0.0
24,1,0.0696969696969697,0.0015151515151515152
24,2,0.05,0.005303030303030303
24,3,0.04318181818181818,0.008333333333333333
24,4,0.04393939393939394,0.011363636363636364
24,5,0.05757575757575758,0.012121212121212121
25,0,0.08333333333333333,0.0
25,1,0.11742424242424243,0.0
25,2,0.13257575757575757,0.004545454545454545
25,3,0.1787878787878788,0.012121212121212121
25,4,0.1946969696969697,0.020454545454545454
25,5,0.14166666666666666,0.03333333333333333
26,0,0.17803030303030304,0.0007575757575757576
26,1,0.15378787878787878,0.008333333333333333
26,2,0.15984848484848485,0.016666666666666666
26,3,0.1553030303030303,0.026515151515151516
