replicate,rank,top-1320 model,top-1320 acquired
1,0,0.1984848484848485,0.0030303030303030303
1,1,0.0856060606060606,0.012121212121212121
1,2,0.1303030303030303,0.015151515151515152
1,3,0.1318181818181818,0.019696969696969695
1,4,0.20757575757575758,0.02727272727272727
1,5,0.25303030303030305,0.038636363636363635
2,0,0.08181818181818182,0.0015151515151515152
2,1,0.11969696969696969,0.0030303030303030303
2,2,0.1409090909090909,0.00909090909090909
2,3,0.15606060606060607,0.016666666666666666
2,4,0.18333333333333332,0.025757575757575757
2,5,0.21818181818181817,0.038636363636363635
3,0,0.17803030303030304,0.0015151515151515152
3,1,0.13712121212121212,0.007575757575757576
3,2,0.15303030303030302,0.01893939393939394
3,3,0.15681818181818183,0.03257575757575758
3,4,0.11136363636363636,0.04318181818181818
3,5,0.13106060606060607,0.05454545454545454
4,0,0.125,0.0030303030303030303
4,1,0.1893939393939394,0.007575757575757576
4,2,0.18484848484848485,0.01893939393939394
4,3,0.19166666666666668,0.029545454545454545
4,4,0.26666666666666666,0.04015151515151515
4,5,0.24242424242424243,0.05227272727272727
5,0,0.08181818181818182,0.0022727272727272726
5,1,0.10075757575757575,0.004545454545454545
5,2,0.17424242424242425,0.012121212121212121
5,3,0.14545454545454545,0.025757575757575757
5,4,0.19318181818181818,0.038636363636363635
5,5,0.20454545454545456,0.04924242424242424
6,0,0.11363636363636363,0.0030303030303030303
6,1,0.1340909090909091,0.006818181818181818
6,2,0.22045454545454546,0.012878787878787878
6,3,0.22121212121212122,0.019696969696969695
6,4,0.27045454545454545,0.029545454545454545
6,5,0.24696969696969698,0.04393939393939394
7,0,0.15,0.0022727272727272726
7,1,0.21666666666666667,0.00909090909090909
7,2,0.21515151515151515,0.017424242424242425
7,3,0.2734848484848485,0.026515151515151516
7,4,0.2765151515151515,0.03636363636363636
7,5,0.26136363636363635,0.045454545454545456
8,0,0.14393939393939395,0.0015151515151515152
8,1,0.10303030303030303,0.00909090909090909
8,2,0.1606060606060606,0.02196969696969697
8,3,0.19090909090909092,0.03257575757575758
8,4,0.2037878787878788,0.04318181818181818
8,5,0.16818181818181818,0.051515151515151514
9,0,0.02196969696969697,0.0
9,1,0.045454545454545456,0.0
9,2,0.10303030303030303,0.0007575757575757576
9,3,0.11136363636363636,0.004545454545454545
9,4,0.16742424242424242,0.007575757575757576
9,5,0.2409090909090909,0.017424242424242425
10,0,0.0007575757575757576,0.0
10,1,0.06287878787878788,0.0
10,2,0.07878787878787878,0.0007575757575757576
10,3,0.2015151515151515,0.006818181818181818
10,4,0.22954545454545455,0.01818181818181818
10,5,0.19318181818181818,0.029545454545454545
11,0,0.19696969696969696,0.0015151515151515152
11,1,0.15757575757575756,0.009848484848484848
11,2,0.18333333333333332,0.01818181818181818
11,3,0.15833333333333333,0.026515151515151516
11,4,0.1765151515151515,0.03636363636363636
11,5,0.1856060606060606,0.04621212121212121
12,0,0.1553030303030303,0.0007575757575757576
12,1,0.16363636363636364,0.009848484848484848
12,2,0.22803030303030303,0.01893939393939394
12,3,0.27121212121212124,0.03106060606060606
12,4,0.26666666666666666,0.04318181818181818
12,5,0.24621212121212122,0.055303030303030305
13,0,0.2053030303030303,0.0015151515151515152
13,1,0.075,0.009848484848484848
13,2,0.08181818181818182,0.020454545454545454
13,3,0.14696969696969697,0.02803030303030303
13,4,0.15984848484848485,0.038636363636363635
13,5,0.15075757575757576,0.04621212121212121
14,0,0.12424242424242424,0.0007575757575757576
14,1,0.15378787878787878,0.005303030303030303
14,2,0.1643939393939394,0.00909090909090909
14,3,0.18712121212121213,0.015151515151515152
14,4,0.20075757575757575,0.029545454545454545
14,5,0.19318181818181818,0.04242424242424243
15,0,0.09166666666666666,0.0030303030303030303
15,1,0.13484848484848486,0.005303030303030303
15,2,0.12348484848484849,0.007575757575757576
15,3,0.09924242424242424,0.014393939393939395
15,4,0.1696969696969697,0.02196969696969697
15,5,0.16590909090909092,0.023484848484848483
16,0,0.037121212121212124,0.0
16,1,0.0893939393939394,0.0007575757575757576
16,2,0.14545454545454545,0.0030303030303030303
16,3,0.2159090909090909,0.006060606060606061
16,4,0.22803030303030303,0.012878787878787878
16,5,0.18787878787878787,0.022727272727272728
17,0,0.11893939393939394,0.0022727272727272726
17,1,0.16287878787878787,0.0030303030303030303
17,2,0.14393939393939395,0.011363636363636364
17,3,0.1462121212121212,0.01818181818181818
17,4,0.20984848484848484,0.02803030303030303
17,5,0.21893939393939393,0.04015151515151515
18,0,0.16893939393939394,0.0030303030303030303
18,1,0.14242424242424243,0.006060606060606061
18,2,0.15075757575757576,0.015909090909090907
18,3,0.2053030303030303,0.026515151515151516
18,4,0.21893939393939393,0.038636363636363635
18,5,0.225,0.051515151515151514
19,0,0.12045454545454545,0.0015151515151515152
19,1,0.2015151515151515,0.006060606060606061
19,2,0.20606060606060606,0.019696969696969695
19,3,0.2318181818181818,0.02878787878787879
19,4,0.18636363636363637,0.03939393939393939
19,5,0.1621212121212121,0.04924242424242424
20,0,0.1984848484848485,0.0030303030303030303
20,1,0.1643939393939394,0.014393939393939395
20,2,0.17803030303030304,0.023484848484848483
20,3,0.20227272727272727,0.03333333333333333
20,4,0.2515151515151515,0.04393939393939394
20,5,0.2287878787878788,0.05606060606060606
21,0,0.06893939393939394,0.0007575757575757576
21,1,0.06212121212121212,0.0015151515151515152
21,2,0.08787878787878788,0.0022727272727272726
21,3,0.08106060606060606,0.003787878787878788
21,4,0.0893939393939394,0.006060606060606061
21,5,0.09166666666666666,0.00909090909090909
22,0,0.1462121212121212,0.0030303030303030303
22,1,0.0893939393939394,0.006060606060606061
22,2,0.08484848484848485,0.010606060606060607
22,3,0.12272727272727273,0.013636363636363636
22,4,0.13257575757575757,0.016666666666666666
22,5,0.14924242424242423,0.02196969696969697
23,0,0.21818181818181817,0.0007575757575757576
23,1,0.19166666666666668,0.012878787878787878
23,2,0.17196969696969697,0.021212121212121213
23,3,0.20075757575757575,0.03409090909090909
23,4,0.175,0.045454545454545456
23,5,0.21515151515151515,0.05378787878787879
24,0,0.17196969696969697,0.0007575757575757576
24,1,0.19318181818181818,0.006818181818181818
24,2,0.2356060606060606,0.019696969696969695
24,3,0.22045454545454546,0.029545454545454545
24,4,0.2,0.037121212121212124
24,5,0.19696969696969696,0.045454545454545456
25,0,0.21742424242424244,0.0022727272727272726
25,1,0.08712121212121213,0.012121212121212121
25,2,0.09848484848484848,0.022727272727272728
25,3,0.08409090909090909,0.035606060606060606
25,4,0.1143939393939394,0.0446969696969697
25,5,0.10984848484848485,0.05227272727272727
26,0,0.012121212121212121,0.0
26,1,0.06515151515151515,0.0
26,2,0.06287878787878788,0.0
26,3,0.09621212121212121,0.0007575757575757576
26,4,0.15075757575757576,0.0030303030303030303
26,5,0.18333333333333332,0.009848484848484848
27,0,0.18712121212121213,0.0015151515151515152
27,1,0.15757575757575756,0.008333333333333333
27,2,0.13863636363636364,0.017424242424242425
27,3,0.2,0.029545454545454545
27,4,0.1984848484848485,0.04090909090909091
27,5,0.16818181818181818,0.05227272727272727
28,0,0.13484848484848486,0.0022727272727272726
28,1,0.15303030303030302,0.00909090909090909
28,2,0.11666666666666667,0.01893939393939394
28,3,0.18712121212121213,0.02727272727272727
28,4,0.22727272727272727,0.04015151515151515
28,5,0.2265151515151515,0.05227272727272727
29,0,0.16818181818181818,0.0022727272727272726
29,1,0.14242424242424243,0.006818181818181818
29,2,0.18636363636363637,0.012121212121212121
29,3,0.18863636363636363,0.020454545454545454
29,4,0.13257575757575757,0.03409090909090909
29,5,0.13863636363636364,0.04015151515151515
30,0,0.19242424242424241,0.0030303030303030303
30,1,0.15984848484848485,0.006818181818181818
30,2,0.12803030303030302,0.016666666666666666
30,3,0.1787878787878788,0.021212121212121213
30,4,0.22196969696969698,0.03333333333333333
30,5,0.2431818181818182,0.04621212121212121
