replicate,rank,top-1320 model,top-1320 acquired
1,0,0.19242424242424241,0.0030303030303030303
1,1,0.11060606060606061,0.010606060606060607
1,2,0.14545454545454545,0.020454545454545454
1,3,0.10454545454545454,0.03333333333333333
1,4,0.15303030303030302,0.04393939393939394
1,5,0.1431818181818182,0.05075757575757576
2,0,0.09696969696969697,0.0007575757575757576
2,1,0.17575757575757575,0.003787878787878788
2,2,0.14242424242424243,0.017424242424242425
2,3,0.12272727272727273,0.02803030303030303
2,4,0.15984848484848485,0.035606060606060606
2,5,0.22196969696969698,0.045454545454545456
3,0,0.12272727272727273,0.0022727272727272726
3,1,0.16818181818181818,0.008333333333333333
3,2,0.16666666666666666,0.01893939393939394
3,3,0.16287878787878787,0.030303030303030304
3,4,0.21515151515151515,0.03787878787878788
3,5,0.23787878787878788,0.048484848484848485
4,0,0.13560606060606062,0.0030303030303030303
4,1,0.11893939393939394,0.012121212121212121
4,2,0.12348484848484849,0.022727272727272728
4,3,0.10303030303030303,0.02803030303030303
4,4,0.14924242424242423,0.03484848484848485
4,5,0.1318181818181818,0.0446969696969697
5,0,0.12196969696969696,0.0015151515151515152
5,1,0.021212121212121213,0.005303030303030303
5,2,0.19545454545454546,0.005303030303030303
5,3,0.16590909090909092,0.010606060606060607
5,4,0.15378787878787878,0.019696969696969695
5,5,0.17575757575757575,0.025757575757575757
6,0,0.18409090909090908,0.003787878787878788
6,1,0.12424242424242424,0.013636363636363636
6,2,0.19015151515151515,0.022727272727272728
6,3,0.16666666666666666,0.031818181818181815
6,4,0.25075757575757573,0.04090909090909091
6,5,0.22727272727272727,0.05303030303030303
7,0,0.15075757575757576,0.003787878787878788
7,1,0.15,0.014393939393939395
7,2,0.10303030303030303,0.025
7,3,0.11742424242424243,0.03787878787878788
7,4,0.1431818181818182,0.04393939393939394
7,5,0.14469696969696969,0.051515151515151514
8,0,0.13560606060606062,0.0015151515151515152
8,1,0.1787878787878788,0.010606060606060607
8,2,0.14469696969696969,0.021212121212121213
8,3,0.22272727272727272,0.02878787878787879
8,4,0.26590909090909093,0.037121212121212124
8,5,0.25,0.051515151515151514
9,0,0.035606060606060606,0.0
9,1,0.06212121212121212,0.0007575757575757576
9,2,0.09848484848484848,0.006060606060606061
9,3,0.11060606060606061,0.012121212121212121
9,4,0.14166666666666666,0.015909090909090907
9,5,0.16515151515151516,0.022727272727272728
10,0,0.2,0.0022727272727272726
10,1,0.10303030303030303,0.010606060606060607
10,2,0.09924242424242424,0.020454545454545454
10,3,0.17727272727272728,0.031818181818181815
10,4,0.1484848484848485,0.041666666666666664
10,5,0.23787878787878788,0.04772727272727273
11,0,0.16515151515151516,0.0022727272727272726
11,1,0.15984848484848485,0.011363636363636364
11,2,0.12727272727272726,0.02196969696969697
11,3,0.15681818181818183,0.025757575757575757
11,4,0.2340909090909091,0.03787878787878788
11,5,0.19772727272727272,0.04924242424242424
12,0,0.18333333333333332,0.0030303030303030303
12,1,0.14772727272727273,0.00909090909090909
12,2,0.12954545454545455,0.017424242424242425
12,3,0.18106060606060606,0.026515151515151516
12,4,0.1765151515151515,0.035606060606060606
12,5,0.1946969696969697,0.04772727272727273
13,0,0.1393939393939394,0.0015151515151515152
13,1,0.09242424242424242,0.011363636363636364
13,2,0.1462121212121212,0.019696969696969695
13,3,0.1712121212121212,0.02727272727272727
13,4,0.13257575757575757,0.03787878787878788
13,5,0.1553030303030303,0.045454545454545456
14,0,0.18863636363636363,0.0030303030303030303
14,1,0.20075757575757575,0.010606060606060607
14,2,0.16287878787878787,0.022727272727272728
14,3,0.20757575757575758,0.03106060606060606
14,4,0.2636363636363636,0.04015151515151515
14,5,0.22196969696969698,0.05378787878787879
15,0,0.125,0.003787878787878788
15,1,0.15075757575757576,0.012878787878787878
15,2,0.13636363636363635,0.023484848484848483
15,3,0.14393939393939395,0.03257575757575758
15,4,0.16893939393939394,0.037121212121212124
15,5,0.18712121212121213,0.045454545454545456
16,0,0.10757575757575757,0.0015151515151515152
16,1,0.11742424242424243,0.0030303030303030303
16,2,0.11742424242424243,0.010606060606060607
16,3,0.09696969696969697,0.02196969696969697
16,4,0.18409090909090908,0.026515151515151516
16,5,0.1734848484848485,0.037121212121212124
17,0,0.1431818181818182,0.003787878787878788
17,1,0.1946969696969697,0.012121212121212121
17,2,0.2015151515151515,0.02196969696969697
17,3,0.1946969696969697,0.029545454545454545
17,4,0.17803030303030304,0.04090909090909091
17,5,0.18787878787878787,0.05303030303030303
18,0,0.15075757575757576,0.003787878787878788
18,1,0.18257575757575759,0.010606060606060607
18,2,0.16893939393939394,0.020454545454545454
18,3,0.1962121212121212,0.031818181818181815
18,4,0.2143939393939394,0.04090909090909091
18,5,0.24393939393939393,0.04924242424242424
19,0,0.017424242424242425,0.0
19,1,0.013636363636363636,0.0
19,2,0.06515151515151515,0.0
19,3,0.14393939393939395,0.0022727272727272726
19,4,0.12878787878787878,0.010606060606060607
19,5,0.15606060606060607,0.020454545454545454
20,0,0.18863636363636363,0.003787878787878788
20,1,0.07651515151515151,0.011363636363636364
20,2,0.1462121212121212,0.014393939393939395
20,3,0.12575757575757576,0.025757575757575757
20,4,0.17424242424242425,0.035606060606060606
20,5,0.1484848484848485,0.045454545454545456
21,0,0.04772727272727273,0.0015151515151515152
21,1,0.04242424242424243,0.0015151515151515152
