replicate,rank,top-1320 model,top-1320 acquired
1,0,0.14545454545454545,0.0030303030303030303
1,1,0.07424242424242425,0.008333333333333333
1,2,0.13560606060606062,0.00909090909090909
1,3,0.15757575757575756,0.012121212121212121
1,4,0.18409090909090908,0.01818181818181818
1,5,0.17727272727272728,0.030303030303030304
2,0,0.11136363636363636,0.0007575757575757576
2,1,0.14772727272727273,0.0030303030303030303
2,2,0.12121212121212122,0.009848484848484848
2,3,0.2772727272727273,0.01893939393939394
2,4,0.24621212121212122,0.030303030303030304
2,5,0.2143939393939394,0.03939393939393939
3,0,0.14772727272727273,0.0022727272727272726
3,1,0.18333333333333332,0.012878787878787878
3,2,0.16136363636363638,0.02803030303030303
3,3,0.22121212121212122,0.03636363636363636
3,4,0.2037878787878788,0.048484848484848485
3,5,0.2128787878787879,0.06060606060606061
4,0,0.1984848484848485,0.0030303030303030303
4,1,0.15227272727272728,0.010606060606060607
4,2,0.17575757575757575,0.020454545454545454
4,3,0.20075757575757575,0.03257575757575758
4,4,0.19015151515151515,0.04318181818181818
4,5,0.19318181818181818,0.05075757575757576
5,0,0.0893939393939394,0.0015151515151515152
5,1,0.04242424242424243,0.0015151515151515152
5,2,0.08863636363636364,0.0015151515151515152
5,3,0.1303030303030303,0.0022727272727272726
5,4,0.21893939393939393,0.006818181818181818
5,5,0.2340909090909091,0.017424242424242425
6,0,0.15075757575757576,0.003787878787878788
6,1,0.14393939393939395,0.009848484848484848
6,2,0.15606060606060607,0.01893939393939394
6,3,0.17803030303030304,0.025
6,4,0.19318181818181818,0.035606060606060606
6,5,0.19242424242424241,0.045454545454545456
7,0,0.1621212121212121,0.003787878787878788
7,1,0.075,0.012121212121212121
7,2,0.14696969696969697,0.01893939393939394
7,3,0.15681818181818183,0.026515151515151516
7,4,0.175,0.03787878787878788
7,5,0.18181818181818182,0.051515151515151514
8,0,0.14242424242424243,0.0015151515151515152
8,1,0.16590909090909092,0.004545454545454545
8,2,0.18484848484848485,0.011363636363636364
8,3,0.18712121212121213,0.01893939393939394
8,4,0.14696969696969697,0.02803030303030303
8,5,0.23257575757575757,0.03257575757575758
9,0,0.06439393939393939,0.0
9,1,0.07045454545454545,0.0
9,2,0.13484848484848486,0.0022727272727272726
9,3,0.14166666666666666,0.007575757575757576
9,4,0.13787878787878788,0.009848484848484848
9,5,0.1462121212121212,0.015151515151515152
10,0,0.19924242424242425,0.0022727272727272726
10,1,0.1318181818181818,0.014393939393939395
10,2,0.1962121212121212,0.024242424242424242
10,3,0.17954545454545454,0.038636363636363635
10,4,0.2143939393939394,0.04696969696969697
10,5,0.21666666666666667,0.05757575757575758
11,0,0.17272727272727273,0.0022727272727272726
11,1,0.16363636363636364,0.012121212121212121
11,2,0.3151515151515151,0.020454545454545454
11,3,0.3015151515151515,0.029545454545454545
11,4,0.2553030303030303,0.041666666666666664
11,5,0.25984848484848483,0.05
12,0,0.1590909090909091,0.0030303030303030303
12,1,0.16515151515151516,0.006818181818181818
12,2,0.15681818181818183,0.017424242424242425
12,3,0.16742424242424242,0.02878787878787879
12,4,0.19696969696969696,0.04015151515151515
12,5,0.20606060606060606,0.05378787878787879
