replicate,rank,top-1320 model,top-1320 acquired
1,0,0.07424242424242425,0.0
1,1,0.035606060606060606,0.0007575757575757576
1,2,0.09166666666666666,0.0007575757575757576
1,3,0.051515151515151514,0.0007575757575757576
1,4,0.08181818181818182,0.0015151515151515152
1,5,0.14166666666666666,0.003787878787878788
2,0,0.012121212121212121,0.0
2,1,0.0022727272727272726,0.0
2,2,0.015151515151515152,0.0
2,3,0.03333333333333333,0.0
2,4,0.06666666666666667,0.0007575757575757576
2,5,0.05606060606060606,0.0007575757575757576
3,0,0.03484848484848485,0.0
3,1,0.04090909090909091,0.0
3,2,0.04015151515151515,0.0007575757575757576
3,3,0.07196969696969698,0.0007575757575757576
3,4,0.05454545454545454,0.004545454545454545
3,5,0.06818181818181818,0.005303030303030303
4,0,0.03409090909090909,0.0
4,1,0.07272727272727272,0.0
4,2,0.09015151515151515,0.0
4,3,0.1053030303030303,0.0
4,4,0.12348484848484849,0.0
4,5,0.11060606060606061,0.0
5,0,0.03409090909090909,0.0
5,1,0.051515151515151514,0.0
5,2,0.04621212121212121,0.0
5,3,0.08106060606060606,0.0007575757575757576
5,4,0.13712121212121212,0.0007575757575757576
5,5,0.18712121212121213,0.005303030303030303
6,0,0.015151515151515152,0.0
6,1,0.025,0.0
6,2,0.07272727272727272,0.0
6,3,0.058333333333333334,0.0015151515151515152
6,4,0.10303030303030303,0.003787878787878788
6,5,0.12272727272727273,0.004545454545454545
7,0,0.08181818181818182,0.0
7,1,0.07803030303030303,0.0007575757575757576
7,2,0.13484848484848486,0.0007575757575757576
7,3,0.1143939393939394,0.0007575757575757576
7,4,0.09166666666666666,0.0015151515151515152
7,5,0.07878787878787878,0.003787878787878788
8,0,0.030303030303030304,0.0
8,1,0.012878787878787878,0.0007575757575757576
8,2,0.025757575757575757,0.0007575757575757576
8,3,0.038636363636363635,0.0007575757575757576
8,4,0.038636363636363635,0.0007575757575757576
8,5,0.07121212121212121,0.0015151515151515152
9,0,0.037121212121212124,0.0
9,1,0.07196969696969698,0.0015151515151515152
9,2,0.055303030303030305,0.0022727272727272726
9,3,0.07727272727272727,0.0022727272727272726
9,4,0.08484848484848485,0.003787878787878788
9,5,0.12575757575757576,0.006818181818181818
10,0,0.02196969696969697,0.0
10,1,0.03257575757575758,0.0
10,2,0.04696969696969697,0.0007575757575757576
10,3,0.0696969696969697,0.0007575757575757576
10,4,0.11818181818181818,0.0022727272727272726
10,5,0.19242424242424241,0.003787878787878788
11,0,0.055303030303030305,0.0
11,1,0.021212121212121213,0.0
11,2,0.05757575757575758,0.0
11,3,0.07424242424242425,0.0007575757575757576
11,4,0.12575757575757576,0.0030303030303030303
11,5,0.16136363636363638,0.005303030303030303
12,0,0.0803030303030303,0.0
12,1,0.0659090909090909,0.0
12,2,0.07878787878787878,0.0007575757575757576
12,3,0.14469696969696969,0.0022727272727272726
12,4,0.14393939393939395,0.005303030303030303
12,5,0.2053030303030303,0.00909090909090909
13,0,0.04318181818181818,0.0
13,1,0.15681818181818183,0.0022727272727272726
13,2,0.12651515151515152,0.005303030303030303
