replicate,rank,top-1320 model,top-1320 acquired
1,0,0.1984848484848485,0.0015151515151515152
1,1,0.2643939393939394,0.006818181818181818
1,2,0.2674242424242424,0.013636363636363636
1,3,0.271969696969697,0.01893939393939394
1,4,0.2946969696969697,0.020454545454545454
1,5,0.2946969696969697,0.023484848484848483
2,0,0.1484848484848485,0.0
2,1,0.2909090909090909,0.004545454545454545
2,2,0.22954545454545455,0.011363636363636364
2,3,0.2727272727272727,0.017424242424242425
2,4,0.30606060606060603,0.025
2,5,0.30606060606060603,0.031818181818181815
3,0,0.17727272727272728,0.0015151515151515152
3,1,0.225,0.007575757575757576
3,2,0.21893939393939393,0.010606060606060607
3,3,0.2606060606060606,0.015909090909090907
3,4,0.2924242424242424,0.021212121212121213
3,5,0.275,0.026515151515151516
4,0,0.1893939393939394,0.0022727272727272726
4,1,0.3,0.00909090909090909
4,2,0.27954545454545454,0.009848484848484848
4,3,0.3098484848484849,0.011363636363636364
4,4,0.31363636363636366,0.012878787878787878
4,5,0.2946969696969697,0.016666666666666666
5,0,0.15378787878787878,0.0007575757575757576
5,1,0.21515151515151515,0.004545454545454545
5,2,0.19393939393939394,0.008333333333333333
5,3,0.24924242424242424,0.011363636363636364
5,4,0.24166666666666667,0.016666666666666666
5,5,0.25,0.022727272727272728
6,0,0.14924242424242423,0.0
6,1,0.23484848484848486,0.003787878787878788
6,2,0.26212121212121214,0.00909090909090909
6,3,0.29015151515151516,0.017424242424242425
6,4,0.3007575757575758,0.02196969696969697
6,5,0.3106060606060606,0.02803030303030303
7,0,0.2409090909090909,0.0007575757575757576
7,1,0.2628787878787879,0.004545454545454545
7,2,0.2840909090909091,0.009848484848484848
7,3,0.2772727272727273,0.015151515151515152
7,4,0.32651515151515154,0.02196969696969697
7,5,0.3371212121212121,0.029545454545454545
8,0,0.2606060606060606,0.0007575757575757576
8,1,0.28939393939393937,0.006060606060606061
8,2,0.30757575757575756,0.014393939393939395
8,3,0.2818181818181818,0.019696969696969695
8,4,0.3053030303030303,0.025757575757575757
8,5,0.3015151515151515,0.02878787878787879
9,0,0.21742424242424244,0.0
9,1,0.1606060606060606,0.0030303030303030303
9,2,0.1606060606060606,0.006060606060606061
9,3,0.2128787878787879,0.008333333333333333
9,4,0.22424242424242424,0.015909090909090907
9,5,0.22348484848484848,0.01893939393939394
10,0,0.10454545454545454,0.0015151515151515152
10,1,0.21363636363636362,0.007575757575757576
10,2,0.2143939393939394,0.010606060606060607
10,3,0.22954545454545455,0.013636363636363636
10,4,0.21893939393939393,0.015151515151515152
10,5,0.25075757575757573,0.016666666666666666
11,0,0.14772727272727273,0.0
11,1,0.278030303030303,0.0022727272727272726
11,2,0.29924242424242425,0.004545454545454545
11,3,0.2553030303030303,0.012121212121212121
11,4,0.26136363636363635,0.016666666666666666
11,5,0.3386363636363636,0.024242424242424242
12,0,0.20757575757575758,0.0015151515151515152
12,1,0.20984848484848484,0.005303030303030303
12,2,0.2590909090909091,0.006060606060606061
12,3,0.27424242424242423,0.008333333333333333
12,4,0.24621212121212122,0.009848484848484848
12,5,0.26666666666666666,0.012121212121212121
13,0,0.2878787878787879,0.0022727272727272726
13,1,0.2863636363636364,0.006060606060606061
13,2,0.3053030303030303,0.015151515151515152
13,3,0.31136363636363634,0.022727272727272728
13,4,0.33560606060606063,0.02878787878787879
13,5,0.3007575757575758,0.03484848484848485
14,0,0.24242424242424243,0.0022727272727272726
14,1,0.25227272727272726,0.007575757575757576
14,2,0.24621212121212122,0.014393939393939395
14,3,0.31287878787878787,0.020454545454545454
14,4,0.3090909090909091,0.026515151515151516
14,5,0.3007575757575758,0.030303030303030304
15,0,0.16666666666666666,0.0007575757575757576
15,1,0.25984848484848483,0.0022727272727272726
15,2,0.2340909090909091,0.006060606060606061
15,3,0.24772727272727274,0.00909090909090909
15,4,0.28106060606060607,0.014393939393939395
15,5,0.28106060606060607,0.01818181818181818
16,0,0.18181818181818182,0.0007575757575757576
16,1,0.2106060606060606,0.0030303030303030303
16,2,0.271969696969697,0.008333333333333333
16,3,0.28484848484848485,0.012878787878787878
16,4,0.29318181818181815,0.01893939393939394
16,5,0.28863636363636364,0.021212121212121213
17,0,0.1696969696969697,0.0007575757575757576
17,1,0.17272727272727273,0.0030303030303030303
17,2,0.24393939393939393,0.003787878787878788
17,3,0.25833333333333336,0.006818181818181818
17,4,0.29318181818181815,0.010606060606060607
17,5,0.29924242424242425,0.015909090909090907
18,0,0.16515151515151516,0.0
18,1,0.23106060606060605,0.0030303030303030303
18,2,0.24696969696969698,0.006060606060606061
18,3,0.28484848484848485,0.011363636363636364
18,4,0.29015151515151516,0.017424242424242425
18,5,0.27575757575757576,0.025757575757575757
19,0,0.18333333333333332,0.0
19,1,0.2446969696969697,0.005303030303030303
19,2,0.2727272727272727,0.009848484848484848
19,3,0.2962121212121212,0.015909090909090907
19,4,0.3098484848484849,0.024242424242424242
19,5,0.32575757575757575,0.02803030303030303
20,0,0.1484848484848485,0.0
20,1,0.24621212121212122,0.0015151515151515152
20,2,0.19015151515151515,0.0022727272727272726
20,3,0.20757575757575758,0.003787878787878788
20,4,0.23030303030303031,0.006818181818181818
20,5,0.23939393939393938,0.006818181818181818
21,0,0.21212121212121213,0.0
21,1,0.22348484848484848,0.0015151515151515152
21,2,0.2515151515151515,0.007575757575757576
21,3,0.29848484848484846,0.012878787878787878
21,4,0.29318181818181815,0.021212121212121213
21,5,0.30303030303030304,0.025757575757575757
22,0,0.17045454545454544,0.0007575757575757576
22,1,0.2553030303030303,0.006818181818181818
22,2,0.2545454545454545,0.011363636363636364
22,3,0.2689393939393939,0.016666666666666666
22,4,0.2878787878787879,0.023484848484848483
22,5,0.3098484848484849,0.029545454545454545
23,0,0.13863636363636364,0.0015151515151515152
23,1,0.13712121212121212,0.004545454545454545
23,2,0.18333333333333332,0.006060606060606061
23,3,0.22348484848484848,0.008333333333333333
