replicate,rank,top-1320 model,top-1320 acquired
1,0,0.045454545454545456,0.0
1,1,0.07803030303030303,0.0015151515151515152
1,2,0.07348484848484849,0.005303030303030303
1,3,0.08636363636363636,0.008333333333333333
1,4,0.11212121212121212,0.012878787878787878
1,5,0.10984848484848485,0.016666666666666666
2,0,0.012878787878787878,0.0
2,1,0.020454545454545454,0.0
2,2,0.045454545454545456,0.0007575757575757576
2,3,0.09318181818181819,0.0030303030303030303
2,4,0.0803030303030303,0.006060606060606061
2,5,0.06818181818181818,0.010606060606060607
3,0,0.08636363636363636,0.0
3,1,0.13333333333333333,0.0007575757575757576
3,2,0.16818181818181818,0.008333333333333333
3,3,0.16287878787878787,0.016666666666666666
3,4,0.1606060606060606,0.019696969696969695
3,5,0.1643939393939394,0.023484848484848483
4,0,0.03409090909090909,0.0
4,1,0.09621212121212121,0.0007575757575757576
4,2,0.10757575757575757,0.0007575757575757576
4,3,0.15303030303030302,0.0030303030303030303
4,4,0.16287878787878787,0.007575757575757576
4,5,0.15303030303030302,0.012121212121212121
5,0,0.10833333333333334,0.0
5,1,0.09621212121212121,0.0030303030303030303
5,2,0.08333333333333333,0.010606060606060607
5,3,0.10681818181818181,0.015909090909090907
5,4,0.12803030303030302,0.019696969696969695
5,5,0.1621212121212121,0.026515151515151516
6,0,0.06287878787878788,0.0
6,1,0.09015151515151515,0.0
6,2,0.16287878787878787,0.004545454545454545
6,3,0.19545454545454546,0.010606060606060607
6,4,0.21818181818181817,0.020454545454545454
6,5,0.2356060606060606,0.029545454545454545
7,0,0.13333333333333333,0.0
7,1,0.12272727272727273,0.0
7,2,0.14545454545454545,0.003787878787878788
7,3,0.14924242424242423,0.007575757575757576
7,4,0.16666666666666666,0.01893939393939394
7,5,0.16893939393939394,0.030303030303030304
8,0,0.051515151515151514,0.0
8,1,0.037121212121212124,0.0022727272727272726
8,2,0.0893939393939394,0.0022727272727272726
8,3,0.13333333333333333,0.005303030303030303
8,4,0.11818181818181818,0.00909090909090909
8,5,0.14696969696969697,0.015909090909090907
9,0,0.04393939393939394,0.0
9,1,0.03787878787878788,0.0
9,2,0.024242424242424242,0.0
9,3,0.024242424242424242,0.0
9,4,0.037121212121212124,0.0
9,5,0.05,0.0007575757575757576
10,0,0.007575757575757576,0.0
10,1,0.03484848484848485,0.0
10,2,0.05075757575757576,0.0
10,3,0.059848484848484845,0.0
10,4,0.12424242424242424,0.0022727272727272726
10,5,0.2015151515151515,0.008333333333333333
11,0,0.09393939393939393,0.0
11,1,0.09090909090909091,0.0022727272727272726
11,2,0.12045454545454545,0.003787878787878788
11,3,0.13333333333333333,0.008333333333333333
11,4,0.15151515151515152,0.016666666666666666
11,5,0.1734848484848485,0.025757575757575757
12,0,0.07727272727272727,0.0
12,1,0.11287878787878788,0.0022727272727272726
12,2,0.15,0.005303030303030303
12,3,0.20075757575757575,0.010606060606060607
12,4,0.22424242424242424,0.02196969696969697
12,5,0.21818181818181817,0.031818181818181815
13,0,0.06893939393939394,0.0
13,1,0.0803030303030303,0.0007575757575757576
13,2,0.11515151515151516,0.0030303030303030303
13,3,0.18409090909090908,0.006818181818181818
13,4,0.23257575757575757,0.013636363636363636
13,5,0.2053030303030303,0.024242424242424242
14,0,0.08181818181818182,0.0
14,1,0.08863636363636364,0.0007575757575757576
