replicate,rank,top-1320 model,top-1320 acquired
1,0,0.045454545454545456,0.0
1,1,0.04393939393939394,0.0
1,2,0.058333333333333334,0.0
1,3,0.041666666666666664,0.0
1,4,0.05909090909090909,0.0
1,5,0.0696969696969697,0.0
2,0,0.012878787878787878,0.0
2,1,0.02196969696969697,0.0
2,2,0.013636363636363636,0.0
2,3,0.025757575757575757,0.0
2,4,0.02196969696969697,0.0
2,5,0.07803030303030303,0.0015151515151515152
3,0,0.08636363636363636,0.0
3,1,0.10606060606060606,0.0
3,2,0.1409090909090909,0.0007575757575757576
3,3,0.11287878787878788,0.0015151515151515152
3,4,0.17272727272727273,0.005303030303030303
3,5,0.15378787878787878,0.006818181818181818
4,0,0.03409090909090909,0.0
4,1,0.03106060606060606,0.0
4,2,0.02878787878787879,0.0007575757575757576
4,3,0.058333333333333334,0.0007575757575757576
4,4,0.056818181818181816,0.0007575757575757576
4,5,0.06818181818181818,0.0007575757575757576
5,0,0.10833333333333334,0.0
5,1,0.04772727272727273,0.0
5,2,0.07272727272727272,0.0007575757575757576
5,3,0.06439393939393939,0.0007575757575757576
5,4,0.11893939393939394,0.0015151515151515152
5,5,0.10909090909090909,0.0030303030303030303
6,0,0.06287878787878788,0.0
6,1,0.1340909090909091,0.0
6,2,0.07878787878787878,0.0
6,3,0.22272727272727272,0.0007575757575757576
6,4,0.19242424242424241,0.004545454545454545
6,5,0.2143939393939394,0.004545454545454545
7,0,0.13333333333333333,0.0
7,1,0.12121212121212122,0.0
7,2,0.08257575757575758,0.0
7,3,0.07651515151515151,0.0
7,4,0.12727272727272726,0.0
7,5,0.09015151515151515,0.0
8,0,0.051515151515151514,0.0
8,1,0.07651515151515151,0.0007575757575757576
8,2,0.12424242424242424,0.0007575757575757576
8,3,0.09772727272727273,0.0030303030303030303
8,4,0.11666666666666667,0.003787878787878788
8,5,0.15378787878787878,0.003787878787878788
9,0,0.04393939393939394,0.0
9,1,0.10757575757575757,0.0007575757575757576
9,2,0.09015151515151515,0.0007575757575757576
9,3,0.08712121212121213,0.003787878787878788
9,4,0.06818181818181818,0.005303030303030303
9,5,0.08484848484848485,0.005303030303030303
10,0,0.007575757575757576,0.0
10,1,0.07878787878787878,0.0007575757575757576
10,2,0.06212121212121212,0.0015151515151515152
10,3,0.03636363636363636,0.0022727272727272726
10,4,0.08787878787878788,0.004545454545454545
10,5,0.0893939393939394,0.00909090909090909
