replicate,rank,top-1320 model,top-1320 acquired
1,0,0.045454545454545456,0.0
1,1,0.08712121212121213,0.0
1,2,0.05303030303030303,0.0
1,3,0.0696969696969697,0.0
1,4,0.09848484848484848,0.0
1,5,0.09015151515151515,0.0
2,0,0.012878787878787878,0.0
2,1,0.021212121212121213,0.0
2,2,0.008333333333333333,0.0
2,3,0.016666666666666666,0.0
2,4,0.056818181818181816,0.0007575757575757576
2,5,0.09621212121212121,0.0015151515151515152
3,0,0.08636363636363636,0.0
3,1,0.12954545454545455,0.0
3,2,0.19242424242424241,0.0007575757575757576
3,3,0.1053030303030303,0.0007575757575757576
3,4,0.2106060606060606,0.0030303030303030303
3,5,0.27045454545454545,0.006060606060606061
4,0,0.03409090909090909,0.0
4,1,0.051515151515151514,0.0
4,2,0.04318181818181818,0.0
4,3,0.04696969696969697,0.0
4,4,0.04015151515151515,0.0
4,5,0.04621212121212121,0.0
5,0,0.10833333333333334,0.0
5,1,0.10833333333333334,0.0
5,2,0.019696969696969695,0.0007575757575757576
5,3,0.05454545454545454,0.0007575757575757576
5,4,0.0856060606060606,0.0015151515151515152
5,5,0.12878787878787878,0.0030303030303030303
6,0,0.06287878787878788,0.0
6,1,0.06666666666666667,0.0
6,2,0.030303030303030304,0.0
6,3,0.17803030303030304,0.0
6,4,0.22575757575757577,0.0
6,5,0.16515151515151516,0.0
7,0,0.13333333333333333,0.0
7,1,0.051515151515151514,0.0
7,2,0.08712121212121213,0.0007575757575757576
7,3,0.09621212121212121,0.0007575757575757576
7,4,0.0893939393939394,0.0007575757575757576
7,5,0.1484848484848485,0.0007575757575757576
8,0,0.051515151515151514,0.0
8,1,0.06893939393939394,0.0007575757575757576
8,2,0.04696969696969697,0.0007575757575757576
8,3,0.06212121212121212,0.0007575757575757576
8,4,0.06666666666666667,0.0015151515151515152
8,5,0.1143939393939394,0.004545454545454545
9,0,0.04393939393939394,0.0
9,1,0.05606060606060606,0.0
9,2,0.07272727272727272,0.0
9,3,0.045454545454545456,0.0
9,4,0.10075757575757575,0.0030303030303030303
9,5,0.13787878787878788,0.0030303030303030303
10,0,0.007575757575757576,0.0
10,1,0.07272727272727272,0.0
10,2,0.11136363636363636,0.0015151515151515152
10,3,0.13636363636363635,0.0015151515151515152
10,4,0.14393939393939395,0.0015151515151515152
10,5,0.1318181818181818,0.0022727272727272726
11,0,0.09393939393939393,0.0
11,1,0.10833333333333334,0.0
11,2,0.08787878787878788,0.0
11,3,0.11060606060606061,0.0
11,4,0.09545454545454546,0.0
11,5,0.12272727272727273,0.0
12,0,0.07727272727272727,0.0
12,1,0.07803030303030303,0.0
12,2,0.12651515151515152,0.0
12,3,0.03484848484848485,0.0
12,4,0.05075757575757576,0.0
12,5,0.07575757575757576,0.0
13,0,0.06893939393939394,0.0
13,1,0.02803030303030303,0.0
13,2,0.04015151515151515,0.0
13,3,0.03484848484848485,0.0
13,4,0.2287878787878788,0.0007575757575757576
13,5,0.25681818181818183,0.0030303030303030303
14,0,0.08181818181818182,0.0
14,1,0.05909090909090909,0.0
14,2,0.048484848484848485,0.0
14,3,0.058333333333333334,0.0
14,4,0.059848484848484845,0.0007575757575757576
14,5,0.06439393939393939,0.0007575757575757576
15,0,0.1159090909090909,0.0
15,1,0.125,0.0
15,2,0.12348484848484849,0.0
15,3,0.25075757575757573,0.004545454545454545
15,4,0.16590909090909092,0.004545454545454545
15,5,0.09848484848484848,0.006060606060606061
16,0,0.07121212121212121,0.0
16,1,0.04772727272727273,0.0
16,2,0.1340909090909091,0.0
16,3,0.06439393939393939,0.0
16,4,0.0856060606060606,0.0007575757575757576
16,5,0.12651515151515152,0.0007575757575757576
17,0,0.041666666666666664,0.0
17,1,0.059848484848484845,0.0
17,2,0.09015151515151515,0.0
17,3,0.0659090909090909,0.0
17,4,0.15075757575757576,0.0022727272727272726
17,5,0.11287878787878788,0.0022727272727272726
18,0,0.19924242424242425,0.0
18,1,0.16515151515151516,0.0
18,2,0.1696969696969697,0.0030303030303030303
18,3,0.2106060606060606,0.003787878787878788
18,4,0.23333333333333334,0.003787878787878788
18,5,0.19015151515151515,0.003787878787878788
19,0,0.06893939393939394,0.0
19,1,0.0803030303030303,0.0
19,2,0.06287878787878788,0.0
19,3,0.06212121212121212,0.0
19,4,0.08409090909090909,0.0
19,5,0.10227272727272728,0.0
20,0,0.058333333333333334,0.0
20,1,0.11287878787878788,0.0
20,2,0.09393939393939393,0.0
20,3,0.13257575757575757,0.0
20,4,0.07651515151515151,0.0
20,5,0.07803030303030303,0.0
21,0,0.007575757575757576,0.0
21,1,0.0893939393939394,0.0
21,2,0.0946969696969697,0.0
21,3,0.06439393939393939,0.0
21,4,0.07272727272727272,0.0
21,5,0.11818181818181818,0.0
22,0,0.009848484848484848,0.0
22,1,0.05,0.0
22,2,0.06287878787878788,0.0
22,3,0.055303030303030305,0.0015151515151515152
22,4,0.1946969696969697,0.004545454545454545
22,5,0.23863636363636365,0.00909090909090909
23,0,0.059848484848484845,0.0
23,1,0.0,0.0
23,2,0.035606060606060606,0.0
23,3,0.07045454545454545,0.0
23,4,0.029545454545454545,0.0
23,5,0.0696969696969697,0.0
24,0,0.03106060606060606,0.0
24,1,0.048484848484848485,0.0
24,2,0.06439393939393939,0.0
24,3,0.04696969696969697,0.0
24,4,0.11742424242424243,0.0
24,5,0.16287878787878787,0.0
25,0,0.08333333333333333,0.0
25,1,0.0856060606060606,0.0
25,2,0.09393939393939393,0.0007575757575757576
25,3,0.11515151515151516,0.0007575757575757576
25,4,0.13106060606060607,0.0007575757575757576
25,5,0.1590909090909091,0.0015151515151515152
26,0,0.17803030303030304,0.0007575757575757576
26,1,0.09015151515151515,0.0007575757575757576
26,2,0.11969696969696969,0.0015151515151515152
26,3,0.16893939393939394,0.005303030303030303
26,4,0.12878787878787878,0.005303030303030303
26,5,0.1393939393939394,0.005303030303030303
27,0,0.06742424242424243,0.0
27,1,0.09015151515151515,0.0
27,2,0.10606060606060606,0.0
27,3,0.09318181818181819,0.0
27,4,0.12878787878787878,0.0
27,5,0.19545454545454546,0.0015151515151515152
28,0,0.09166666666666666,0.0
28,1,0.06212121212121212,0.0
28,2,0.07121212121212121,0.0
28,3,0.10833333333333334,0.0
28,4,0.1053030303030303,0.0
28,5,0.0893939393939394,0.0
29,0,0.05,0.0
29,1,0.0696969696969697,0.0
29,2,0.0446969696969697,0.0
29,3,0.09090909090909091,0.0
29,4,0.035606060606060606,0.0
29,5,0.07424242424242425,0.0
30,0,0.09924242424242424,0.0
30,1,0.05454545454545454,0.0
30,2,0.10984848484848485,0.0
30,3,0.08181818181818182,0.0007575757575757576
30,4,0.09318181818181819,0.0007575757575757576
30,5,0.10454545454545454,0.0007575757575757576
