replicate,rank,top-1320 model,top-1320 acquired
1,0,0.24696969696969698,0.0015151515151515152
1,1,0.21893939393939393,0.0030303030303030303
1,2,0.2833333333333333,0.007575757575757576
1,3,0.3037878787878788,0.009848484848484848
1,4,0.2924242424242424,0.016666666666666666
1,5,0.28484848484848485,0.021212121212121213
2,0,0.1340909090909091,0.0007575757575757576
2,1,0.23106060606060605,0.0022727272727272726
2,2,0.2590909090909091,0.004545454545454545
2,3,0.2515151515151515,0.006818181818181818
2,4,0.25757575757575757,0.010606060606060607
2,5,0.29924242424242425,0.015909090909090907
3,0,0.27424242424242423,0.0030303030303030303
3,1,0.25833333333333336,0.010606060606060607
3,2,0.23030303030303031,0.016666666666666666
3,3,0.25606060606060604,0.021212121212121213
3,4,0.2734848484848485,0.025757575757575757
3,5,0.2909090909090909,0.03257575757575758
4,0,0.21136363636363636,0.0007575757575757576
4,1,0.25757575757575757,0.008333333333333333
4,2,0.28939393939393937,0.015151515151515152
4,3,0.27424242424242423,0.020454545454545454
4,4,0.31136363636363634,0.02196969696969697
4,5,0.2909090909090909,0.024242424242424242
5,0,0.2128787878787879,0.0015151515151515152
5,1,0.23863636363636365,0.007575757575757576
5,2,0.24621212121212122,0.013636363636363636
5,3,0.25681818181818183,0.02196969696969697
5,4,0.2871212121212121,0.025757575757575757
5,5,0.29015151515151516,0.030303030303030304
6,0,0.1621212121212121,0.0007575757575757576
6,1,0.19545454545454546,0.005303030303030303
6,2,0.20454545454545456,0.00909090909090909
6,3,0.22196969696969698,0.014393939393939395
6,4,0.2636363636363636,0.020454545454545454
6,5,0.2727272727272727,0.025757575757575757
7,0,0.15454545454545454,0.0
7,1,0.23257575757575757,0.0
7,2,0.2515151515151515,0.003787878787878788
7,3,0.2689393939393939,0.007575757575757576
7,4,0.27045454545454545,0.012878787878787878
7,5,0.3037878787878788,0.015151515151515152
8,0,0.2356060606060606,0.0007575757575757576
8,1,0.2545454545454545,0.005303030303030303
8,2,0.2356060606060606,0.011363636363636364
8,3,0.25227272727272726,0.016666666666666666
8,4,0.29848484848484846,0.023484848484848483
8,5,0.296969696969697,0.02727272727272727
9,0,0.2128787878787879,0.0007575757575757576
9,1,0.2772727272727273,0.006060606060606061
9,2,0.2840909090909091,0.013636363636363636
9,3,0.29318181818181815,0.019696969696969695
9,4,0.2946969696969697,0.025
9,5,0.3371212121212121,0.03106060606060606
10,0,0.1856060606060606,0.0015151515151515152
10,1,0.16363636363636364,0.003787878787878788
10,2,0.18636363636363637,0.006060606060606061
10,3,0.2196969696969697,0.008333333333333333
10,4,0.2340909090909091,0.012121212121212121
10,5,0.24621212121212122,0.014393939393939395
11,0,0.25227272727272726,0.0015151515151515152
11,1,0.23712121212121212,0.006818181818181818
11,2,0.26515151515151514,0.015151515151515152
11,3,0.3159090909090909,0.019696969696969695
11,4,0.32651515151515154,0.026515151515151516
11,5,0.3446969696969697,0.03409090909090909
