replicate,rank,top-1320 model,top-1320 acquired
1,0,0.03484848484848485,0.0
1,1,0.01893939393939394,0.0015151515151515152
1,2,0.01893939393939394,0.004545454545454545
1,3,0.11060606060606061,0.005303030303030303
1,4,0.1590909090909091,0.007575757575757576
1,5,0.14696969696969697,0.014393939393939395
2,0,0.006818181818181818,0.0
2,1,0.03257575757575758,0.0
2,2,0.041666666666666664,0.0007575757575757576
2,3,0.04015151515151515,0.0007575757575757576
2,4,0.04090909090909091,0.0022727272727272726
2,5,0.05378787878787879,0.006060606060606061
3,0,0.03257575757575758,0.0
3,1,0.037121212121212124,0.0015151515151515152
3,2,0.038636363636363635,0.0015151515151515152
3,3,0.02878787878787879,0.004545454545454545
3,4,0.07196969696969698,0.005303030303030303
3,5,0.07878787878787878,0.008333333333333333
4,0,0.06818181818181818,0.0
4,1,0.06515151515151515,0.0
4,2,0.10984848484848485,0.0
4,3,0.12348484848484849,0.0030303030303030303
4,4,0.1803030303030303,0.007575757575757576
4,5,0.2636363636363636,0.011363636363636364
5,0,0.03787878787878788,0.0
5,1,0.020454545454545454,0.0015151515151515152
5,2,0.04015151515151515,0.0030303030303030303
5,3,0.10151515151515152,0.006060606060606061
5,4,0.09696969696969697,0.00909090909090909
5,5,0.1053030303030303,0.010606060606060607
6,0,0.06515151515151515,0.0
6,1,0.03484848484848485,0.0007575757575757576
6,2,0.12878787878787878,0.0007575757575757576
6,3,0.13636363636363635,0.003787878787878788
6,4,0.13257575757575757,0.007575757575757576
6,5,0.1856060606060606,0.010606060606060607
7,0,0.07878787878787878,0.0
7,1,0.25075757575757573,0.0022727272727272726
7,2,0.2553030303030303,0.014393939393939395
7,3,0.25075757575757573,0.025757575757575757
7,4,0.2265151515151515,0.03257575757575758
7,5,0.24242424242424243,0.04242424242424243
8,0,0.030303030303030304,0.0
8,1,0.04242424242424243,0.0015151515151515152
8,2,0.04242424242424243,0.0030303030303030303
8,3,0.06212121212121212,0.004545454545454545
8,4,0.07954545454545454,0.008333333333333333
8,5,0.10378787878787879,0.015909090909090907
9,0,0.038636363636363635,0.0
9,1,0.07121212121212121,0.0007575757575757576
9,2,0.04696969696969697,0.0030303030303030303
