replicate,rank,top-1320 model,top-1320 acquired
1,0,0.038636363636363635,0.0
1,1,0.05909090909090909,0.0015151515151515152
1,2,0.07272727272727272,0.003787878787878788
1,3,0.12348484848484849,0.007575757575757576
1,4,0.12424242424242424,0.013636363636363636
1,5,0.14924242424242423,0.017424242424242425
2,0,0.00909090909090909,0.0
2,1,0.025,0.0
2,2,0.048484848484848485,0.0007575757575757576
2,3,0.051515151515151514,0.0022727272727272726
2,4,0.07196969696969698,0.004545454545454545
2,5,0.07878787878787878,0.007575757575757576
3,0,0.07954545454545454,0.0
3,1,0.08787878787878788,0.0
3,2,0.1431818181818182,0.0022727272727272726
3,3,0.07272727272727272,0.008333333333333333
3,4,0.14924242424242423,0.010606060606060607
3,5,0.1318181818181818,0.012878787878787878
4,0,0.03333333333333333,0.0
4,1,0.08409090909090909,0.0007575757575757576
4,2,0.06742424242424243,0.0015151515151515152
4,3,0.0803030303030303,0.005303030303030303
4,4,0.08863636363636364,0.008333333333333333
4,5,0.08333333333333333,0.010606060606060607
5,0,0.10909090909090909,0.0
5,1,0.09772727272727273,0.0030303030303030303
5,2,0.07878787878787878,0.012878787878787878
5,3,0.0659090909090909,0.017424242424242425
5,4,0.11212121212121212,0.01893939393939394
5,5,0.1303030303030303,0.023484848484848483
6,0,0.0696969696969697,0.0
6,1,0.04090909090909091,0.0
6,2,0.06515151515151515,0.0
6,3,0.10378787878787879,0.0007575757575757576
6,4,0.1,0.007575757575757576
6,5,0.08712121212121213,0.013636363636363636
7,0,0.125,0.0
7,1,0.12878787878787878,0.0
7,2,0.1340909090909091,0.0022727272727272726
7,3,0.13787878787878788,0.003787878787878788
7,4,0.11969696969696969,0.011363636363636364
7,5,0.11666666666666667,0.016666666666666666
8,0,0.04924242424242424,0.0
8,1,0.06212121212121212,0.0022727272727272726
8,2,0.04696969696969697,0.005303030303030303
8,3,0.08484848484848485,0.005303030303030303
8,4,0.09924242424242424,0.008333333333333333
8,5,0.09318181818181819,0.012878787878787878
9,0,0.04924242424242424,0.0
9,1,0.07121212121212121,0.0
9,2,0.04015151515151515,0.0
9,3,0.08257575757575758,0.0015151515151515152
9,4,0.11742424242424243,0.004545454545454545
9,5,0.14242424242424243,0.012878787878787878
10,0,0.012121212121212121,0.0
10,1,0.023484848484848483,0.0
10,2,0.037121212121212124,0.0
10,3,0.08181818181818182,0.006818181818181818
10,4,0.09318181818181819,0.009848484848484848
10,5,0.15378787878787878,0.013636363636363636
