replicate,rank,top-1320 model,top-1320 acquired
1,0,0.015151515151515152,0.0
1,1,0.015151515151515152,0.0
1,2,0.07575757575757576,0.0
1,3,0.07348484848484849,0.0
1,4,0.08863636363636364,0.0007575757575757576
1,5,0.08409090909090909,0.004545454545454545
2,0,0.015151515151515152,0.0
2,1,0.015151515151515152,0.0
2,2,0.06818181818181818,0.0
2,3,0.058333333333333334,0.0
2,4,0.11363636363636363,0.0
2,5,0.12727272727272726,0.004545454545454545
3,0,0.015151515151515152,0.0
3,1,0.015151515151515152,0.0
3,2,0.055303030303030305,0.0
3,3,0.06893939393939394,0.0015151515151515152
3,4,0.08787878787878788,0.0030303030303030303
3,5,0.09242424242424242,0.006060606060606061
4,0,0.015151515151515152,0.0
4,1,0.015151515151515152,0.0
4,2,0.07348484848484849,0.0
4,3,0.07121212121212121,0.0
4,4,0.14924242424242423,0.0007575757575757576
4,5,0.17803030303030304,0.008333333333333333
5,0,0.015151515151515152,0.0
5,1,0.015151515151515152,0.0
5,2,0.07045454545454545,0.0
5,3,0.04772727272727273,0.0
5,4,0.07121212121212121,0.0007575757575757576
5,5,0.09393939393939393,0.0022727272727272726
6,0,0.015151515151515152,0.0
6,1,0.015151515151515152,0.0
6,2,0.05303030303030303,0.0
6,3,0.07424242424242425,0.0
6,4,0.07424242424242425,0.0015151515151515152
6,5,0.11969696969696969,0.004545454545454545
7,0,0.015151515151515152,0.0
7,1,0.015151515151515152,0.0
7,2,0.05909090909090909,0.0
7,3,0.07651515151515151,0.0007575757575757576
7,4,0.04924242424242424,0.006060606060606061
7,5,0.11363636363636363,0.008333333333333333
8,0,0.015151515151515152,0.0
8,1,0.015151515151515152,0.0
8,2,0.0696969696969697,0.0
8,3,0.07045454545454545,0.0
8,4,0.0893939393939394,0.003787878787878788
8,5,0.0856060606060606,0.005303030303030303
9,0,0.015151515151515152,0.0
9,1,0.015151515151515152,0.0
9,2,0.03636363636363636,0.0
9,3,0.038636363636363635,0.0
9,4,0.06515151515151515,0.0015151515151515152
9,5,0.075,0.0030303030303030303
10,0,0.015151515151515152,0.0
10,1,0.015151515151515152,0.0
10,2,0.07272727272727272,0.0
10,3,0.0893939393939394,0.0022727272727272726
10,4,0.07272727272727272,0.003787878787878788
10,5,0.09318181818181819,0.005303030303030303
11,0,0.015151515151515152,0.0
11,1,0.015151515151515152,0.0
11,2,0.059848484848484845,0.0
11,3,0.11742424242424243,0.0
11,4,0.07878787878787878,0.0022727272727272726
11,5,0.11818181818181818,0.0030303030303030303
12,0,0.015151515151515152,0.0
12,1,0.015151515151515152,0.0
12,2,0.06136363636363636,0.0
12,3,0.05303030303030303,0.0015151515151515152
12,4,0.06136363636363636,0.0030303030303030303
12,5,0.1053030303030303,0.003787878787878788
13,0,0.015151515151515152,0.0
13,1,0.015151515151515152,0.0
13,2,0.041666666666666664,0.0
13,3,0.03409090909090909,0.0
13,4,0.075,0.0007575757575757576
13,5,0.125,0.0030303030303030303
14,0,0.015151515151515152,0.0
14,1,0.015151515151515152,0.0
14,2,0.04090909090909091,0.0
14,3,0.05303030303030303,0.0
14,4,0.06818181818181818,0.0022727272727272726
14,5,0.09772727272727273,0.005303030303030303
15,0,0.015151515151515152,0.0
15,1,0.015151515151515152,0.0
15,2,0.05378787878787879,0.0
15,3,0.09090909090909091,0.0
15,4,0.09924242424242424,0.0015151515151515152
15,5,0.12575757575757576,0.008333333333333333
16,0,0.015151515151515152,0.0
16,1,0.015151515151515152,0.0
16,2,0.04772727272727273,0.0
16,3,0.04318181818181818,0.0
16,4,0.048484848484848485,0.0007575757575757576
16,5,0.09621212121212121,0.0022727272727272726
17,0,0.015151515151515152,0.0
17,1,0.015151515151515152,0.0
17,2,0.055303030303030305,0.0
17,3,0.04393939393939394,0.0007575757575757576
17,4,0.07575757575757576,0.0015151515151515152
17,5,0.11515151515151516,0.003787878787878788
18,0,0.015151515151515152,0.0
18,1,0.015151515151515152,0.0
18,2,0.07727272727272727,0.0
18,3,0.04924242424242424,0.003787878787878788
18,4,0.09015151515151515,0.005303030303030303
18,5,0.11893939393939394,0.008333333333333333
19,0,0.015151515151515152,0.0
19,1,0.015151515151515152,0.0
19,2,0.06439393939393939,0.0
19,3,0.08409090909090909,0.0007575757575757576
19,4,0.08484848484848485,0.0022727272727272726
19,5,0.09772727272727273,0.005303030303030303
20,0,0.015151515151515152,0.0
20,1,0.015151515151515152,0.0
20,2,0.05303030303030303,0.0
20,3,0.045454545454545456,0.0007575757575757576
20,4,0.05757575757575758,0.0007575757575757576
20,5,0.075,0.003787878787878788
21,0,0.015151515151515152,0.0
21,1,0.015151515151515152,0.0
21,2,0.058333333333333334,0.0
21,3,0.0946969696969697,0.0030303030303030303
21,4,0.10757575757575757,0.005303030303030303
21,5,0.0893939393939394,0.009848484848484848
22,0,0.015151515151515152,0.0
22,1,0.015151515151515152,0.0
22,2,0.031818181818181815,0.0
22,3,0.029545454545454545,0.0007575757575757576
22,4,0.06439393939393939,0.0007575757575757576
22,5,0.07954545454545454,0.0030303030303030303
23,0,0.015151515151515152,0.0
23,1,0.015151515151515152,0.0
23,2,0.03106060606060606,0.0
23,3,0.04696969696969697,0.0
23,4,0.05909090909090909,0.0
23,5,0.09393939393939393,0.0015151515151515152
24,0,0.015151515151515152,0.0
24,1,0.015151515151515152,0.0
24,2,0.04242424242424243,0.0
24,3,0.05227272727272727,0.0
24,4,0.06893939393939394,0.0
24,5,0.07424242424242425,0.003787878787878788
25,0,0.015151515151515152,0.0
25,1,0.015151515151515152,0.0
25,2,0.06287878787878788,0.0
25,3,0.02727272727272727,0.0
25,4,0.058333333333333334,0.0
25,5,0.18787878787878787,0.004545454545454545
26,0,0.015151515151515152,0.0007575757575757576
26,1,0.015151515151515152,0.0007575757575757576
26,2,0.03484848484848485,0.0007575757575757576
26,3,0.04318181818181818,0.0015151515151515152
26,4,0.05227272727272727,0.0015151515151515152
26,5,0.04621212121212121,0.0030303030303030303
27,0,0.015151515151515152,0.0
27,1,0.015151515151515152,0.0
27,2,0.048484848484848485,0.0
27,3,0.075,0.0007575757575757576
27,4,0.05303030303030303,0.0015151515151515152
27,5,0.07348484848484849,0.0030303030303030303
28,0,0.015151515151515152,0.0
28,1,0.015151515151515152,0.0
28,2,0.05378787878787879,0.0
