replicate,rank,top-1320 model,top-1320 acquired
1,0,0.10909090909090909,0.0
1,1,0.075,0.0022727272727272726
1,2,0.11818181818181818,0.0022727272727272726
1,3,0.17424242424242425,0.005303030303030303
1,4,0.05454545454545454,0.011363636363636364
1,5,0.05909090909090909,0.012121212121212121
2,0,0.0856060606060606,0.0
2,1,0.05909090909090909,0.0015151515151515152
2,2,0.06060606060606061,0.0015151515151515152
2,3,0.15303030303030302,0.0015151515151515152
2,4,0.14924242424242423,0.0030303030303030303
2,5,0.14469696969696969,0.00909090909090909
3,0,0.059848484848484845,0.0
3,1,0.15151515151515152,0.0007575757575757576
3,2,0.17045454545454544,0.006060606060606061
3,3,0.11136363636363636,0.00909090909090909
3,4,0.07272727272727272,0.011363636363636364
3,5,0.10757575757575757,0.012121212121212121
4,0,0.06818181818181818,0.0
4,1,0.07424242424242425,0.0
4,2,0.06893939393939394,0.0007575757575757576
4,3,0.05909090909090909,0.0007575757575757576
4,4,0.045454545454545456,0.0007575757575757576
4,5,0.06363636363636363,0.0007575757575757576
5,0,0.07727272727272727,0.0
5,1,0.07272727272727272,0.0
5,2,0.08106060606060606,0.0007575757575757576
5,3,0.20075757575757575,0.0007575757575757576
5,4,0.06742424242424243,0.006060606060606061
5,5,0.16818181818181818,0.006060606060606061
6,0,0.045454545454545456,0.0
6,1,0.06287878787878788,0.0007575757575757576
6,2,0.11060606060606061,0.0015151515151515152
6,3,0.13560606060606062,0.006060606060606061
6,4,0.10984848484848485,0.009848484848484848
6,5,0.16136363636363638,0.010606060606060607
7,0,0.07803030303030303,0.0
7,1,0.06212121212121212,0.0
7,2,0.03636363636363636,0.0015151515151515152
7,3,0.1143939393939394,0.0015151515151515152
7,4,0.06287878787878788,0.004545454545454545
7,5,0.10303030303030303,0.004545454545454545
8,0,0.06666666666666667,0.0
8,1,0.07272727272727272,0.0
8,2,0.15075757575757576,0.0
8,3,0.175,0.006060606060606061
8,4,0.1712121212121212,0.010606060606060607
8,5,0.14696969696969697,0.012878787878787878
9,0,0.11136363636363636,0.0
9,1,0.048484848484848485,0.0
9,2,0.04242424242424243,0.0
9,3,0.14696969696969697,0.0007575757575757576
9,4,0.04924242424242424,0.003787878787878788
9,5,0.17196969696969697,0.005303030303030303
10,0,0.08106060606060606,0.0
10,1,0.12424242424242424,0.0007575757575757576
10,2,0.14393939393939395,0.0015151515151515152
10,3,0.1712121212121212,0.010606060606060607
10,4,0.11136363636363636,0.016666666666666666
10,5,0.07651515151515151,0.017424242424242425
11,0,0.10681818181818181,0.0
11,1,0.06060606060606061,0.0015151515151515152
11,2,0.03787878787878788,0.0015151515151515152
11,3,0.09166666666666666,0.0015151515151515152
11,4,0.08863636363636364,0.0030303030303030303
11,5,0.14166666666666666,0.003787878787878788
12,0,0.09393939393939393,0.0
12,1,0.04318181818181818,0.0007575757575757576
12,2,0.1143939393939394,0.0015151515151515152
12,3,0.07651515151515151,0.0022727272727272726
12,4,0.14545454545454545,0.0022727272727272726
12,5,0.20833333333333334,0.004545454545454545
13,0,0.08636363636363636,0.0
13,1,0.10075757575757575,0.0
13,2,0.15378787878787878,0.0007575757575757576
13,3,0.08106060606060606,0.0030303030303030303
13,4,0.09924242424242424,0.003787878787878788
13,5,0.2287878787878788,0.004545454545454545
14,0,0.037121212121212124,0.0
14,1,0.07954545454545454,0.0
14,2,0.10833333333333334,0.0022727272727272726
14,3,0.07954545454545454,0.006818181818181818
14,4,0.13333333333333333,0.006818181818181818
14,5,0.14015151515151514,0.00909090909090909
15,0,0.08863636363636364,0.0
15,1,0.075,0.0007575757575757576
15,2,0.10303030303030303,0.0022727272727272726
15,3,0.1606060606060606,0.0030303030303030303
15,4,0.030303030303030304,0.009848484848484848
15,5,0.07121212121212121,0.009848484848484848
16,0,0.06439393939393939,0.0
16,1,0.18863636363636363,0.0007575757575757576
16,2,0.11666666666666667,0.010606060606060607
16,3,0.08787878787878788,0.011363636363636364
16,4,0.16742424242424242,0.011363636363636364
16,5,0.16818181818181818,0.015151515151515152
17,0,0.1712121212121212,0.0
17,1,0.0946969696969697,0.005303030303030303
17,2,0.09848484848484848,0.006060606060606061
17,3,0.11212121212121212,0.006060606060606061
17,4,0.11818181818181818,0.006060606060606061
17,5,0.06666666666666667,0.007575757575757576
18,0,0.021212121212121213,0.0
18,1,0.16742424242424242,0.0
18,2,0.10378787878787879,0.0
18,3,0.12575757575757576,0.0015151515151515152
18,4,0.15303030303030302,0.006060606060606061
18,5,0.1621212121212121,0.009848484848484848
19,0,0.07803030303030303,0.0
19,1,0.055303030303030305,0.0
19,2,0.0446969696969697,0.0007575757575757576
19,3,0.035606060606060606,0.0007575757575757576
19,4,0.07575757575757576,0.0007575757575757576
19,5,0.05454545454545454,0.0015151515151515152
20,0,0.1318181818181818,0.0
20,1,0.048484848484848485,0.0
20,2,0.06666666666666667,0.0
20,3,0.13787878787878788,0.0
20,4,0.18333333333333332,0.0015151515151515152
20,5,0.08787878787878788,0.003787878787878788
21,0,0.08409090909090909,0.0
21,1,0.09848484848484848,0.0
21,2,0.05378787878787879,0.0007575757575757576
21,3,0.11212121212121212,0.0022727272727272726
21,4,0.058333333333333334,0.004545454545454545
21,5,0.12424242424242424,0.004545454545454545
22,0,0.05378787878787879,0.0
22,1,0.015909090909090907,0.0007575757575757576
22,2,0.07954545454545454,0.0007575757575757576
22,3,0.1143939393939394,0.0022727272727272726
22,4,0.15757575757575756,0.0022727272727272726
22,5,0.19696969696969696,0.005303030303030303
23,0,0.16287878787878787,0.0
23,1,0.09924242424242424,0.0007575757575757576
23,2,0.10681818181818181,0.0022727272727272726
23,3,0.14166666666666666,0.004545454545454545
23,4,0.11212121212121212,0.005303030303030303
23,5,0.15454545454545454,0.005303030303030303
24,0,0.059848484848484845,0.0
24,1,0.12954545454545455,0.0
24,2,0.031818181818181815,0.003787878787878788
24,3,0.10378787878787879,0.003787878787878788
24,4,0.08409090909090909,0.005303030303030303
24,5,0.10833333333333334,0.005303030303030303
25,0,0.03333333333333333,0.0
25,1,0.075,0.0
25,2,0.09848484848484848,0.0022727272727272726
25,3,0.16666666666666666,0.0030303030303030303
25,4,0.16287878787878787,0.008333333333333333
25,5,0.13333333333333333,0.00909090909090909
26,0,0.09545454545454546,0.0007575757575757576
