replicate,rank,top-1320 model,top-1320 acquired
1,0,0.0,0.0
1,1,0.0,0.0
1,2,0.10757575757575757,0.0
1,3,0.0,0.0022727272727272726
1,4,0.10833333333333334,0.0022727272727272726
1,5,0.10757575757575757,0.0022727272727272726
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.10757575757575757,0.0
2,3,0.0,0.0022727272727272726
2,4,0.0,0.0022727272727272726
2,5,0.0,0.0022727272727272726
3,0,0.10833333333333334,0.0
3,1,0.0,0.0022727272727272726
3,2,0.10833333333333334,0.0022727272727272726
3,3,0.0,0.0022727272727272726
3,4,0.0,0.0022727272727272726
3,5,0.0,0.0022727272727272726
4,0,0.10833333333333334,0.0
4,1,0.10757575757575757,0.0022727272727272726
4,2,0.10833333333333334,0.0022727272727272726
4,3,0.10833333333333334,0.003787878787878788
4,4,0.0,0.004545454545454545
4,5,0.0,0.004545454545454545
5,0,0.10833333333333334,0.0
5,1,0.0,0.0022727272727272726
5,2,0.0,0.0022727272727272726
5,3,0.0,0.0022727272727272726
5,4,0.0,0.0022727272727272726
5,5,0.10833333333333334,0.0022727272727272726
6,0,0.10833333333333334,0.0
6,1,0.10757575757575757,0.0022727272727272726
6,2,0.10833333333333334,0.0022727272727272726
6,3,0.0,0.003787878787878788
6,4,0.0,0.003787878787878788
6,5,0.10757575757575757,0.003787878787878788
7,0,0.0,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.10833333333333334,0.0
7,5,0.0,0.0022727272727272726
8,0,0.10833333333333334,0.0
8,1,0.0,0.0022727272727272726
8,2,0.0,0.0022727272727272726
8,3,0.10833333333333334,0.0022727272727272726
8,4,0.10757575757575757,0.0022727272727272726
8,5,0.0,0.003787878787878788
9,0,0.10833333333333334,0.0
9,1,0.10984848484848485,0.0022727272727272726
9,2,0.0,0.0022727272727272726
9,3,0.0,0.0022727272727272726
9,4,0.10833333333333334,0.0022727272727272726
9,5,0.0,0.003787878787878788
10,0,0.10757575757575757,0.0
10,1,0.10757575757575757,0.0022727272727272726
10,2,0.0,0.0022727272727272726
10,3,0.0,0.0022727272727272726
10,4,0.10833333333333334,0.0022727272727272726
10,5,0.10757575757575757,0.003787878787878788
11,0,0.0,0.0
11,1,0.10454545454545454,0.0
11,2,0.0,0.0022727272727272726
11,3,0.0,0.0022727272727272726
11,4,0.10833333333333334,0.0022727272727272726
11,5,0.0,0.003787878787878788
12,0,0.0,0.0
12,1,0.0,0.0
12,2,0.0,0.0
12,3,0.0,0.0
12,4,0.10757575757575757,0.0
12,5,0.0,0.0022727272727272726
13,0,0.0,0.0
13,1,0.0,0.0
13,2,0.10757575757575757,0.0
13,3,0.10757575757575757,0.0022727272727272726
13,4,0.0,0.0022727272727272726
13,5,0.10833333333333334,0.0022727272727272726
14,0,0.10757575757575757,0.0
14,1,0.10833333333333334,0.0022727272727272726
14,2,0.0,0.0022727272727272726
14,3,0.10833333333333334,0.0022727272727272726
14,4,0.10833333333333334,0.003787878787878788
14,5,0.0,0.004545454545454545
15,0,0.0,0.0
15,1,0.0,0.0
15,2,0.0,0.0
15,3,0.10833333333333334,0.0
15,4,0.10833333333333334,0.0022727272727272726
15,5,0.0,0.0022727272727272726
16,0,0.0,0.0
16,1,0.10833333333333334,0.0
16,2,0.10757575757575757,0.0022727272727272726
16,3,0.10833333333333334,0.0022727272727272726
16,4,0.0,0.003787878787878788
16,5,0.10833333333333334,0.003787878787878788
17,0,0.0,0.0
17,1,0.0022727272727272726,0.0
17,2,0.10757575757575757,0.0
17,3,0.10833333333333334,0.0022727272727272726
17,4,0.10757575757575757,0.0022727272727272726
17,5,0.10833333333333334,0.003787878787878788
18,0,0.10833333333333334,0.0
18,1,0.10757575757575757,0.0022727272727272726
18,2,0.02196969696969697,0.0022727272727272726
18,3,0.0,0.0030303030303030303
18,4,0.10757575757575757,0.0030303030303030303
18,5,0.10833333333333334,0.004545454545454545
19,0,0.10757575757575757,0.0
19,1,0.0022727272727272726,0.0022727272727272726
19,2,0.0,0.0022727272727272726
19,3,0.0,0.0022727272727272726
19,4,0.10757575757575757,0.0022727272727272726
19,5,0.10757575757575757,0.0022727272727272726
20,0,0.0,0.0
20,1,0.0,0.0
20,2,0.10757575757575757,0.0
20,3,0.0,0.0022727272727272726
20,4,0.10757575757575757,0.0022727272727272726
20,5,0.0,0.0022727272727272726
21,0,0.0,0.0
21,1,0.10757575757575757,0.0
21,2,0.0015151515151515152,0.0022727272727272726
21,3,0.10833333333333334,0.0022727272727272726
21,4,0.10757575757575757,0.0022727272727272726
21,5,0.10833333333333334,0.003787878787878788
22,0,0.10833333333333334,0.0
