replicate,rank,top-1320 model,top-1320 acquired
1,0,0.03409090909090909,0.0
1,1,0.026515151515151516,0.0007575757575757576
1,2,0.04242424242424243,0.0007575757575757576
1,3,0.038636363636363635,0.0015151515151515152
1,4,0.08712121212121213,0.005303030303030303
1,5,0.1053030303030303,0.009848484848484848
2,0,0.016666666666666666,0.0
2,1,0.02196969696969697,0.0007575757575757576
2,2,0.02727272727272727,0.0007575757575757576
2,3,0.02196969696969697,0.0007575757575757576
2,4,0.04242424242424243,0.0007575757575757576
2,5,0.048484848484848485,0.0022727272727272726
3,0,0.03333333333333333,0.0
3,1,0.03333333333333333,0.0015151515151515152
3,2,0.020454545454545454,0.0015151515151515152
3,3,0.01893939393939394,0.0015151515151515152
3,4,0.07348484848484849,0.0015151515151515152
3,5,0.04242424242424243,0.0015151515151515152
4,0,0.013636363636363636,0.0
4,1,0.06060606060606061,0.0
4,2,0.13863636363636364,0.0022727272727272726
4,3,0.11893939393939394,0.009848484848484848
4,4,0.13560606060606062,0.012121212121212121
4,5,0.1553030303030303,0.017424242424242425
5,0,0.04090909090909091,0.0
5,1,0.04393939393939394,0.0007575757575757576
5,2,0.05757575757575758,0.0015151515151515152
5,3,0.07045454545454545,0.003787878787878788
5,4,0.12045454545454545,0.007575757575757576
5,5,0.11136363636363636,0.014393939393939395
6,0,0.029545454545454545,0.0
6,1,0.020454545454545454,0.0
6,2,0.03257575757575758,0.0015151515151515152
6,3,0.02878787878787879,0.0015151515151515152
6,4,0.03106060606060606,0.004545454545454545
6,5,0.04393939393939394,0.004545454545454545
7,0,0.04696969696969697,0.0
7,1,0.015151515151515152,0.0007575757575757576
7,2,0.014393939393939395,0.0007575757575757576
7,3,0.017424242424242425,0.0007575757575757576
7,4,0.012121212121212121,0.0007575757575757576
7,5,0.013636363636363636,0.0015151515151515152
8,0,0.021212121212121213,0.0
8,1,0.023484848484848483,0.0007575757575757576
8,2,0.010606060606060607,0.0007575757575757576
8,3,0.019696969696969695,0.0007575757575757576
8,4,0.02878787878787879,0.0007575757575757576
8,5,0.03636363636363636,0.0022727272727272726
9,0,0.026515151515151516,0.0
9,1,0.03257575757575758,0.0
9,2,0.024242424242424242,0.0
9,3,0.048484848484848485,0.0015151515151515152
9,4,0.05227272727272727,0.0022727272727272726
9,5,0.05378787878787879,0.0022727272727272726
10,0,0.0030303030303030303,0.0
10,1,0.03939393939393939,0.0
10,2,0.07348484848484849,0.0022727272727272726
10,3,0.10909090909090909,0.003787878787878788
10,4,0.12424242424242424,0.012121212121212121
10,5,0.17803030303030304,0.023484848484848483
11,0,0.048484848484848485,0.0
11,1,0.02878787878787879,0.0015151515151515152
11,2,0.05075757575757576,0.0022727272727272726
11,3,0.03939393939393939,0.005303030303030303
11,4,0.04318181818181818,0.006060606060606061
11,5,0.05303030303030303,0.007575757575757576
12,0,0.09393939393939393,0.0
12,1,0.06439393939393939,0.0007575757575757576
12,2,0.14242424242424243,0.003787878787878788
12,3,0.17272727272727273,0.006818181818181818
12,4,0.17424242424242425,0.008333333333333333
12,5,0.2,0.01818181818181818
13,0,0.0856060606060606,0.0
13,1,0.10833333333333334,0.0022727272727272726
13,2,0.1143939393939394,0.006818181818181818
