replicate,rank,top-100 model,top-100 acquired
1,0,0.13,0.02
1,1,0.14,0.07
1,2,0.22,0.1
1,3,0.26,0.15
1,4,0.29,0.18
1,5,0.27,0.24
2,0,0.14,0.02
2,1,0.06,0.06
2,2,0.15,0.06
2,3,0.13,0.07
2,4,0.19,0.08
2,5,0.26,0.14
3,0,0.01,0.01
3,1,0.15,0.01
3,2,0.21,0.07
3,3,0.21,0.1
3,4,0.23,0.14
3,5,0.24,0.19
4,0,0.19,0.01
4,1,0.21,0.09
4,2,0.17,0.11
4,3,0.23,0.12
4,4,0.28,0.16
4,5,0.27,0.2
5,0,0.07,0.0
5,1,0.17,0.01
5,2,0.15,0.04
5,3,0.17,0.06
5,4,0.21,0.12
5,5,0.25,0.17
6,0,0.21,0.02
6,1,0.28,0.09
6,2,0.26,0.14
6,3,0.22,0.16
6,4,0.29,0.2
6,5,0.35,0.24
7,0,0.04,0.0
7,1,0.19,0.01
7,2,0.32,0.09
7,3,0.26,0.16
7,4,0.24,0.19
7,5,0.28,0.23
8,0,0.15,0.01
8,1,0.09,0.03
8,2,0.23,0.08
8,3,0.18,0.14
8,4,0.29,0.18
8,5,0.3,0.21
9,0,0.2,0.03
9,1,0.21,0.09
9,2,0.17,0.12
9,3,0.27,0.15
9,4,0.24,0.22
9,5,0.34,0.24
10,0,0.02,0.01
10,1,0.09,0.01
10,2,0.19,0.04
10,3,0.22,0.09
10,4,0.26,0.13
10,5,0.22,0.17
11,0,0.17,0.01
11,1,0.13,0.05
11,2,0.1,0.08
11,3,0.22,0.09
11,4,0.18,0.12
11,5,0.22,0.17
12,0,0.21,0.01
12,1,0.15,0.08
12,2,0.2,0.12
12,3,0.23,0.17
12,4,0.25,0.2
12,5,0.23,0.22
13,0,0.21,0.01
13,1,0.28,0.08
13,2,0.2,0.1
13,3,0.21,0.13
13,4,0.17,0.15
13,5,0.2,0.17
14,0,0.14,0.01
14,1,0.21,0.04
14,2,0.24,0.12
14,3,0.24,0.16
14,4,0.26,0.21
14,5,0.27,0.23
15,0,0.01,0.0
15,1,0.06,0.0
15,2,0.02,0.0
15,3,0.05,0.02
15,4,0.06,0.03
15,5,0.13,0.04
16,0,0.2,0.01
16,1,0.17,0.05
16,2,0.16,0.1
16,3,0.25,0.12
16,4,0.26,0.2
16,5,0.32,0.24
17,0,0.05,0.02
17,1,0.2,0.03
17,2,0.21,0.09
17,3,0.22,0.13
17,4,0.27,0.17
17,5,0.27,0.24
18,0,0.18,0.02
18,1,0.22,0.1
18,2,0.27,0.14
18,3,0.28,0.18
18,4,0.27,0.24
18,5,0.31,0.25
19,0,0.26,0.01
19,1,0.26,0.06
19,2,0.18,0.12
19,3,0.28,0.15
19,4,0.25,0.18
19,5,0.3,0.22
20,0,0.1,0.01
20,1,0.04,0.01
20,2,0.05,0.02
20,3,0.13,0.02
20,4,0.24,0.09
20,5,0.27,0.16
21,0,0.12,0.02
21,1,0.16,0.04
21,2,0.18,0.1
21,3,0.23,0.16
21,4,0.25,0.16
21,5,0.24,0.18
22,0,0.08,0.0
22,1,0.12,0.01
22,2,0.21,0.05
22,3,0.24,0.11
22,4,0.26,0.14
22,5,0.24,0.21
23,0,0.11,0.01
23,1,0.22,0.04
23,2,0.19,0.09
23,3,0.14,0.09
23,4,0.14,0.1
23,5,0.14,0.1
24,0,0.02,0.01
24,1,0.12,0.01
24,2,0.22,0.03
24,3,0.2,0.09
24,4,0.25,0.13
24,5,0.28,0.2
25,0,0.17,0.0
25,1,0.14,0.01
25,2,0.22,0.04
25,3,0.22,0.1
25,4,0.25,0.16
25,5,0.22,0.18
26,0,0.11,0.02
26,1,0.2,0.05
26,2,0.23,0.07
26,3,0.16,0.14
26,4,0.23,0.19
26,5,0.27,0.2
27,0,0.24,0.01
27,1,0.17,0.08
27,2,0.25,0.13
27,3,0.26,0.17
27,4,0.27,0.21
27,5,0.32,0.24
28,0,0.17,0.01
28,1,0.22,0.04
28,2,0.21,0.07
28,3,0.22,0.09
28,4,0.29,0.17
28,5,0.3,0.22
29,0,0.24,0.02
29,1,0.17,0.08
29,2,0.28,0.12
29,3,0.2,0.15
29,4,0.26,0.17
29,5,0.25,0.21
30,0,0.18,0.03
30,1,0.28,0.09
30,2,0.28,0.13
30,3,0.27,0.2
30,4,0.31,0.26
30,5,0.37,0.27
