replicate,rank,top-100 model,top-100 acquired
1,0,0.18,0.03
1,1,0.22,0.09
1,2,0.2,0.13
1,3,0.29,0.16
1,4,0.24,0.21
1,5,0.29,0.21
2,0,0.05,0.01
2,1,0.14,0.03
2,2,0.07,0.04
2,3,0.2,0.04
2,4,0.23,0.1
2,5,0.3,0.13
3,0,0.05,0.02
3,1,0.22,0.03
3,2,0.26,0.11
3,3,0.23,0.14
3,4,0.26,0.17
3,5,0.25,0.2
4,0,0.17,0.01
4,1,0.23,0.07
4,2,0.22,0.13
4,3,0.27,0.16
4,4,0.27,0.23
4,5,0.31,0.24
5,0,0.15,0.01
5,1,0.23,0.04
5,2,0.22,0.1
5,3,0.22,0.13
5,4,0.25,0.16
5,5,0.25,0.2
6,0,0.07,0.02
6,1,0.21,0.03
6,2,0.22,0.08
6,3,0.24,0.1
6,4,0.23,0.18
6,5,0.28,0.21
7,0,0.13,0.01
7,1,0.21,0.04
7,2,0.23,0.08
7,3,0.23,0.15
7,4,0.24,0.18
7,5,0.25,0.2
8,0,0.14,0.02
8,1,0.11,0.06
8,2,0.2,0.07
8,3,0.19,0.07
8,4,0.18,0.11
8,5,0.26,0.14
9,0,0.15,0.03
9,1,0.09,0.08
9,2,0.16,0.08
9,3,0.27,0.11
9,4,0.27,0.18
9,5,0.29,0.18
10,0,0.08,0.02
10,1,0.16,0.05
10,2,0.16,0.06
10,3,0.22,0.1
10,4,0.25,0.13
10,5,0.28,0.17
11,0,0.15,0.01
11,1,0.21,0.03
11,2,0.19,0.06
11,3,0.22,0.1
11,4,0.2,0.17
11,5,0.26,0.18
12,0,0.0,0.0
12,1,0.01,0.0
12,2,0.07,0.01
12,3,0.18,0.03
12,4,0.25,0.07
12,5,0.25,0.15
13,0,0.2,0.01
13,1,0.2,0.08
13,2,0.21,0.13
13,3,0.19,0.14
13,4,0.25,0.17
13,5,0.27,0.23
14,0,0.08,0.02
14,1,0.12,0.04
14,2,0.15,0.07
14,3,0.13,0.1
14,4,0.16,0.11
14,5,0.24,0.14
15,0,0.01,0.0
15,1,0.2,0.01
15,2,0.14,0.03
15,3,0.23,0.09
15,4,0.29,0.16
15,5,0.32,0.2
16,0,0.09,0.02
16,1,0.06,0.04
16,2,0.13,0.04
16,3,0.23,0.08
16,4,0.23,0.17
16,5,0.26,0.19
17,0,0.22,0.04
17,1,0.19,0.11
17,2,0.23,0.17
17,3,0.26,0.18
17,4,0.31,0.21
17,5,0.33,0.25
18,0,0.16,0.01
18,1,0.07,0.07
18,2,0.17,0.07
18,3,0.17,0.09
18,4,0.25,0.15
18,5,0.28,0.19
19,0,0.2,0.01
19,1,0.15,0.03
19,2,0.19,0.1
19,3,0.18,0.12
19,4,0.26,0.14
19,5,0.28,0.22
20,0,0.21,0.03
20,1,0.21,0.11
20,2,0.23,0.13
20,3,0.24,0.19
20,4,0.28,0.22
20,5,0.35,0.25
21,0,0.17,0.02
21,1,0.16,0.08
21,2,0.15,0.1
21,3,0.26,0.1
21,4,0.27,0.17
21,5,0.33,0.22
22,0,0.12,0.03
22,1,0.14,0.08
22,2,0.29,0.13
22,3,0.29,0.19
22,4,0.23,0.21
22,5,0.28,0.22
23,0,0.14,0.01
23,1,0.24,0.05
23,2,0.23,0.1
23,3,0.26,0.14
23,4,0.25,0.19
23,5,0.26,0.22
24,0,0.18,0.02
24,1,0.18,0.08
24,2,0.22,0.12
24,3,0.25,0.14
24,4,0.23,0.18
24,5,0.32,0.21
25,0,0.19,0.02
25,1,0.17,0.08
25,2,0.26,0.13
25,3,0.24,0.16
25,4,0.22,0.18
25,5,0.27,0.19
26,0,0.08,0.01
26,1,0.14,0.02
26,2,0.12,0.03
26,3,0.24,0.07
26,4,0.19,0.13
26,5,0.22,0.17
27,0,0.06,0.02
27,1,0.09,0.03
27,2,0.16,0.06
27,3,0.19,0.11
27,4,0.21,0.14
27,5,0.28,0.19
28,0,0.07,0.01
28,1,0.18,0.04
28,2,0.2,0.11
28,3,0.29,0.17
28,4,0.29,0.19
28,5,0.33,0.24
29,0,0.16,0.02
29,1,0.2,0.06
29,2,0.22,0.11
29,3,0.23,0.16
29,4,0.25,0.18
29,5,0.27,0.21
30,0,0.15,0.04
30,1,0.26,0.11
30,2,0.24,0.15
30,3,0.24,0.17
30,4,0.26,0.22
30,5,0.33,0.22
