replicate,rank,top-100 model,top-100 acquired
1,0,0.28,0.04
1,1,0.13,0.1
1,2,0.22,0.14
1,3,0.34,0.18
1,4,0.3,0.25
1,5,0.41,0.28
2,0,0.18,0.03
2,1,0.06,0.09
2,2,0.18,0.09
2,3,0.23,0.13
2,4,0.22,0.16
2,5,0.29,0.18
3,0,0.04,0.01
3,1,0.05,0.01
3,2,0.23,0.02
3,3,0.27,0.08
3,4,0.25,0.14
3,5,0.26,0.16
4,0,0.1,0.02
4,1,0.24,0.07
4,2,0.3,0.15
4,3,0.29,0.2
4,4,0.32,0.23
4,5,0.29,0.26
5,0,0.04,0.03
5,1,0.13,0.05
5,2,0.17,0.08
5,3,0.23,0.11
5,4,0.21,0.15
5,5,0.2,0.17
6,0,0.08,0.01
6,1,0.15,0.02
6,2,0.27,0.09
6,3,0.25,0.16
6,4,0.23,0.18
6,5,0.29,0.19
7,0,0.02,0.0
7,1,0.08,0.01
7,2,0.23,0.05
7,3,0.21,0.11
7,4,0.27,0.16
7,5,0.33,0.22
8,0,0.08,0.01
8,1,0.14,0.04
8,2,0.2,0.08
8,3,0.27,0.11
8,4,0.23,0.15
8,5,0.28,0.17
9,0,0.05,0.04
9,1,0.07,0.05
9,2,0.1,0.05
9,3,0.11,0.07
9,4,0.16,0.09
9,5,0.16,0.12
10,0,0.08,0.04
10,1,0.08,0.06
10,2,0.11,0.07
10,3,0.12,0.09
10,4,0.26,0.11
10,5,0.25,0.15
11,0,0.0,0.0
11,1,0.02,0.0
11,2,0.06,0.01
11,3,0.25,0.04
11,4,0.26,0.12
11,5,0.31,0.16
12,0,0.0,0.0
12,1,0.15,0.0
12,2,0.21,0.04
12,3,0.14,0.09
12,4,0.15,0.11
12,5,0.22,0.13
13,0,0.17,0.02
13,1,0.15,0.08
13,2,0.3,0.12
13,3,0.34,0.19
13,4,0.36,0.24
13,5,0.38,0.29
14,0,0.08,0.02
14,1,0.08,0.02
14,2,0.16,0.03
14,3,0.23,0.09
14,4,0.27,0.17
14,5,0.37,0.23
15,0,0.12,0.02
15,1,0.11,0.05
15,2,0.21,0.08
15,3,0.28,0.14
15,4,0.21,0.19
15,5,0.3,0.19
16,0,0.1,0.01
16,1,0.19,0.05
16,2,0.18,0.09
16,3,0.23,0.12
16,4,0.22,0.13
16,5,0.28,0.16
17,0,0.02,0.04
17,1,0.18,0.04
17,2,0.26,0.1
17,3,0.27,0.17
17,4,0.35,0.22
17,5,0.35,0.27
18,0,0.07,0.03
18,1,0.1,0.04
18,2,0.19,0.06
18,3,0.24,0.14
18,4,0.21,0.19
18,5,0.23,0.21
19,0,0.12,0.01
19,1,0.09,0.05
19,2,0.17,0.08
19,3,0.25,0.11
19,4,0.3,0.18
19,5,0.34,0.25
20,0,0.02,0.0
20,1,0.03,0.0
20,2,0.04,0.02
20,3,0.12,0.03
20,4,0.14,0.08
20,5,0.19,0.11
21,0,0.01,0.01
21,1,0.03,0.01
21,2,0.17,0.02
21,3,0.22,0.09
21,4,0.22,0.12
21,5,0.27,0.16
22,0,0.02,0.02
22,1,0.1,0.02
22,2,0.19,0.05
22,3,0.17,0.06
22,4,0.23,0.11
22,5,0.28,0.15
23,0,0.07,0.02
23,1,0.09,0.04
23,2,0.21,0.07
23,3,0.3,0.13
23,4,0.33,0.19
23,5,0.35,0.25
24,0,0.09,0.03
24,1,0.24,0.05
24,2,0.24,0.14
24,3,0.23,0.16
24,4,0.27,0.21
24,5,0.33,0.25
25,0,0.16,0.02
25,1,0.07,0.06
25,2,0.12,0.07
25,3,0.11,0.08
25,4,0.17,0.11
25,5,0.25,0.15
26,0,0.05,0.02
26,1,0.15,0.03
26,2,0.11,0.05
26,3,0.27,0.09
26,4,0.31,0.16
26,5,0.32,0.23
27,0,0.14,0.01
27,1,0.14,0.05
27,2,0.2,0.09
27,3,0.33,0.15
27,4,0.35,0.21
27,5,0.35,0.28
28,0,0.05,0.01
28,1,0.09,0.03
28,2,0.17,0.04
28,3,0.24,0.09
28,4,0.22,0.14
28,5,0.23,0.16
29,0,0.14,0.02
29,1,0.06,0.05
29,2,0.14,0.05
29,3,0.14,0.06
29,4,0.23,0.09
29,5,0.24,0.18
30,0,0.07,0.03
30,1,0.16,0.03
30,2,0.17,0.06
30,3,0.15,0.1
30,4,0.15,0.12
30,5,0.15,0.13
