replicate,rank,top-100 model,top-100 acquired
1,0,0.17,0.04
1,1,0.2,0.11
1,2,0.21,0.16
1,3,0.26,0.19
1,4,0.26,0.2
1,5,0.29,0.22
2,0,0.17,0.03
2,1,0.14,0.08
2,2,0.2,0.1
2,3,0.22,0.12
2,4,0.24,0.15
2,5,0.31,0.18
3,0,0.02,0.01
3,1,0.19,0.01
3,2,0.2,0.06
3,3,0.24,0.11
3,4,0.24,0.15
3,5,0.34,0.18
4,0,0.19,0.02
4,1,0.24,0.08
4,2,0.19,0.12
4,3,0.18,0.13
4,4,0.19,0.15
4,5,0.19,0.16
5,0,0.14,0.03
5,1,0.07,0.05
5,2,0.11,0.05
5,3,0.11,0.05
5,4,0.2,0.07
5,5,0.26,0.12
6,0,0.1,0.01
6,1,0.19,0.06
6,2,0.22,0.08
6,3,0.3,0.13
6,4,0.22,0.18
6,5,0.29,0.19
7,0,0.09,0.0
7,1,0.13,0.02
7,2,0.16,0.04
7,3,0.18,0.1
7,4,0.24,0.12
7,5,0.26,0.15
8,0,0.11,0.01
8,1,0.14,0.02
8,2,0.15,0.05
8,3,0.19,0.08
8,4,0.2,0.11
8,5,0.23,0.13
9,0,0.14,0.04
9,1,0.12,0.06
9,2,0.23,0.07
9,3,0.28,0.13
9,4,0.25,0.19
9,5,0.3,0.2
10,0,0.03,0.04
10,1,0.04,0.04
10,2,0.06,0.04
10,3,0.06,0.04
10,4,0.18,0.06
10,5,0.19,0.08
11,0,0.03,0.0
11,1,0.13,0.01
11,2,0.16,0.02
11,3,0.23,0.07
11,4,0.29,0.16
11,5,0.24,0.21
12,0,0.1,0.0
12,1,0.11,0.01
12,2,0.12,0.04
12,3,0.23,0.07
12,4,0.25,0.15
12,5,0.3,0.21
13,0,0.16,0.02
13,1,0.13,0.09
13,2,0.2,0.1
13,3,0.26,0.14
13,4,0.26,0.19
13,5,0.25,0.22
14,0,0.17,0.02
14,1,0.22,0.03
14,2,0.18,0.13
14,3,0.24,0.15
14,4,0.26,0.18
14,5,0.26,0.23
15,0,0.1,0.02
15,1,0.23,0.03
15,2,0.22,0.06
15,3,0.24,0.13
15,4,0.3,0.18
15,5,0.33,0.26
16,0,0.23,0.01
16,1,0.22,0.08
16,2,0.22,0.12
16,3,0.27,0.19
16,4,0.25,0.21
16,5,0.35,0.24
17,0,0.13,0.04
17,1,0.16,0.06
17,2,0.26,0.09
17,3,0.24,0.11
17,4,0.27,0.16
17,5,0.27,0.18
18,0,0.13,0.03
18,1,0.13,0.07
18,2,0.22,0.1
18,3,0.25,0.14
18,4,0.29,0.2
18,5,0.26,0.21
19,0,0.06,0.01
19,1,0.17,0.03
19,2,0.14,0.07
19,3,0.22,0.12
19,4,0.24,0.17
19,5,0.3,0.21
20,0,0.11,0.0
20,1,0.08,0.01
20,2,0.14,0.05
20,3,0.3,0.08
20,4,0.26,0.14
20,5,0.28,0.17
21,0,0.04,0.01
21,1,0.24,0.02
21,2,0.22,0.07
21,3,0.24,0.11
21,4,0.25,0.17
21,5,0.32,0.2
22,0,0.01,0.02
22,1,0.01,0.02
22,2,0.07,0.02
22,3,0.07,0.02
22,4,0.13,0.03
22,5,0.15,0.07
23,0,0.15,0.02
23,1,0.07,0.03
23,2,0.08,0.04
23,3,0.09,0.04
23,4,0.19,0.04
23,5,0.13,0.09
24,0,0.24,0.03
24,1,0.18,0.1
24,2,0.23,0.12
24,3,0.24,0.17
24,4,0.23,0.18
24,5,0.29,0.2
25,0,0.06,0.02
25,1,0.11,0.04
25,2,0.14,0.08
25,3,0.19,0.11
25,4,0.21,0.15
25,5,0.2,0.16
26,0,0.09,0.02
26,1,0.19,0.05
26,2,0.22,0.09
26,3,0.21,0.14
26,4,0.24,0.18
26,5,0.26,0.24
27,0,0.2,0.01
27,1,0.14,0.08
27,2,0.27,0.11
27,3,0.25,0.14
27,4,0.24,0.18
27,5,0.21,0.21
28,0,0.18,0.01
28,1,0.17,0.07
28,2,0.18,0.09
28,3,0.18,0.13
28,4,0.25,0.15
28,5,0.26,0.21
29,0,0.14,0.02
29,1,0.24,0.07
29,2,0.27,0.13
29,3,0.24,0.17
29,4,0.23,0.2
29,5,0.33,0.21
30,0,0.21,0.03
30,1,0.16,0.09
30,2,0.11,0.11
30,3,0.25,0.13
30,4,0.27,0.21
30,5,0.28,0.23
