replicate,rank,top-100 model,top-100 acquired
1,0,0.09,0.05
1,1,0.33,0.07
1,2,0.24,0.12
1,3,0.27,0.16
1,4,0.25,0.21
1,5,0.25,0.23
2,0,0.06,0.03
2,1,0.06,0.03
2,2,0.06,0.04
2,3,0.1,0.05
2,4,0.12,0.06
2,5,0.25,0.1
3,0,0.0,0.03
3,1,0.13,0.03
3,2,0.16,0.06
3,3,0.17,0.09
3,4,0.27,0.12
3,5,0.26,0.17
4,0,0.03,0.02
4,1,0.05,0.02
4,2,0.12,0.03
4,3,0.14,0.05
4,4,0.29,0.09
4,5,0.29,0.14
5,0,0.05,0.02
5,1,0.07,0.02
5,2,0.11,0.04
5,3,0.21,0.08
5,4,0.26,0.13
5,5,0.33,0.21
6,0,0.11,0.02
6,1,0.19,0.05
6,2,0.2,0.08
6,3,0.28,0.14
6,4,0.25,0.17
6,5,0.29,0.19
7,0,0.05,0.0
7,1,0.07,0.02
7,2,0.16,0.03
7,3,0.11,0.04
7,4,0.13,0.07
7,5,0.14,0.1
8,0,0.03,0.02
8,1,0.09,0.03
8,2,0.14,0.03
8,3,0.14,0.04
8,4,0.14,0.06
8,5,0.26,0.13
9,0,0.11,0.04
9,1,0.16,0.1
9,2,0.31,0.15
9,3,0.25,0.19
9,4,0.29,0.2
9,5,0.27,0.23
10,0,0.12,0.04
10,1,0.18,0.06
10,2,0.24,0.1
10,3,0.29,0.16
10,4,0.25,0.2
10,5,0.33,0.21
11,0,0.04,0.03
11,1,0.12,0.03
11,2,0.13,0.05
11,3,0.22,0.06
11,4,0.2,0.11
11,5,0.26,0.16
12,0,0.04,0.01
12,1,0.11,0.03
12,2,0.19,0.07
12,3,0.29,0.15
12,4,0.31,0.19
12,5,0.3,0.22
13,0,0.04,0.03
13,1,0.08,0.03
13,2,0.16,0.06
13,3,0.17,0.1
13,4,0.24,0.13
13,5,0.28,0.17
14,0,0.17,0.04
14,1,0.17,0.08
14,2,0.14,0.12
14,3,0.24,0.13
14,4,0.26,0.17
14,5,0.3,0.23
15,0,0.01,0.01
15,1,0.04,0.01
15,2,0.13,0.03
15,3,0.17,0.05
15,4,0.28,0.11
15,5,0.3,0.2
16,0,0.01,0.04
16,1,0.05,0.04
16,2,0.22,0.04
16,3,0.22,0.09
16,4,0.35,0.17
16,5,0.35,0.22
17,0,0.18,0.02
17,1,0.17,0.03
17,2,0.21,0.07
17,3,0.24,0.1
17,4,0.25,0.14
17,5,0.27,0.2
18,0,0.11,0.04
18,1,0.14,0.04
18,2,0.19,0.07
18,3,0.28,0.14
18,4,0.28,0.19
18,5,0.32,0.25
19,0,0.05,0.0
19,1,0.06,0.01
19,2,0.15,0.02
19,3,0.26,0.06
19,4,0.21,0.11
19,5,0.23,0.13
20,0,0.08,0.04
20,1,0.1,0.05
20,2,0.12,0.07
20,3,0.14,0.07
20,4,0.28,0.12
20,5,0.26,0.18
21,0,0.06,0.03
21,1,0.09,0.05
21,2,0.16,0.06
21,3,0.21,0.1
21,4,0.27,0.14
21,5,0.3,0.17
22,0,0.05,0.02
22,1,0.11,0.03
22,2,0.19,0.06
22,3,0.29,0.09
22,4,0.32,0.16
22,5,0.27,0.19
23,0,0.11,0.03
23,1,0.23,0.08
23,2,0.25,0.12
23,3,0.24,0.14
23,4,0.24,0.16
23,5,0.33,0.18
24,0,0.01,0.02
24,1,0.07,0.02
24,2,0.18,0.05
24,3,0.15,0.08
24,4,0.19,0.12
24,5,0.22,0.14
25,0,0.14,0.02
25,1,0.3,0.07
25,2,0.25,0.12
25,3,0.28,0.19
25,4,0.32,0.2
25,5,0.37,0.28
26,0,0.04,0.04
26,1,0.19,0.05
26,2,0.17,0.1
26,3,0.24,0.14
26,4,0.37,0.19
26,5,0.28,0.23
27,0,0.08,0.02
27,1,0.2,0.04
27,2,0.21,0.11
27,3,0.23,0.14
27,4,0.07,0.17
27,5,0.33,0.17
28,0,0.09,0.0
28,1,0.22,0.04
28,2,0.16,0.11
28,3,0.19,0.13
28,4,0.31,0.16
28,5,0.23,0.2
29,0,0.1,0.06
29,1,0.12,0.09
29,2,0.23,0.11
29,3,0.31,0.14
29,4,0.3,0.23
29,5,0.28,0.25
30,0,0.19,0.03
30,1,0.19,0.08
30,2,0.19,0.1
30,3,0.27,0.14
30,4,0.28,0.22
30,5,0.29,0.23
