replicate,rank,top-100 model,top-100 acquired
1,0,0.02,0.05
1,1,0.14,0.05
1,2,0.24,0.05
1,3,0.22,0.12
1,4,0.28,0.16
1,5,0.26,0.22
2,0,0.01,0.03
2,1,0.15,0.03
2,2,0.25,0.06
2,3,0.23,0.12
2,4,0.29,0.16
2,5,0.22,0.18
3,0,0.12,0.03
3,1,0.2,0.04
3,2,0.18,0.08
3,3,0.24,0.11
3,4,0.27,0.14
3,5,0.25,0.18
4,0,0.1,0.02
4,1,0.16,0.04
4,2,0.27,0.09
4,3,0.26,0.16
4,4,0.25,0.2
4,5,0.26,0.22
5,0,0.05,0.02
5,1,0.1,0.03
5,2,0.14,0.04
5,3,0.16,0.09
5,4,0.23,0.12
5,5,0.3,0.17
6,0,0.16,0.02
6,1,0.15,0.04
6,2,0.24,0.06
6,3,0.22,0.12
6,4,0.25,0.17
6,5,0.25,0.19
7,0,0.12,0.0
7,1,0.02,0.02
7,2,0.22,0.02
7,3,0.22,0.09
7,4,0.24,0.15
7,5,0.2,0.18
8,0,0.15,0.02
8,1,0.13,0.07
8,2,0.18,0.09
8,3,0.26,0.12
8,4,0.29,0.17
8,5,0.36,0.21
9,0,0.07,0.04
9,1,0.19,0.06
9,2,0.26,0.1
9,3,0.24,0.19
9,4,0.22,0.23
9,5,0.28,0.23
10,0,0.03,0.04
10,1,0.14,0.05
10,2,0.1,0.06
10,3,0.16,0.07
10,4,0.26,0.11
10,5,0.29,0.2
11,0,0.08,0.03
11,1,0.08,0.03
11,2,0.12,0.04
11,3,0.22,0.06
11,4,0.25,0.1
11,5,0.22,0.17
12,0,0.03,0.01
12,1,0.17,0.02
12,2,0.19,0.07
12,3,0.18,0.12
12,4,0.26,0.14
12,5,0.23,0.2
13,0,0.2,0.03
13,1,0.16,0.08
13,2,0.12,0.09
13,3,0.23,0.09
13,4,0.34,0.15
13,5,0.31,0.22
14,0,0.17,0.04
14,1,0.14,0.11
14,2,0.17,0.13
14,3,0.18,0.13
14,4,0.22,0.14
14,5,0.26,0.17
15,0,0.03,0.01
15,1,0.02,0.01
15,2,0.16,0.01
15,3,0.19,0.07
15,4,0.21,0.11
15,5,0.24,0.18
16,0,0.12,0.04
16,1,0.07,0.04
16,2,0.12,0.06
16,3,0.14,0.07
16,4,0.15,0.09
16,5,0.2,0.11
17,0,0.17,0.02
17,1,0.19,0.05
17,2,0.24,0.11
17,3,0.23,0.14
17,4,0.19,0.17
17,5,0.18,0.17
18,0,0.2,0.04
18,1,0.18,0.1
18,2,0.28,0.15
18,3,0.25,0.18
18,4,0.31,0.22
18,5,0.23,0.24
19,0,0.03,0.0
19,1,0.24,0.02
19,2,0.23,0.06
19,3,0.25,0.12
19,4,0.2,0.16
19,5,0.28,0.17
20,0,0.15,0.04
20,1,0.12,0.09
20,2,0.2,0.12
20,3,0.25,0.13
20,4,0.25,0.18
20,5,0.27,0.19
21,0,0.14,0.03
21,1,0.25,0.09
21,2,0.22,0.14
21,3,0.26,0.17
21,4,0.29,0.19
21,5,0.35,0.27
22,0,0.13,0.02
22,1,0.24,0.05
22,2,0.22,0.1
22,3,0.31,0.15
22,4,0.29,0.19
22,5,0.33,0.23
23,0,0.18,0.03
23,1,0.19,0.07
23,2,0.22,0.1
23,3,0.29,0.13
23,4,0.31,0.17
23,5,0.31,0.23
24,0,0.01,0.02
24,1,0.09,0.02
24,2,0.16,0.04
24,3,0.14,0.07
24,4,0.18,0.08
24,5,0.2,0.13
25,0,0.18,0.02
25,1,0.22,0.07
25,2,0.26,0.14
25,3,0.22,0.18
25,4,0.23,0.2
25,5,0.28,0.22
26,0,0.22,0.04
26,1,0.17,0.12
26,2,0.25,0.15
26,3,0.2,0.18
26,4,0.25,0.19
26,5,0.28,0.22
27,0,0.19,0.02
27,1,0.09,0.06
27,2,0.16,0.08
27,3,0.17,0.11
27,4,0.21,0.17
27,5,0.24,0.2
28,0,0.11,0.0
28,1,0.17,0.05
28,2,0.22,0.12
28,3,0.24,0.18
28,4,0.26,0.2
28,5,0.31,0.25
29,0,0.17,0.06
29,1,0.07,0.12
29,2,0.21,0.12
29,3,0.26,0.13
29,4,0.24,0.16
29,5,0.25,0.17
30,0,0.26,0.03
30,1,0.16,0.06
30,2,0.25,0.11
30,3,0.2,0.16
30,4,0.26,0.19
30,5,0.25,0.22
