replicate,rank,top-100 model,top-100 acquired
1,0,0.04,0.0
1,1,0.04,0.02
1,2,0.17,0.02
1,3,0.1,0.03
1,4,0.2,0.07
1,5,0.24,0.12
2,0,0.05,0.0
2,1,0.16,0.03
2,2,0.28,0.05
2,3,0.24,0.13
2,4,0.26,0.15
2,5,0.25,0.19
3,0,0.01,0.0
3,1,0.15,0.0
3,2,0.14,0.03
3,3,0.18,0.09
3,4,0.31,0.13
3,5,0.36,0.21
4,0,0.09,0.01
4,1,0.14,0.03
4,2,0.2,0.06
4,3,0.2,0.11
4,4,0.28,0.13
4,5,0.3,0.18
5,0,0.02,0.0
5,1,0.24,0.02
5,2,0.28,0.09
5,3,0.27,0.15
5,4,0.25,0.21
5,5,0.3,0.23
6,0,0.06,0.0
6,1,0.07,0.03
6,2,0.16,0.04
6,3,0.14,0.08
6,4,0.17,0.11
6,5,0.25,0.14
7,0,0.01,0.0
7,1,0.06,0.01
7,2,0.05,0.02
7,3,0.05,0.02
7,4,0.06,0.04
7,5,0.09,0.05
8,0,0.01,0.0
8,1,0.08,0.0
8,2,0.12,0.03
8,3,0.08,0.04
8,4,0.16,0.05
8,5,0.24,0.11
9,0,0.07,0.01
9,1,0.26,0.04
9,2,0.25,0.13
9,3,0.26,0.16
9,4,0.26,0.23
9,5,0.3,0.24
10,0,0.01,0.0
10,1,0.06,0.0
10,2,0.22,0.02
10,3,0.2,0.06
10,4,0.24,0.13
10,5,0.26,0.19
11,0,0.02,0.0
11,1,0.02,0.0
11,2,0.09,0.0
11,3,0.13,0.02
11,4,0.16,0.05
11,5,0.18,0.1
12,0,0.03,0.0
12,1,0.03,0.01
12,2,0.2,0.02
12,3,0.2,0.06
12,4,0.25,0.11
12,5,0.26,0.16
13,0,0.07,0.0
13,1,0.1,0.01
13,2,0.2,0.05
13,3,0.31,0.14
13,4,0.32,0.19
13,5,0.31,0.24
14,0,0.1,0.0
14,1,0.11,0.04
14,2,0.32,0.08
14,3,0.32,0.21
14,4,0.36,0.25
14,5,0.4,0.3
15,0,0.01,0.0
15,1,0.02,0.0
15,2,0.06,0.0
15,3,0.22,0.02
15,4,0.21,0.07
15,5,0.2,0.12
16,0,0.03,0.0
16,1,0.19,0.01
16,2,0.17,0.02
16,3,0.2,0.05
16,4,0.21,0.09
16,5,0.26,0.14
17,0,0.19,0.01
17,1,0.11,0.05
17,2,0.16,0.08
17,3,0.21,0.09
17,4,0.2,0.12
17,5,0.21,0.15
18,0,0.07,0.01
18,1,0.16,0.02
18,2,0.26,0.07
18,3,0.2,0.13
18,4,0.26,0.17
18,5,0.29,0.2
19,0,0.02,0.0
19,1,0.2,0.01
19,2,0.24,0.07
19,3,0.23,0.12
19,4,0.24,0.15
19,5,0.32,0.19
20,0,0.09,0.0
20,1,0.09,0.02
20,2,0.15,0.03
20,3,0.25,0.06
20,4,0.27,0.13
20,5,0.26,0.19
21,0,0.0,0.0
21,1,0.03,0.0
21,2,0.08,0.01
21,3,0.25,0.03
21,4,0.17,0.09
21,5,0.24,0.14
22,0,0.04,0.0
22,1,0.01,0.0
22,2,0.09,0.0
22,3,0.22,0.02
22,4,0.25,0.09
22,5,0.28,0.15
23,0,0.02,0.0
23,1,0.11,0.01
23,2,0.15,0.04
23,3,0.1,0.08
23,4,0.28,0.09
23,5,0.3,0.18
24,0,0.03,0.0
24,1,0.1,0.01
24,2,0.14,0.02
24,3,0.12,0.04
24,4,0.15,0.07
24,5,0.18,0.11
25,0,0.18,0.0
25,1,0.3,0.08
25,2,0.24,0.14
25,3,0.3,0.17
25,4,0.31,0.22
25,5,0.3,0.25
26,0,0.02,0.0
26,1,0.1,0.02
26,2,0.17,0.02
26,3,0.15,0.07
26,4,0.22,0.1
26,5,0.24,0.14
27,0,0.07,0.0
27,1,0.26,0.02
27,2,0.27,0.09
27,3,0.27,0.18
27,4,0.29,0.18
27,5,0.3,0.24
28,0,0.06,0.0
28,1,0.16,0.01
28,2,0.05,0.04
28,3,0.18,0.04
28,4,0.1,0.04
28,5,0.1,0.05
29,0,0.16,0.01
29,1,0.28,0.1
29,2,0.29,0.15
29,3,0.32,0.19
29,4,0.36,0.24
29,5,0.33,0.28
30,0,0.13,0.01
30,1,0.11,0.02
30,2,0.08,0.04
30,3,0.12,0.04
30,4,0.19,0.04
30,5,0.22,0.09
